area_id,area_name,b11001i001,b11001i001_moe,b11001i002,b11001i002_moe,b11001i003,b11001i003_moe,b11001i004,b11001i004_moe,b11001i005,b11001i005_moe,b11001i006,b11001i006_moe,b11001i007,b11001i007_moe,b11001i008,b11001i008_moe,b11001i009,b11001i009_moe
1,Southwest,790,206,421,161,288,128,133,109,67,96,66,65,369,133,255,106,114,86
2,Delridge Neighborhoods,1611,266,1025,228,585,194,440,181,252,140,188,115,586,174,411,148,175,96
3,Greater Duwamish,1098,216,851,188,282,122,569,170,182,100,387,153,247,121,96,73,151,105
4,Southeast,1147,268,719,220,285,140,434,190,123,108,311,164,428,176,328,157,100,87
5,Central,681,177,234,104,196,97,38,51,9,37,29,49,447,141,311,120,136,84
6,East,1397,278,414,200,361,196,53,58,34,57,19,51,983,228,629,187,354,141
7,Northeast,873,221,325,107,280,102,45,64,11,60,34,61,548,197,293,147,255,140
8,North,1148,247,799,201,503,148,296,143,119,89,177,120,349,161,261,150,88,61
9,Northwest,1673,320,847,242,584,195,263,147,17,60,246,145,826,209,467,170,359,144
10,Ballard,944,255,364,154,299,139,65,70,50,68,15,47,580,208,378,182,202,110
11,Lake Union,1043,239,232,128,134,76,98,109,75,106,23,47,811,209,579,189,232,98
12,Magnolia/Queen Anne,998,235,317,133,267,125,50,59,40,59,10,51,681,202,401,152,280,136
13,Downtown,410,159,25,43,25,43,0,29,0,29,0,29,385,156,282,134,103,83
