area_id,area_name,b16005d001,b16005d001_moe,b16005d002,b16005d002_moe,b16005d003,b16005d003_moe,b16005d004,b16005d004_moe,b16005d005,b16005d005_moe,b16005d006,b16005d006_moe,b16005d007,b16005d007_moe,b16005d008,b16005d008_moe,b16005d009,b16005d009_moe,b16005d010,b16005d010_moe,b16005d011,b16005d011_moe
1,Southwest,2166,329,812,221,628,168,184,129,142,101,42,54,1354,251,328,120,1026,229,665,187,361,141
2,Delridge Neighborhoods,5203,614,1553,306,692,189,861,236,698,232,163,109,3650,489,433,192,3217,478,1339,333,1878,345
3,Greater Duwamish,19548,1342,5126,636,2205,431,2921,466,2358,440,563,174,14422,1147,784,255,13638,1151,3565,559,10073,986
4,Southeast,10809,909,3398,547,1855,477,1543,334,1199,310,344,134,7411,716,405,150,7006,722,2444,406,4562,597
5,Central,2880,432,1045,254,713,192,332,153,241,134,91,69,1835,339,303,132,1532,315,792,251,740,170
6,East,4553,565,1451,276,1022,249,429,133,320,115,109,71,3102,464,666,170,2436,449,1135,286,1301,337
7,Northeast,10671,955,4190,526,2103,332,2087,382,1673,328,414,158,6481,767,919,250,5562,745,3010,479,2552,463
8,North,5787,673,1703,338,1040,271,663,215,592,203,71,57,4084,618,545,203,3539,560,1416,368,2123,451
9,Northwest,6670,643,2510,346,1591,282,919,215,686,198,233,134,4160,527,638,180,3522,506,1588,323,1934,356
10,Ballard,2051,349,871,215,634,188,237,102,145,82,92,67,1180,303,296,120,884,279,546,221,338,171
11,Lake Union,4561,644,1995,424,1360,369,635,196,455,167,180,97,2566,563,721,443,1845,377,1056,284,789,244
12,Magnolia/Queen Anne,4071,521,1833,392,1331,340,502,182,433,164,69,72,2238,380,588,185,1650,365,1162,313,488,190
13,Downtown,3536,489,739,231,366,128,373,191,231,105,142,122,2797,418,290,129,2507,396,579,185,1928,336
