area_id,area_name,b11002a001,b11002a001_moe,b11002a002,b11002a002_moe,b11002a003,b11002a003_moe,b11002a004,b11002a004_moe,b11002a005,b11002a005_moe,b11002a006,b11002a006_moe,b11002a007,b11002a007_moe,b11002a008,b11002a008_moe,b11002a009,b11002a009_moe,b11002a010,b11002a010_moe,b11002a011,b11002a011_moe,b11002a012,b11002a012_moe
1,Southwest,44077,1187,30359,1296,25736,1284,25423,1241,313,148,1188,419,1066,386,122,76,3435,639,3104,568,331,131,13718,897
2,Delridge Neighborhoods,21248,1110,13848,1136,10532,1122,10373,1108,159,89,985,367,881,340,104,70,2331,559,2163,524,168,77,7400,688
3,Greater Duwamish,13568,1172,8866,1113,6039,995,5787,903,252,184,934,423,801,361,133,92,1893,590,1704,542,189,148,4702,613
4,Southeast,19130,1137,14167,1163,10260,1011,10148,992,112,119,964,482,883,462,81,77,2943,732,2566,648,377,152,4963,667
5,Central,17982,877,9999,831,8428,763,8252,750,176,124,480,291,347,214,133,129,1091,367,982,329,109,81,7983,715
6,East,37592,1253,13715,1187,12494,1120,12319,1100,175,110,303,168,259,146,44,55,918,372,918,372,0,47,23877,1132
7,Northeast,56427,1721,36267,1331,30942,1232,30633,1204,309,152,1614,525,1359,402,255,195,3711,702,3177,586,534,189,20160,1553
8,North,29047,1086,19473,1210,15378,1047,15162,1025,216,113,1134,394,965,332,169,105,2961,737,2717,688,244,127,9574,688
9,Northwest,55784,1522,34931,1537,29958,1505,29616,1488,342,134,1413,406,1307,385,106,70,3560,568,3296,531,264,105,20853,1220
10,Ballard,39776,1074,26476,1187,22190,1185,22030,1171,160,118,1421,550,1197,452,224,146,2865,577,2529,520,336,156,13300,860
11,Lake Union,35109,1336,14913,1008,12437,926,12280,914,157,98,1125,404,924,327,201,127,1351,422,1132,333,219,130,20196,1207
12,Magnolia/Queen Anne,49625,1422,29870,1414,27276,1401,27148,1394,128,105,645,242,620,234,25,54,1949,468,1866,449,83,65,19755,1182
13,Downtown,9862,618,2742,495,2612,471,2612,471,0,29,0,29,0,29,0,29,130,116,116,100,14,33,7120,531
