area_id,area_name,b01002h001,b01002h001_moe,b01002h002,b01002h002_moe,b01002h003,b01002h003_moe
1,Southwest,395,8,391,9,400,12
2,Delridge Neighborhoods,316,16,312,17,329,21
3,Greater Duwamish,437,23,445,25,441,39
4,Southeast,343,12,351,14,342,21
5,Central,260,9,268,14,255,13
6,East,431,14,436,15,428,17
7,Northeast,609,17,608,22,611,23
8,North,424,14,408,17,448,21
9,Northwest,656,15,629,17,667,18
10,Ballard,324,6,317,8,332,11
11,Lake Union,335,10,340,15,328,14
12,Magnolia/Queen Anne,415,10,418,11,412,15
13,Downtown,223,19,219,25,217,36
