area_id,area_name,b06009001,b06009001_moe,b06009002,b06009002_moe,b06009003,b06009003_moe,b06009004,b06009004_moe,b06009005,b06009005_moe,b06009006,b06009006_moe,b06009007,b06009007_moe,b06009008,b06009008_moe,b06009009,b06009009_moe,b06009010,b06009010_moe,b06009011,b06009011_moe,b06009012,b06009012_moe,b06009013,b06009013_moe,b06009014,b06009014_moe,b06009015,b06009015_moe,b06009016,b06009016_moe,b06009017,b06009017_moe,b06009018,b06009018_moe,b06009019,b06009019_moe,b06009020,b06009020_moe,b06009021,b06009021_moe,b06009022,b06009022_moe,b06009023,b06009023_moe,b06009024,b06009024_moe,b06009025,b06009025_moe,b06009026,b06009026_moe,b06009027,b06009027_moe,b06009028,b06009028_moe,b06009029,b06009029_moe,b06009030,b06009030_moe
1,Southwest,38547,835,1241,310,5093,521,10929,689,13333,711,7951,593,14885,813,536,225,2627,388,4523,449,4776,498,2423,333,19392,854,438,171,1968,296,5218,527,7323,556,4445,434,770,211,5,46,24,50,305,135,269,114,167,112,3500,434,262,132,474,214,883,199,965,221,916,206
2,Delridge Neighborhoods,24752,749,3047,486,4478,540,8034,588,6671,518,2522,309,7162,611,585,167,1479,314,2700,375,1872,271,526,145,10454,661,723,214,1507,266,3269,399,3321,408,1634,247,496,183,0,38,188,126,133,107,108,68,67,61,6640,658,1739,391,1304,301,1932,355,1370,258,295,117
3,Greater Duwamish,32337,1102,8080,815,6706,650,7834,621,6785,658,2932,408,5747,549,420,155,1243,256,1989,300,1608,288,487,149,8606,681,782,231,1234,264,2386,346,2537,409,1667,286,666,217,78,77,145,111,273,122,87,70,83,85,17318,1074,6800,776,4084,533,3186,441,2553,427,695,253
4,Southeast,32380,1026,5121,589,5687,582,8659,694,7372,600,5541,486,7972,731,493,176,1361,270,2939,475,2133,326,1046,246,12602,741,877,234,1331,268,3188,391,3690,449,3516,363,796,252,110,93,233,151,171,100,104,79,178,86,11010,811,3641,528,2762,424,2361,416,1445,268,801,227
5,Central,22573,759,1477,296,2327,399,5209,523,7205,602,6355,486,5375,548,218,99,861,249,1567,302,1741,304,988,200,12960,702,555,166,1101,272,2568,364,4450,493,4286,423,410,153,5,33,35,44,91,59,173,126,106,67,3828,452,699,193,330,134,983,258,841,192,975,231
6,East,39878,1021,2006,347,3649,494,10276,778,14178,857,9769,678,9616,679,578,189,1167,258,2920,411,3336,432,1615,260,22877,958,589,192,1754,319,5631,603,8752,679,6151,540,1008,239,24,52,41,60,379,162,387,166,177,84,6377,692,815,223,687,244,1346,377,1703,340,1826,356
7,Northeast,45645,937,799,221,3298,444,7771,650,17175,807,16602,763,13976,799,282,163,1292,282,3238,446,5879,510,3285,357,23673,886,258,111,1273,260,3507,423,8816,632,9819,575,953,212,1,56,42,67,147,77,427,149,336,128,7043,620,258,127,691,220,879,208,2053,324,3162,404
8,North,30108,772,2341,360,4391,582,7728,580,9410,592,6238,511,10004,590,678,175,1778,295,2833,363,3350,370,1365,219,12896,678,589,201,1488,300,3134,393,4063,397,3622,373,535,171,57,74,116,92,150,71,144,80,68,58,6673,632,1017,267,1009,355,1611,304,1853,323,1183,267
9,Northwest,53911,1160,2647,429,6572,628,14314,878,18866,881,11512,710,17365,930,621,200,2619,412,5750,570,5875,515,2500,303,26887,1057,845,224,2682,378,6076,570,10243,714,7041,558,988,218,3,53,106,82,227,101,340,129,312,133,8671,737,1178,310,1165,270,2261,373,2408,390,1659,319
10,Ballard,34547,752,1284,292,3849,543,8621,719,13035,753,7758,663,11885,722,337,131,1850,356,3315,465,4658,487,1725,271,18295,836,397,153,1493,326,4317,517,7224,582,4864,500,661,177,44,52,46,62,146,85,256,117,169,92,3706,547,506,206,460,196,843,207,897,229,1000,313
11,Lake Union,33554,979,905,231,2198,346,7278,613,14024,780,9149,617,9228,727,283,141,838,214,2632,416,3885,438,1590,282,19383,928,315,131,1061,256,3972,446,8296,624,5739,496,761,201,44,48,40,51,107,71,360,162,210,92,4182,487,263,117,259,107,567,185,1483,292,1610,315
12,Magnolia/Queen Anne,44583,940,746,216,3102,460,9964,721,18120,844,12651,756,13109,851,134,86,1080,256,3309,398,6009,551,2577,352,24624,975,330,150,1401,267,5229,553,9875,631,7789,636,1019,227,0,51,30,57,239,124,426,147,324,126,5831,626,282,134,591,215,1187,269,1810,331,1961,367
13,Downtown,14754,700,1972,318,1734,335,3447,418,4466,471,3135,383,2726,378,248,128,404,145,942,251,728,199,404,143,7595,594,463,198,729,233,1839,305,2717,343,1847,304,354,155,13,32,122,112,68,59,94,65,57,70,4079,440,1248,237,479,175,598,207,927,232,827,212
