area_id,area_name,c15002i001,c15002i001_moe,c15002i002,c15002i002_moe,c15002i003,c15002i003_moe,c15002i004,c15002i004_moe,c15002i005,c15002i005_moe,c15002i006,c15002i006_moe,c15002i007,c15002i007_moe,c15002i008,c15002i008_moe,c15002i009,c15002i009_moe,c15002i010,c15002i010_moe,c15002i011,c15002i011_moe
1,Southwest,1360,326,667,211,29,49,219,136,225,118,194,112,693,207,49,59,83,80,295,153,266,121
2,Delridge Neighborhoods,2631,456,1551,295,528,197,360,164,346,168,317,119,1080,258,385,203,197,131,264,123,234,88
3,Greater Duwamish,2578,597,1522,483,700,333,357,207,253,122,212,120,1056,252,388,172,261,127,220,102,187,102
4,Southeast,2198,494,1157,359,545,251,166,118,232,121,214,136,1041,291,214,126,240,146,403,181,184,111
5,Central,1168,293,633,239,131,98,79,71,215,120,208,99,535,154,75,73,35,45,142,80,283,107
6,East,2175,444,1388,347,259,160,245,179,428,162,456,188,787,215,63,66,52,63,315,177,357,126
7,Northeast,1137,251,550,166,13,60,72,90,124,106,341,119,587,171,16,59,29,58,132,98,410,141
8,North,1931,406,1013,303,172,103,403,261,245,139,193,83,918,253,102,93,339,201,157,77,320,112
9,Northwest,2832,515,1529,354,435,213,255,152,289,145,550,181,1303,285,161,102,207,139,376,155,559,168
10,Ballard,1578,353,690,205,131,112,127,105,152,88,280,110,888,253,92,96,153,150,240,134,403,150
11,Lake Union,1458,280,848,225,34,54,76,66,256,152,482,157,610,160,44,66,53,63,63,62,450,139
12,Magnolia/Queen Anne,1672,349,842,244,54,100,97,78,200,121,491,181,830,222,16,55,49,63,198,114,567,179
13,Downtown,475,182,187,89,17,34,30,38,78,53,62,63,288,162,0,29,42,59,89,87,157,123
