area_id,area_name,c23002d001,c23002d001_moe,c23002d002,c23002d002_moe,c23002d003,c23002d003_moe,c23002d004,c23002d004_moe,c23002d005,c23002d005_moe,c23002d006,c23002d006_moe,c23002d007,c23002d007_moe,c23002d008,c23002d008_moe,c23002d009,c23002d009_moe,c23002d010,c23002d010_moe,c23002d011,c23002d011_moe,c23002d012,c23002d012_moe,c23002d013,c23002d013_moe,c23002d014,c23002d014_moe,c23002d015,c23002d015_moe,c23002d016,c23002d016_moe,c23002d017,c23002d017_moe,c23002d018,c23002d018_moe,c23002d019,c23002d019_moe,c23002d020,c23002d020_moe,c23002d021,c23002d021_moe,c23002d022,c23002d022_moe,c23002d023,c23002d023_moe,c23002d024,c23002d024_moe,c23002d025,c23002d025_moe,c23002d026,c23002d026_moe,c23002d027,c23002d027_moe
1,Southwest,1989,299,620,163,507,157,434,145,0,48,434,145,411,143,23,54,73,59,113,59,54,54,54,54,0,48,59,51,1369,229,1142,210,959,191,0,48,959,191,921,190,38,57,183,91,227,95,57,77,57,77,0,48,170,73
2,Delridge Neighborhoods,4584,530,2041,298,1706,289,1361,257,8,38,1353,257,1247,236,106,74,345,146,335,111,80,58,57,48,23,50,255,102,2543,336,2214,311,1687,255,0,38,1687,255,1549,238,138,116,527,196,329,122,82,70,82,70,0,38,247,115
3,Greater Duwamish,17150,1122,8333,664,6926,633,5718,572,0,45,5718,572,5385,549,333,142,1208,278,1407,224,230,107,230,107,0,45,1177,202,8817,632,6793,588,5024,478,0,45,5024,478,4768,469,256,109,1769,282,2024,242,194,92,194,92,0,45,1830,239
4,Southeast,9516,762,4516,434,3901,420,3355,396,19,52,3336,398,2816,350,520,178,546,155,615,145,130,69,114,64,16,49,485,121,5000,482,3928,431,2969,380,0,45,2969,380,2582,345,387,154,959,211,1072,186,205,95,205,95,0,45,867,158
5,Central,2726,406,1242,284,1044,265,778,199,0,34,778,199,776,199,2,33,266,183,198,81,27,37,27,37,0,34,171,80,1484,242,1052,213,883,185,0,34,883,185,828,179,55,48,169,78,432,123,14,34,14,34,0,34,418,122
6,East,4415,533,2231,367,1948,351,1516,326,0,47,1516,326,1463,324,53,60,432,155,283,107,26,49,26,49,0,47,257,106,2184,340,1882,310,1131,240,0,47,1131,240,1093,237,38,59,751,209,302,116,31,52,31,52,0,47,271,114
7,Northeast,10231,940,4416,546,4160,534,2608,413,0,59,2608,413,2381,387,227,145,1552,282,256,91,105,68,105,68,0,59,151,78,5815,623,5494,609,3010,384,0,59,3010,384,2655,362,355,157,2484,487,321,108,42,75,42,75,0,59,279,98
8,North,5374,605,2588,397,2330,395,1872,374,9,44,1863,374,1685,364,178,101,458,193,258,109,26,43,26,43,0,43,232,107,2786,376,2396,357,1790,310,0,43,1790,310,1699,296,91,66,606,195,390,124,23,46,23,46,0,43,367,121
9,Northwest,6223,591,2314,350,1965,325,1669,281,11,56,1658,279,1601,276,57,64,296,143,349,118,82,77,82,77,0,54,267,101,3909,414,3402,398,2519,355,0,54,2519,355,2228,328,291,151,883,241,507,138,19,59,19,59,0,54,488,135
10,Ballard,1973,339,626,155,486,136,435,133,0,43,435,133,405,131,30,50,51,59,140,78,34,54,34,54,0,43,106,71,1347,284,1248,274,1058,266,0,43,1058,266,1053,265,5,41,190,86,99,63,0,43,0,43,0,43,99,63
11,Lake Union,4480,632,2349,550,2232,547,1589,336,33,65,1556,333,1515,331,41,53,643,442,117,70,16,47,16,47,0,42,101,67,2131,373,1998,366,1511,316,0,42,1511,316,1459,308,52,55,487,175,133,62,0,42,0,42,0,42,133,62
12,Magnolia/Queen Anne,3834,491,1398,327,1306,321,1180,314,28,58,1152,311,1130,311,22,52,126,85,92,77,0,51,0,51,0,51,92,77,2436,367,2132,366,1790,339,0,51,1790,339,1694,332,96,92,342,140,304,141,25,66,25,66,0,51,279,134
13,Downtown,3371,440,1641,288,1149,266,883,195,0,29,883,195,819,193,64,64,266,189,492,131,9,30,9,30,0,29,483,132,1730,258,1188,234,905,203,0,29,905,203,854,201,51,47,283,115,542,134,22,47,22,47,0,29,520,126
