area_id,area_name,b25073001,b25073001_moe,b25073002,b25073002_moe,b25073003,b25073003_moe,b25073004,b25073004_moe,b25073005,b25073005_moe,b25073006,b25073006_moe,b25073007,b25073007_moe,b25073008,b25073008_moe,b25073009,b25073009_moe,b25073010,b25073010_moe,b25073011,b25073011_moe,b25073012,b25073012_moe,b25073013,b25073013_moe,b25073014,b25073014_moe,b25073015,b25073015_moe,b25073016,b25073016_moe,b25073017,b25073017_moe,b25073018,b25073018_moe,b25073019,b25073019_moe,b25073020,b25073020_moe,b25073021,b25073021_moe,b25073022,b25073022_moe,b25073023,b25073023_moe,b25073024,b25073024_moe,b25073025,b25073025_moe,b25073026,b25073026_moe,b25073027,b25073027_moe,b25073028,b25073028_moe,b25073029,b25073029_moe,b25073030,b25073030_moe,b25073031,b25073031_moe,b25073032,b25073032_moe,b25073033,b25073033_moe,b25073034,b25073034_moe,b25073035,b25073035_moe,b25073036,b25073036_moe,b25073037,b25073037_moe,b25073038,b25073038_moe,b25073039,b25073039_moe,b25073040,b25073040_moe,b25073041,b25073041_moe,b25073042,b25073042_moe,b25073043,b25073043_moe,b25073044,b25073044_moe,b25073045,b25073045_moe,b25073046,b25073046_moe,b25073047,b25073047_moe,b25073048,b25073048_moe,b25073049,b25073049_moe,b25073050,b25073050_moe
1,Southwest,8418,488,2581,345,761,191,330,116,249,120,298,143,807,217,136,82,1371,254,401,153,261,115,157,102,157,88,284,123,111,111,2293,308,551,160,417,154,267,113,204,113,799,199,55,76,1333,254,419,170,157,88,237,115,68,65,355,114,97,106,829,209,197,143,69,62,155,102,133,108,259,121,16,52,11,48,11,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,7126,444,2632,343,600,174,310,149,156,78,273,126,1148,249,145,70,867,221,208,136,101,85,55,61,49,56,408,134,46,58,1571,297,332,139,284,134,182,133,95,80,631,220,47,55,893,231,301,179,154,93,12,41,71,63,337,136,18,46,1116,213,122,71,79,60,100,71,60,55,713,196,42,51,47,77,47,77,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
3,Greater Duwamish,7727,450,3379,360,618,200,300,117,355,139,355,137,1473,271,278,119,1484,284,283,126,336,155,225,129,46,59,532,183,62,80,1442,275,253,115,172,98,185,122,222,129,573,184,37,61,621,215,118,81,64,57,64,61,12,47,345,189,18,46,801,168,91,69,75,81,79,62,93,71,446,155,17,49,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
4,Southeast,6751,473,2203,344,345,115,177,94,159,96,126,96,1245,278,151,95,1029,263,249,131,153,125,91,110,88,87,372,162,76,85,1347,302,487,206,130,109,29,51,27,48,659,224,15,50,759,232,131,105,50,69,85,105,76,87,403,170,14,47,1332,245,147,95,233,139,114,72,145,78,648,190,45,81,41,50,0,45,0,45,16,50,0,45,10,46,15,48,40,61,17,50,0,45,0,45,0,45,23,57,0,45
5,Central,7027,395,1531,243,357,132,212,115,85,63,136,82,615,180,126,77,1133,225,324,111,140,77,144,91,151,120,349,141,25,47,1521,260,359,155,160,84,263,136,92,84,647,171,0,34,1314,235,186,110,399,179,168,95,122,75,439,166,0,34,1528,213,231,88,51,48,415,164,239,123,533,151,59,86,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,21693,578,1399,338,441,236,204,101,119,97,154,142,376,151,105,99,1751,291,439,156,230,113,205,111,167,108,676,226,34,54,5332,453,1307,269,790,212,703,197,414,158,1916,340,202,124,6602,526,1603,321,928,251,782,220,608,192,2505,383,176,99,6603,493,1604,297,982,243,857,212,454,151,2497,367,209,97,6,46,0,47,0,47,0,47,0,47,6,46,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,13505,502,3398,372,774,187,468,143,202,97,221,108,1490,276,243,94,1751,292,452,161,192,118,210,101,108,74,676,194,113,105,3780,397,719,212,519,159,412,130,189,99,1824,329,117,109,2522,329,238,102,198,119,363,156,145,99,1253,259,325,139,1954,251,456,178,43,64,119,117,128,93,1011,230,197,83,90,98,0,59,16,60,0,59,0,59,74,97,0,59,10,60,0,59,0,59,0,59,0,59,0,59,10,60
8,North,10387,449,2096,289,495,145,214,86,173,94,262,129,757,185,195,102,939,253,128,84,98,81,141,83,37,63,319,153,216,144,2592,367,614,209,431,185,282,137,146,96,893,236,226,137,1834,268,439,139,180,114,272,115,264,120,657,187,22,49,2883,328,503,148,197,93,379,152,265,116,1375,286,164,101,43,81,0,43,0,43,0,43,0,43,43,81,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
9,Northwest,15599,594,4120,432,1085,247,622,163,339,126,431,150,1486,307,157,86,1894,323,551,176,422,188,255,129,110,79,490,156,66,77,3721,420,1222,299,509,159,400,150,230,102,1331,260,29,62,2811,363,748,218,352,150,237,122,263,129,1094,248,117,97,3027,340,483,184,261,110,616,193,291,147,1309,258,67,99,12,53,9,54,0,54,0,54,0,54,0,54,3,53,14,56,0,54,0,54,0,54,0,54,14,56,0,54
10,Ballard,9634,493,2686,355,722,174,556,173,316,140,282,135,705,189,105,75,1717,287,503,188,470,147,169,105,92,85,448,146,35,51,2673,344,787,222,377,143,527,179,305,149,668,165,9,42,1279,250,278,141,230,105,172,89,31,50,496,174,72,99,1279,281,594,220,108,74,89,76,116,91,372,195,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,17336,590,2208,322,749,168,352,123,233,141,188,102,620,183,66,59,1966,330,449,171,382,153,261,126,170,83,656,193,48,81,4110,400,1140,247,522,202,569,181,449,163,1257,249,173,136,2837,365,822,239,326,135,316,147,237,119,1096,230,40,50,6127,418,1376,290,749,200,912,231,606,212,2276,329,208,152,28,49,0,42,0,42,0,42,0,42,28,49,0,42,60,74,0,42,46,80,0,42,14,45,0,42,0,42
12,Magnolia/Queen Anne,15882,596,1995,298,522,156,203,115,241,121,188,112,645,187,196,107,2558,379,888,246,451,168,377,188,170,93,624,184,48,67,4560,448,1143,243,1152,273,570,182,435,165,1213,249,47,61,4059,419,1257,259,580,193,608,182,467,158,1068,264,79,65,2689,320,642,197,518,180,249,107,198,118,999,228,83,77,21,52,12,52,0,51,0,51,0,51,9,52,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,9235,420,330,113,172,68,63,56,0,29,43,40,32,56,20,42,98,62,10,31,15,33,16,33,12,33,45,48,0,29,824,210,250,133,134,107,86,62,47,50,236,122,71,57,1964,289,565,181,289,109,210,97,204,96,696,197,0,29,5981,458,1419,250,711,226,1235,282,564,163,1767,285,285,131,38,52,0,29,0,29,0,29,0,29,27,50,11,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29
