area_id,area_name,b16005f001,b16005f001_moe,b16005f002,b16005f002_moe,b16005f003,b16005f003_moe,b16005f004,b16005f004_moe,b16005f005,b16005f005_moe,b16005f006,b16005f006_moe,b16005f007,b16005f007_moe,b16005f008,b16005f008_moe,b16005f009,b16005f009_moe,b16005f010,b16005f010_moe,b16005f011,b16005f011_moe
1,Southwest,320,192,213,132,139,117,74,78,44,62,30,67,107,101,17,52,90,99,63,93,27,60
2,Delridge Neighborhoods,858,373,292,196,66,70,226,187,162,139,64,82,566,290,0,38,566,290,59,65,507,270
3,Greater Duwamish,760,411,405,290,186,234,219,183,213,183,6,44,355,210,0,45,355,210,102,79,253,175
4,Southeast,793,555,532,403,78,71,454,399,399,336,55,83,261,175,24,50,237,173,77,73,160,158
5,Central,275,151,179,116,163,114,16,35,7,34,9,35,96,94,28,43,68,90,28,56,40,79
6,East,654,195,393,156,221,120,172,105,152,101,20,51,261,151,55,71,206,139,94,104,112,105
7,Northeast,831,318,561,284,155,115,406,264,389,263,17,59,270,160,87,104,183,134,183,134,0,59
8,North,1161,432,527,220,337,189,190,114,128,94,62,70,634,366,0,43,634,366,96,80,538,360
9,Northwest,1273,396,813,282,385,170,428,221,410,219,18,59,460,201,16,57,444,200,256,155,188,123
10,Ballard,339,176,199,137,82,60,117,131,49,77,68,114,140,106,9,43,131,104,71,69,60,64
11,Lake Union,503,210,286,157,103,87,183,135,183,135,0,42,217,133,71,87,146,109,133,105,13,45
12,Magnolia/Queen Anne,590,208,390,157,195,123,195,107,175,105,20,52,200,153,0,51,200,153,75,79,125,140
13,Downtown,393,163,151,90,74,64,77,71,63,67,14,36,242,138,118,111,124,98,30,43,94,92
