area_id,area_name,b17001h001,b17001h001_moe,b17001h002,b17001h002_moe,b17001h003,b17001h003_moe,b17001h004,b17001h004_moe,b17001h005,b17001h005_moe,b17001h006,b17001h006_moe,b17001h007,b17001h007_moe,b17001h008,b17001h008_moe,b17001h009,b17001h009_moe,b17001h010,b17001h010_moe,b17001h011,b17001h011_moe,b17001h012,b17001h012_moe,b17001h013,b17001h013_moe,b17001h014,b17001h014_moe,b17001h015,b17001h015_moe,b17001h016,b17001h016_moe,b17001h017,b17001h017_moe,b17001h018,b17001h018_moe,b17001h019,b17001h019_moe,b17001h020,b17001h020_moe,b17001h021,b17001h021_moe,b17001h022,b17001h022_moe,b17001h023,b17001h023_moe,b17001h024,b17001h024_moe,b17001h025,b17001h025_moe,b17001h026,b17001h026_moe,b17001h027,b17001h027_moe,b17001h028,b17001h028_moe,b17001h029,b17001h029_moe,b17001h030,b17001h030_moe,b17001h031,b17001h031_moe,b17001h032,b17001h032_moe,b17001h033,b17001h033_moe,b17001h034,b17001h034_moe,b17001h035,b17001h035_moe,b17001h036,b17001h036_moe,b17001h037,b17001h037_moe,b17001h038,b17001h038_moe,b17001h039,b17001h039_moe,b17001h040,b17001h040_moe,b17001h041,b17001h041_moe,b17001h042,b17001h042_moe,b17001h043,b17001h043_moe,b17001h044,b17001h044_moe,b17001h045,b17001h045_moe,b17001h046,b17001h046_moe,b17001h047,b17001h047_moe,b17001h048,b17001h048_moe,b17001h049,b17001h049_moe,b17001h050,b17001h050_moe,b17001h051,b17001h051_moe,b17001h052,b17001h052_moe,b17001h053,b17001h053_moe,b17001h054,b17001h054_moe,b17001h055,b17001h055_moe,b17001h056,b17001h056_moe,b17001h057,b17001h057_moe,b17001h058,b17001h058_moe,b17001h059,b17001h059_moe
1,Southwest,40872,1063,2216,446,1082,272,68,79,0,48,33,56,15,51,15,51,56,80,25,51,209,129,125,83,292,134,187,112,0,48,57,60,1134,289,0,48,0,48,75,86,26,51,8,47,19,54,136,97,213,138,148,94,151,79,190,110,54,57,114,73,38656,1104,18110,706,954,211,220,112,696,175,455,152,231,113,307,122,491,137,2888,393,3401,342,3410,306,2585,271,1488,227,984,183,20546,753,1133,276,192,103,1487,271,341,122,108,75,234,92,654,216,3019,370,3429,324,3225,326,3419,334,1702,238,1603,216
2,Delridge Neighborhoods,17614,884,1463,343,717,216,0,38,0,38,0,38,13,40,0,38,0,38,80,105,48,50,170,104,142,96,144,78,63,53,57,79,746,219,15,43,0,38,0,38,0,38,0,38,0,38,124,102,209,147,95,68,107,68,93,60,67,62,36,47,16151,832,8093,543,431,140,58,52,241,111,110,67,53,48,226,112,345,149,1801,302,1919,273,1316,209,885,197,457,128,251,95,8058,525,360,120,122,79,220,101,150,80,42,53,105,85,265,105,1724,263,1667,237,1232,199,1073,232,562,132,536,131
3,Greater Duwamish,10705,782,1367,330,661,193,0,45,0,45,24,57,24,57,0,45,0,45,74,68,82,64,138,88,112,89,159,106,10,45,38,56,706,257,37,72,0,45,0,45,0,45,62,82,0,45,101,66,168,124,110,88,110,85,26,56,7,45,85,93,9338,687,5199,469,280,132,8,45,90,77,15,46,30,57,8,44,384,187,1420,255,1003,183,1047,197,585,145,183,89,146,74,4139,397,240,114,33,51,158,85,48,63,0,45,19,47,166,81,1141,208,828,181,455,128,507,151,226,97,318,118
4,Southeast,16235,870,1518,346,727,215,32,63,0,45,54,59,28,50,0,45,0,45,0,45,73,88,182,131,214,113,116,95,12,46,16,44,791,245,0,45,9,45,28,52,15,48,0,45,15,49,91,87,163,130,66,55,169,98,55,56,70,74,110,97,14717,817,6795,472,573,165,96,66,307,107,211,92,17,51,50,57,186,88,773,186,1425,233,1285,229,1068,195,489,128,315,116,7922,532,456,141,98,65,453,148,249,93,102,82,80,72,329,130,1152,234,1663,250,1233,213,1336,218,385,120,386,120
5,Central,16525,809,1518,332,545,197,66,69,0,34,0,34,0,34,0,34,0,34,152,101,77,60,59,71,77,68,55,55,47,50,12,36,973,222,0,34,0,34,33,61,0,34,0,34,0,34,300,127,269,131,85,62,68,50,83,58,41,44,94,65,15007,761,7465,470,476,165,73,54,218,97,103,72,0,34,34,47,412,165,1713,301,1614,226,1201,214,914,191,521,127,186,96,7542,540,492,160,101,102,213,102,54,49,0,34,115,70,489,172,1966,291,1567,245,853,158,1108,192,438,164,146,82
6,East,35380,1150,3952,486,1739,308,15,48,0,47,0,47,0,47,0,47,0,47,546,170,395,167,226,128,252,132,192,98,90,81,23,50,2213,368,53,62,0,47,0,47,0,47,0,47,0,47,759,189,452,144,181,113,299,172,130,82,165,105,174,94,31428,1082,16368,809,337,118,49,52,371,116,149,79,71,68,112,71,910,244,5753,654,3412,433,2135,289,1498,242,897,171,674,135,15060,761,417,154,95,71,405,110,114,64,40,49,65,59,1424,283,5367,562,2115,322,1393,223,1494,254,1050,196,1081,193
7,Northeast,54564,1601,7972,1019,3950,683,26,60,0,59,46,66,5,58,0,59,17,60,2518,639,530,187,186,98,242,135,208,93,97,94,75,73,4022,641,36,64,13,60,50,67,0,59,21,61,52,67,2637,536,481,170,122,87,181,97,165,86,69,67,195,249,46592,1147,23061,836,1239,231,246,114,1448,221,585,149,240,106,313,108,2179,461,4093,481,3695,320,3190,298,3274,276,1575,189,984,173,23531,745,1290,214,256,92,1334,197,514,133,276,99,364,128,2003,410,3785,390,3347,270,3582,293,3306,277,1797,208,1677,203
8,North,26670,964,2755,446,1321,274,26,48,11,45,12,45,14,47,0,43,7,44,257,143,219,109,127,80,169,91,326,143,47,63,106,78,1434,292,92,88,0,43,0,43,0,43,15,47,15,48,149,87,258,114,135,91,260,123,238,128,122,77,150,86,23915,1006,11842,618,536,163,114,65,499,166,252,93,71,56,231,89,804,208,2436,329,1900,277,1906,251,1723,197,622,162,748,171,12073,638,653,186,165,72,474,125,198,82,97,78,130,74,686,201,2111,314,1869,246,1616,216,1909,224,784,157,1381,210
9,Northwest,51497,1354,4058,679,1870,428,21,58,4,52,57,72,8,54,23,57,34,66,313,157,489,194,96,71,299,139,305,130,81,66,140,87,2188,396,39,79,0,54,34,63,0,54,0,54,26,66,368,149,340,138,150,89,352,156,264,145,220,141,395,174,47439,1276,23514,862,1354,243,224,89,863,186,505,174,113,82,247,113,1372,311,5487,498,4496,376,3482,324,2884,307,1189,215,1298,216,23925,852,1193,257,132,83,1193,218,376,116,86,65,187,88,1421,336,5166,513,4153,344,3257,338,3360,304,1376,237,2025,264
10,Ballard,37647,963,2210,394,1027,251,20,45,10,45,47,55,45,54,0,43,10,44,100,89,300,135,96,65,115,87,167,86,65,62,52,55,1183,270,34,45,0,43,22,47,0,43,0,43,21,47,191,103,278,143,154,89,112,66,116,75,50,55,205,133,35437,987,18057,680,1151,223,133,69,829,178,342,109,63,54,245,126,1027,252,4187,497,3182,316,2694,291,2585,297,917,186,702,135,17380,704,907,206,185,75,795,183,246,88,107,67,318,127,947,303,3361,364,2893,285,2741,302,2729,267,1112,178,1039,167
