area_id,area_name,b17015001,b17015001_moe,b17015002,b17015002_moe,b17015003,b17015003_moe,b17015004,b17015004_moe,b17015005,b17015005_moe,b17015006,b17015006_moe,b17015007,b17015007_moe,b17015008,b17015008_moe,b17015009,b17015009_moe,b17015010,b17015010_moe,b17015011,b17015011_moe,b17015012,b17015012_moe,b17015013,b17015013_moe,b17015014,b17015014_moe,b17015015,b17015015_moe,b17015016,b17015016_moe,b17015017,b17015017_moe,b17015018,b17015018_moe,b17015019,b17015019_moe,b17015020,b17015020_moe,b17015021,b17015021_moe,b17015022,b17015022_moe,b17015023,b17015023_moe,b17015024,b17015024_moe,b17015025,b17015025_moe,b17015026,b17015026_moe,b17015027,b17015027_moe,b17015028,b17015028_moe,b17015029,b17015029_moe,b17015030,b17015030_moe,b17015031,b17015031_moe,b17015032,b17015032_moe,b17015033,b17015033_moe,b17015034,b17015034_moe,b17015035,b17015035_moe,b17015036,b17015036_moe,b17015037,b17015037_moe,b17015038,b17015038_moe,b17015039,b17015039_moe,b17015040,b17015040_moe,b17015041,b17015041_moe,b17015042,b17015042_moe,b17015043,b17015043_moe,b17015044,b17015044_moe,b17015045,b17015045_moe,b17015046,b17015046_moe,b17015047,b17015047_moe
1,Southwest,11615,463,302,125,202,91,41,53,0,48,41,53,161,83,0,48,161,83,100,92,19,55,0,48,0,48,0,48,19,55,0,48,19,55,81,85,0,48,0,48,0,48,81,85,19,54,62,82,11313,474,9376,453,1772,245,67,59,1705,244,7604,415,89,69,7515,415,1937,304,443,149,154,103,34,52,120,98,289,110,10,48,279,109,1494,266,442,165,98,97,344,139,1052,219,39,56,1013,216
2,Delridge Neighborhoods,7898,410,892,207,314,132,48,63,21,43,27,58,266,123,81,83,185,112,578,183,46,52,0,38,0,38,0,38,46,52,14,41,32,50,532,180,34,49,25,49,9,39,498,176,260,137,238,115,7006,410,4892,387,913,165,99,67,814,159,3979,364,154,94,3825,353,2114,308,712,203,16,38,4,37,12,39,696,202,16,42,680,201,1402,244,248,91,42,45,206,89,1154,233,74,61,1080,227
3,Greater Duwamish,10023,429,1230,254,484,153,135,79,73,72,62,56,349,138,188,120,161,80,746,200,130,87,28,51,19,52,9,44,102,82,24,50,78,77,616,187,166,101,94,81,72,73,450,169,160,115,290,129,8793,432,6141,418,1302,206,95,62,1207,204,4839,399,290,112,4549,396,2652,366,935,214,219,110,49,62,170,101,716,190,68,61,648,182,1717,325,475,155,26,52,449,153,1242,289,143,93,1099,279
4,Southeast,10698,475,1216,275,499,195,78,81,9,43,69,80,421,180,25,46,396,176,717,204,211,104,39,53,18,51,21,48,172,101,6,43,166,100,506,181,61,61,28,54,33,53,445,175,141,100,304,147,9482,490,6531,452,1491,201,145,70,1346,201,5040,413,185,87,4855,413,2951,390,740,200,154,96,51,69,103,80,586,186,49,52,537,183,2211,346,570,175,115,77,455,164,1641,308,162,109,1479,289
5,Central,5827,366,465,178,202,122,47,43,19,36,28,42,155,118,24,37,131,116,263,130,48,65,0,34,0,34,0,34,48,65,0,34,48,65,215,115,108,93,45,75,63,65,107,76,70,68,37,44,5362,341,4110,315,737,169,29,40,708,166,3373,300,24,39,3349,300,1252,248,270,103,24,40,0,34,24,40,246,101,0,34,246,101,982,231,220,116,69,63,151,101,762,203,52,54,710,199
6,East,6914,493,531,155,126,69,24,49,17,49,7,46,102,66,26,48,76,63,405,146,60,63,0,47,0,47,0,47,60,63,11,48,49,60,345,146,39,62,16,51,23,58,306,140,105,78,201,129,6383,481,5608,459,1077,168,42,52,1035,164,4531,444,11,48,4520,443,775,191,298,124,32,51,0,47,32,51,266,120,7,46,259,120,477,160,72,62,0,47,72,62,405,152,0,47,405,152
7,Northeast,14739,465,600,151,168,84,9,59,0,59,9,59,159,83,11,60,148,83,432,135,191,103,10,59,0,59,10,59,181,103,8,58,173,102,241,98,10,60,0,59,10,60,231,97,58,68,173,90,14139,454,12143,448,2100,203,99,72,2001,202,10043,431,72,72,9971,429,1996,289,527,156,152,92,15,61,137,89,375,132,0,59,375,132,1469,244,368,118,8,59,360,117,1101,215,28,62,1073,213
8,North,9165,448,755,196,309,110,51,62,0,43,51,62,258,102,91,73,167,80,446,169,94,84,0,43,0,43,0,43,94,84,63,82,31,47,352,152,34,50,0,43,34,50,318,148,28,43,290,145,8410,426,6499,390,1274,197,56,50,1218,194,5225,365,56,58,5169,367,1911,293,679,181,67,57,0,43,67,57,612,177,29,47,583,175,1232,247,416,144,79,67,337,131,816,202,52,54,764,197
9,Northwest,15452,570,760,200,319,136,61,61,0,54,61,61,258,130,34,64,224,124,441,154,67,66,29,56,0,54,29,56,38,60,11,55,27,59,374,148,55,67,15,52,40,67,319,143,135,112,184,102,14692,570,12371,560,1859,239,82,65,1777,238,10512,518,309,112,10203,508,2321,297,578,153,94,73,0,54,94,73,484,144,42,62,442,138,1743,264,543,148,51,63,492,139,1200,229,87,96,1113,217
10,Ballard,10539,437,288,112,176,88,17,48,0,43,17,48,159,84,16,47,143,80,112,75,36,50,0,43,0,43,0,43,36,50,10,44,26,49,76,67,31,62,0,43,31,62,45,50,8,44,37,48,10251,437,8507,433,1296,177,40,53,1256,182,7211,414,52,62,7159,414,1744,291,540,180,97,67,0,43,97,67,443,167,0,43,443,167,1204,227,271,123,13,45,258,121,933,198,84,80,849,187
11,Lake Union,6677,455,386,181,135,76,40,51,0,42,40,51,95,69,34,56,61,58,251,169,119,145,0,42,0,42,0,42,119,145,0,42,119,145,132,97,0,42,0,42,0,42,132,97,39,73,93,76,6291,420,5253,395,676,126,48,61,628,120,4577,391,88,83,4489,394,1038,220,438,166,26,47,0,42,26,47,412,163,25,45,387,161,600,151,128,71,7,42,121,72,472,137,40,70,432,124
12,Magnolia/Queen Anne,12146,520,230,98,147,81,26,56,0,51,26,56,121,77,0,51,121,77,83,64,16,54,0,51,0,51,0,51,16,54,0,51,16,54,67,61,0,51,0,51,0,51,67,61,36,55,31,53,11916,520,10711,513,1918,240,61,62,1857,241,8793,498,273,127,8520,486,1205,235,306,117,47,65,0,51,47,65,259,108,0,51,259,108,899,209,170,86,0,51,170,86,729,197,45,60,684,192
13,Downtown,2301,306,448,154,291,121,145,93,77,77,68,59,146,78,46,51,100,66,157,100,63,76,0,29,0,29,0,29,63,76,0,29,63,76,94,71,6,28,0,29,6,28,88,71,26,45,62,62,1853,266,1685,257,355,117,50,47,305,111,1330,233,38,39,1292,231,168,77,30,39,22,35,8,31,14,33,8,30,0,29,8,30,138,69,20,32,0,29,20,32,118,65,0,29,118,65
