area_id,area_name,b99201001,b99201001_moe,b99201002,b99201002_moe,b99201003,b99201003_moe,b99201004,b99201004_moe,b99201005,b99201005_moe,b99201006,b99201006_moe,b99201007,b99201007_moe,b99201008,b99201008_moe
1,Southwest,41109,-1,37676,-1,663,-1,0,-1,0,-1,0,-1,20,-1,2750,-1
2,Delridge Neighborhoods,28265,-1,24006,-1,486,-1,0,-1,0,-1,0,-1,10,-1,3763,-1
3,Greater Duwamish,37253,-1,30191,-1,1266,-1,0,-1,0,-1,0,-1,12,-1,5784,-1
4,Southeast,36862,-1,31403,-1,950,-1,0,-1,0,-1,0,-1,21,-1,4488,-1
5,Central,25606,-1,22301,-1,680,-1,0,-1,0,-1,0,-1,0,-1,2625,-1
6,East,47668,-1,42571,-1,1089,-1,0,-1,0,-1,0,-1,8,-1,4000,-1
7,Northeast,68827,-1,59278,-1,1246,-1,0,-1,0,-1,0,-1,0,-1,8303,-1
8,North,34497,-1,29670,-1,755,-1,0,-1,0,-1,0,-1,31,-1,4041,-1
9,Northwest,60193,-1,52879,-1,1230,-1,0,-1,0,-1,0,-1,45,-1,6039,-1
10,Ballard,38122,-1,33916,-1,536,-1,0,-1,0,-1,0,-1,7,-1,3663,-1
11,Lake Union,40690,-1,36349,-1,405,-1,0,-1,0,-1,0,-1,0,-1,3936,-1
12,Magnolia/Queen Anne,52029,-1,45930,-1,491,-1,0,-1,0,-1,0,-1,41,-1,5567,-1
13,Downtown,16437,-1,14603,-1,537,-1,0,-1,0,-1,0,-1,0,-1,1297,-1
