area_id,area_name,b17020h001,b17020h001_moe,b17020h002,b17020h002_moe,b17020h003,b17020h003_moe,b17020h004,b17020h004_moe,b17020h005,b17020h005_moe,b17020h006,b17020h006_moe,b17020h007,b17020h007_moe,b17020h008,b17020h008_moe,b17020h009,b17020h009_moe,b17020h010,b17020h010_moe,b17020h011,b17020h011_moe,b17020h012,b17020h012_moe,b17020h013,b17020h013_moe,b17020h014,b17020h014_moe,b17020h015,b17020h015_moe,b17020h016,b17020h016_moe,b17020h017,b17020h017_moe
1,Southwest,40872,1063,2216,446,68,79,0,48,108,94,139,99,1676,335,54,57,171,98,38656,1104,2087,361,412,149,2183,296,1676,297,26521,825,3190,351,2587,286
2,Delridge Neighborhoods,17614,884,1463,343,15,43,0,38,0,38,13,40,1212,320,130,77,93,85,16151,832,791,182,180,88,461,161,686,208,12227,642,1019,192,787,173
3,Greater Duwamish,10705,782,1367,330,37,72,0,45,24,57,86,104,1080,254,17,45,123,100,9338,687,520,199,41,51,248,122,120,79,7536,568,409,127,464,145
4,Southeast,16235,870,1518,346,32,63,9,45,82,74,58,69,1129,288,82,77,126,98,14717,817,1029,234,194,90,760,197,709,180,10450,622,874,185,701,197
5,Central,16525,809,1518,332,66,69,0,34,33,61,0,34,1225,273,88,70,106,68,15007,761,968,253,174,112,431,134,306,126,11837,600,959,202,332,127
6,East,35380,1150,3952,486,68,63,0,47,0,47,0,47,3432,452,255,129,197,96,31428,1082,754,199,144,77,776,162,551,131,25501,964,1947,261,1755,259
7,Northeast,54564,1601,7972,1019,62,71,13,60,96,77,95,75,7270,982,166,102,270,253,46592,1147,2529,324,502,143,2782,306,2292,330,32454,954,3372,300,2661,283
8,North,26670,964,2755,446,118,93,11,45,12,45,51,64,2138,380,169,106,256,127,23915,1006,1189,263,279,88,973,206,979,197,16960,752,1406,235,2129,276
9,Northwest,51497,1354,4058,679,60,82,4,52,91,80,91,80,2976,617,301,151,535,178,47439,1276,2547,345,356,111,2056,282,1514,281,35078,975,2565,335,3323,343
10,Ballard,37647,963,2210,394,54,60,10,45,69,61,76,67,1629,315,115,74,257,140,35437,987,2058,297,318,103,1624,265,1321,249,26346,805,2029,271,1741,234
11,Lake Union,33599,1209,4332,609,28,49,0,42,14,46,10,41,4035,599,109,95,136,95,29267,1032,1083,203,290,114,845,158,426,125,24370,930,1304,193,949,201
12,Magnolia/Queen Anne,46666,1318,3211,614,0,51,0,51,52,60,32,54,2850,592,39,55,238,97,43455,1218,2215,317,493,153,2038,326,1454,262,31667,938,2939,337,2649,316
13,Downtown,10072,617,1641,306,0,29,0,29,0,29,0,29,1512,302,51,53,78,67,8431,549,196,60,0,29,14,33,6,29,6978,514,905,204,332,157
