area_id,area_name,b17010e001,b17010e001_moe,b17010e002,b17010e002_moe,b17010e003,b17010e003_moe,b17010e004,b17010e004_moe,b17010e005,b17010e005_moe,b17010e006,b17010e006_moe,b17010e007,b17010e007_moe,b17010e008,b17010e008_moe,b17010e009,b17010e009_moe,b17010e010,b17010e010_moe,b17010e011,b17010e011_moe,b17010e012,b17010e012_moe,b17010e013,b17010e013_moe,b17010e014,b17010e014_moe,b17010e015,b17010e015_moe,b17010e016,b17010e016_moe,b17010e017,b17010e017_moe,b17010e018,b17010e018_moe,b17010e019,b17010e019_moe,b17010e020,b17010e020_moe,b17010e021,b17010e021_moe,b17010e022,b17010e022_moe,b17010e023,b17010e023_moe,b17010e024,b17010e024_moe,b17010e025,b17010e025_moe,b17010e026,b17010e026_moe,b17010e027,b17010e027_moe,b17010e028,b17010e028_moe,b17010e029,b17010e029_moe,b17010e030,b17010e030_moe,b17010e031,b17010e031_moe,b17010e032,b17010e032_moe,b17010e033,b17010e033_moe,b17010e034,b17010e034_moe,b17010e035,b17010e035_moe,b17010e036,b17010e036_moe,b17010e037,b17010e037_moe,b17010e038,b17010e038_moe,b17010e039,b17010e039_moe,b17010e040,b17010e040_moe,b17010e041,b17010e041_moe
1,Southwest,116,116,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,116,116,0,48,0,48,0,48,0,48,0,48,0,48,116,116,0,48,0,48,0,48,0,48,0,48,0,48,116,116,109,116,0,48,57,92,52,86,7,48
2,Delridge Neighborhoods,71,59,11,42,11,42,11,42,0,38,0,38,11,42,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,60,56,30,44,19,40,10,39,0,38,9,39,11,39,30,52,8,39,8,39,0,38,0,38,8,39,0,38,22,51,22,51,0,38,0,38,22,51,0,38
3,Greater Duwamish,119,85,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,119,85,96,79,28,56,0,45,0,45,28,56,68,70,23,55,0,45,0,45,0,45,0,45,0,45,0,45,23,55,23,55,23,55,0,45,0,45,0,45
4,Southeast,100,96,42,74,42,74,0,45,0,45,0,45,0,45,42,74,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,58,75,24,55,13,53,0,45,13,53,0,45,11,47,34,68,0,45,0,45,0,45,0,45,0,45,0,45,34,68,0,45,0,45,0,45,0,45,34,68
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,48,65,18,47,0,43,0,43,0,43,0,43,0,43,0,43,18,47,0,43,0,43,0,43,0,43,0,43,0,43,18,47,18,47,0,43,0,43,18,47,0,43,30,63,30,63,0,43,0,43,0,43,0,43,30,63,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
9,Northwest,47,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,47,58,31,56,11,54,0,54,11,54,0,54,20,56,16,55,0,54,0,54,0,54,0,54,0,54,0,54,16,55,16,55,16,55,0,54,0,54,0,54
10,Ballard,9,46,9,46,9,46,9,46,0,43,0,43,9,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
