area_id,area_name,b16003001,b16003001_moe,b16003002,b16003002_moe,b16003003,b16003003_moe,b16003004,b16003004_moe,b16003005,b16003005_moe,b16003006,b16003006_moe,b16003007,b16003007_moe,b16003008,b16003008_moe,b16003009,b16003009_moe,b16003010,b16003010_moe,b16003011,b16003011_moe,b16003012,b16003012_moe
1,Southwest,392,196,0,48,0,48,0,48,0,48,0,48,0,48,392,196,77,64,239,180,76,73,0,48
2,Delridge Neighborhoods,2456,554,390,193,55,64,36,66,30,58,171,132,98,94,2066,467,744,343,138,104,886,257,298,200
3,Greater Duwamish,8861,1121,1854,434,64,72,189,165,0,45,719,199,882,383,7007,905,1021,431,7,44,4870,755,1109,362
4,Southeast,4642,799,623,306,97,84,34,70,0,45,332,148,160,203,4019,680,536,317,209,138,2127,467,1147,422
5,Central,1178,410,215,210,0,34,53,72,0,34,0,34,162,207,963,269,229,209,51,57,515,111,168,138
6,East,2043,456,83,65,12,48,0,47,0,47,55,60,16,51,1960,447,434,317,274,141,919,282,333,189
7,Northeast,1477,349,88,96,0,59,42,88,20,66,26,63,0,59,1389,314,78,90,310,168,919,240,82,91
8,North,3240,755,408,200,105,99,137,112,24,59,83,75,59,87,2832,631,568,340,286,159,1382,392,596,297
9,Northwest,2160,595,339,224,0,54,163,134,35,75,28,60,113,179,1821,452,515,251,368,212,733,244,205,152
10,Ballard,600,239,36,66,0,43,0,43,0,43,36,66,0,43,564,223,172,153,161,99,187,128,44,55
11,Lake Union,932,265,13,52,0,42,0,42,0,42,13,52,0,42,919,261,143,89,146,118,612,223,18,49
12,Magnolia/Queen Anne,657,228,14,54,0,51,14,54,0,51,0,51,0,51,643,222,179,131,133,98,331,165,0,51
13,Downtown,1983,413,128,152,0,29,0,29,21,41,102,146,5,34,1855,359,37,40,53,53,1590,331,175,148
