area_id,area_name,b20017d001,b20017d001_moe,b20017d002,b20017d002_moe,b20017d003,b20017d003_moe,b20017d004,b20017d004_moe,b20017d005,b20017d005_moe,b20017d006,b20017d006_moe,b20017d007,b20017d007_moe
1,Southwest,70505,133978,162078,197854,243259,117824,29083,209326,69303,115441,156240,129503,18923,164963
2,Delridge Neighborhoods,149078,24727,156132,36920,190134,23391,70506,49216,140878,45186,207198,63978,64363,45959
3,Greater Duwamish,258769,21073,284901,40247,383885,36753,129449,32598,243686,26779,315712,29192,125786,24669
4,Southeast,185298,34347,179072,35424,257239,81213,67374,62387,192544,24946,247565,38083,75927,14337
5,Central,97126,26399,84556,18570,138542,43409,63507,55744,112446,49759,129742,79453,63737,43453
6,East,111165,59918,141037,92507,240985,249253,62343,27199,142045,51942,167345,116797,63321,46043
7,Northeast,406616,133217,464505,227403,879513,448382,269080,129451,368123,138992,737626,203050,193653,111166
8,North,191903,26580,207257,49659,277067,98632,79647,48590,194222,39234,253184,56815,108963,34837
9,Northwest,247479,36777,258043,72703,370870,102465,127406,63722,232461,55532,347734,56527,130266,48687
10,Ballard,82583,25644,72422,44620,166319,176901,40306,61933,74294,33596,85962,68826,67459,3249
11,Lake Union,84899,21431,90016,14520,169832,36545,62300,36165,57000,21562,86500,54928,37027,37772
12,Magnolia/Queen Anne,137660,51158,206226,83777,220176,69830,128548,63750,120313,66871,160371,142832,55573,72848
13,Downtown,32356,18856,37917,13873,86750,61258,30069,13524,25174,26993,47507,18370,15207,14084
