area_id,area_name,b19056001,b19056001_moe,b19056002,b19056002_moe,b19056003,b19056003_moe
1,Southwest,23226,383,477,155,22749,393
2,Delridge Neighborhoods,14850,356,695,178,14155,371
3,Greater Duwamish,16086,331,1280,246,14806,401
4,Southeast,17612,387,956,203,16656,417
5,Central,13921,329,495,136,13426,348
6,East,29701,474,844,201,28857,507
7,Northeast,30311,401,493,159,29818,434
8,North,19461,351,620,177,18841,380
9,Northwest,33168,437,852,202,32316,473
10,Ballard,21236,330,262,103,20974,337
11,Lake Union,24520,524,582,177,23938,532
12,Magnolia/Queen Anne,29974,461,665,218,29309,489
13,Downtown,11410,381,1236,229,10174,433
