area_id,area_name,b25106001,b25106001_moe,b25106002,b25106002_moe,b25106003,b25106003_moe,b25106004,b25106004_moe,b25106005,b25106005_moe,b25106006,b25106006_moe,b25106007,b25106007_moe,b25106008,b25106008_moe,b25106009,b25106009_moe,b25106010,b25106010_moe,b25106011,b25106011_moe,b25106012,b25106012_moe,b25106013,b25106013_moe,b25106014,b25106014_moe,b25106015,b25106015_moe,b25106016,b25106016_moe,b25106017,b25106017_moe,b25106018,b25106018_moe,b25106019,b25106019_moe,b25106020,b25106020_moe,b25106021,b25106021_moe,b25106022,b25106022_moe,b25106023,b25106023_moe,b25106024,b25106024_moe,b25106025,b25106025_moe,b25106026,b25106026_moe,b25106027,b25106027_moe,b25106028,b25106028_moe,b25106029,b25106029_moe,b25106030,b25106030_moe,b25106031,b25106031_moe,b25106032,b25106032_moe,b25106033,b25106033_moe,b25106034,b25106034_moe,b25106035,b25106035_moe,b25106036,b25106036_moe,b25106037,b25106037_moe,b25106038,b25106038_moe,b25106039,b25106039_moe,b25106040,b25106040_moe,b25106041,b25106041_moe,b25106042,b25106042_moe,b25106043,b25106043_moe,b25106044,b25106044_moe,b25106045,b25106045_moe,b25106046,b25106046_moe
1,Southwest,23226,383,14808,462,729,174,26,52,31,55,672,170,1114,225,206,112,252,97,656,186,1056,199,297,113,274,101,485,136,1921,261,501,141,333,108,1087,199,9888,440,5065,408,3040,335,1783,264,100,71,8418,488,1202,245,80,100,167,99,955,215,1292,251,61,61,108,72,1123,243,1534,276,87,74,731,193,716,200,1734,328,499,193,762,206,473,155,2241,323,1613,293,531,145,97,67,154,122,261,131
2,Delridge Neighborhoods,14850,356,7724,382,310,97,40,48,46,51,224,81,638,147,150,80,138,76,350,117,762,192,196,97,77,50,489,166,1702,248,346,115,315,105,1041,205,4265,332,1877,244,1720,247,668,181,47,82,7126,444,2033,321,49,49,216,119,1768,323,1457,276,91,86,158,91,1208,258,869,228,71,75,367,161,431,162,1172,250,432,183,457,137,283,121,1297,270,967,238,235,133,95,83,79,63,219,90
3,Greater Duwamish,16086,331,8359,418,698,151,121,76,119,71,458,121,728,153,132,75,171,79,425,121,1047,207,286,105,166,90,595,157,1884,268,534,134,336,136,1014,203,3953,363,1953,263,1266,226,734,168,49,63,7727,450,2131,287,81,68,253,110,1797,280,1691,305,35,47,416,177,1240,266,1463,292,105,73,699,213,659,194,1050,231,370,144,303,114,377,153,980,232,772,214,184,86,24,47,77,65,335,137
4,Southeast,17612,387,10861,427,590,152,13,47,52,53,525,146,855,191,117,84,103,66,635,168,1024,220,167,74,154,74,703,197,2084,299,399,117,452,158,1233,254,6235,412,2967,320,2101,304,1167,229,73,67,6751,473,2084,335,51,63,132,73,1901,328,1628,297,102,107,246,153,1280,284,697,219,78,62,278,142,341,160,1061,287,455,198,342,174,264,142,965,220,690,197,239,112,36,57,182,128,134,73
5,Central,13921,329,6894,359,458,169,0,34,17,34,441,166,527,141,29,38,64,57,434,132,499,147,105,68,68,44,326,128,926,205,248,90,161,85,517,164,4422,349,2118,256,1527,258,777,177,62,55,7027,395,1827,268,59,60,226,106,1542,260,1244,292,11,37,261,136,972,253,1008,213,37,42,510,173,461,133,1158,226,223,112,611,183,324,124,1580,275,1127,235,429,141,24,41,59,86,151,86
6,East,29701,474,8008,453,345,128,47,57,7,47,291,120,622,177,89,57,48,62,485,164,623,179,67,62,172,87,384,153,1190,227,282,111,283,102,625,178,5182,399,2543,332,1665,278,974,202,46,57,21693,578,5091,513,205,141,599,164,4287,500,3945,474,62,54,484,172,3399,456,3245,386,237,111,1589,294,1419,267,3368,413,917,233,2016,333,435,142,5318,525,3973,488,1112,255,233,150,332,131,394,158
7,Northeast,30311,401,16806,426,715,151,32,62,47,69,636,145,800,161,103,71,182,81,515,137,980,165,330,100,172,88,478,128,2058,253,669,139,377,119,1012,194,12195,440,7096,391,3228,309,1871,266,58,67,13505,502,3289,372,22,67,126,115,3141,385,2332,340,54,81,286,128,1992,318,1839,280,121,99,840,186,878,207,2645,359,831,233,917,214,897,218,2395,326,1611,265,573,160,211,105,624,180,381,126
8,North,19461,351,9074,354,732,164,44,54,55,54,633,154,704,183,110,68,92,69,502,162,875,176,221,92,227,91,427,134,1508,235,578,153,224,92,706,167,5226,338,2599,258,1677,225,950,203,29,46,10387,449,2146,345,60,73,229,116,1857,317,2304,354,70,79,318,123,1916,326,1735,322,110,76,956,249,669,198,1783,293,755,222,586,163,442,165,1596,263,1184,230,278,109,134,77,436,176,387,170
9,Northwest,33168,437,17569,559,999,208,66,62,73,68,860,199,1267,210,185,83,315,114,767,175,1663,273,413,116,263,126,987,216,2606,305,842,174,473,136,1291,235,11011,511,5338,403,3797,376,1876,270,23,56,15599,594,3462,421,316,167,378,138,2768,384,2749,371,106,112,359,132,2284,347,2262,354,180,126,1100,264,982,220,3092,379,833,218,1378,273,881,216,3595,431,2663,376,798,200,134,92,194,132,245,104
10,Ballard,21236,330,11602,423,633,168,33,47,61,55,539,159,599,139,146,72,93,64,360,109,895,192,269,115,149,72,477,149,2040,267,737,161,332,114,971,201,7354,392,3358,298,2439,296,1557,258,81,75,9634,493,1148,220,0,43,127,75,1021,211,1609,310,81,90,262,141,1266,277,1472,290,32,51,764,200,676,215,1993,315,588,205,940,219,465,178,3191,395,2183,349,921,222,87,90,87,94,134,74
