area_id,area_name,b19037i001,b19037i001_moe,b19037i002,b19037i002_moe,b19037i003,b19037i003_moe,b19037i004,b19037i004_moe,b19037i005,b19037i005_moe,b19037i006,b19037i006_moe,b19037i007,b19037i007_moe,b19037i008,b19037i008_moe,b19037i009,b19037i009_moe,b19037i010,b19037i010_moe,b19037i011,b19037i011_moe,b19037i012,b19037i012_moe,b19037i013,b19037i013_moe,b19037i014,b19037i014_moe,b19037i015,b19037i015_moe,b19037i016,b19037i016_moe,b19037i017,b19037i017_moe,b19037i018,b19037i018_moe,b19037i019,b19037i019_moe,b19037i020,b19037i020_moe,b19037i021,b19037i021_moe,b19037i022,b19037i022_moe,b19037i023,b19037i023_moe,b19037i024,b19037i024_moe,b19037i025,b19037i025_moe,b19037i026,b19037i026_moe,b19037i027,b19037i027_moe,b19037i028,b19037i028_moe,b19037i029,b19037i029_moe,b19037i030,b19037i030_moe,b19037i031,b19037i031_moe,b19037i032,b19037i032_moe,b19037i033,b19037i033_moe,b19037i034,b19037i034_moe,b19037i035,b19037i035_moe,b19037i036,b19037i036_moe,b19037i037,b19037i037_moe,b19037i038,b19037i038_moe,b19037i039,b19037i039_moe,b19037i040,b19037i040_moe,b19037i041,b19037i041_moe,b19037i042,b19037i042_moe,b19037i043,b19037i043_moe,b19037i044,b19037i044_moe,b19037i045,b19037i045_moe,b19037i046,b19037i046_moe,b19037i047,b19037i047_moe,b19037i048,b19037i048_moe,b19037i049,b19037i049_moe,b19037i050,b19037i050_moe,b19037i051,b19037i051_moe,b19037i052,b19037i052_moe,b19037i053,b19037i053_moe,b19037i054,b19037i054_moe,b19037i055,b19037i055_moe,b19037i056,b19037i056_moe,b19037i057,b19037i057_moe,b19037i058,b19037i058_moe,b19037i059,b19037i059_moe,b19037i060,b19037i060_moe,b19037i061,b19037i061_moe,b19037i062,b19037i062_moe,b19037i063,b19037i063_moe,b19037i064,b19037i064_moe,b19037i065,b19037i065_moe,b19037i066,b19037i066_moe,b19037i067,b19037i067_moe,b19037i068,b19037i068_moe,b19037i069,b19037i069_moe
1,Southwest,790,206,47,61,0,48,0,48,0,48,0,48,0,48,0,48,0,48,15,51,13,50,19,55,0,48,0,48,0,48,0,48,0,48,0,48,264,110,38,56,0,48,0,48,42,67,17,52,0,48,0,48,0,48,17,53,0,48,13,49,13,51,50,61,8,49,19,54,47,66,406,166,0,48,0,48,16,52,0,48,20,55,16,52,20,55,0,48,0,48,90,103,0,48,37,60,0,48,90,85,52,66,65,73,73,67,49,59,0,48,0,48,0,48,0,48,0,48,24,58,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,1611,266,120,106,16,44,13,41,0,38,86,102,0,38,0,38,0,38,0,38,0,38,0,38,5,37,0,38,0,38,0,38,0,38,0,38,905,221,17,43,68,72,32,58,22,44,83,82,46,62,20,45,0,38,65,67,60,60,266,159,140,116,79,67,0,38,7,38,0,38,501,163,25,52,0,38,37,54,91,105,68,73,3,37,2,36,68,61,17,44,23,47,42,53,63,55,12,41,11,41,22,49,17,40,85,65,19,46,20,40,0,38,0,38,0,38,0,38,0,38,0,38,0,38,12,41,0,38,34,54,0,38,0,38,0,38,0,38
3,Greater Duwamish,1098,216,61,69,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,17,53,44,63,0,45,0,45,0,45,0,45,0,45,798,206,42,65,28,58,52,57,80,96,111,100,65,70,45,67,48,70,30,62,76,83,87,78,35,54,19,47,21,53,31,62,28,62,150,72,9,46,4,44,0,45,0,45,17,45,0,45,34,55,15,49,27,48,0,45,8,45,0,45,6,44,0,45,0,45,30,50,89,80,41,70,29,57,0,45,0,45,19,52,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
4,Southeast,1147,268,86,90,17,49,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,36,71,33,68,0,45,0,45,0,45,0,45,0,45,514,195,44,81,53,93,75,82,90,110,4,50,57,81,0,45,13,47,11,45,52,78,14,48,63,82,9,45,0,45,29,53,0,45,491,178,76,72,37,72,0,45,0,45,0,45,24,47,49,74,0,45,0,45,108,114,60,70,77,63,14,47,0,45,0,45,46,83,56,63,0,45,0,45,24,56,0,45,0,45,0,45,17,45,0,45,0,45,0,45,0,45,0,45,15,49,0,45,0,45,0,45
5,Central,681,177,61,63,10,35,10,35,0,34,9,34,32,59,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,433,147,15,40,8,34,0,34,0,34,0,34,30,46,28,55,23,40,66,73,60,62,0,34,124,79,9,35,38,47,11,36,21,44,165,93,0,34,35,63,0,34,0,34,0,34,0,34,0,34,0,34,24,41,11,36,0,34,8,34,22,48,50,53,0,34,15,38,22,47,0,34,22,47,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,1397,278,228,117,30,55,0,47,28,52,46,84,8,47,15,51,0,47,23,58,0,47,0,47,22,58,0,47,56,88,0,47,0,47,0,47,801,224,30,53,8,47,19,54,65,79,115,154,85,76,13,50,30,52,55,65,57,81,39,55,53,54,99,71,19,50,95,85,19,55,360,149,34,57,90,81,29,55,0,47,64,85,0,47,0,47,49,73,12,47,0,47,18,55,0,47,36,58,6,46,0,47,22,49,8,47,8,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,873,221,261,147,144,116,0,59,17,63,0,59,0,59,0,59,0,59,18,65,0,59,0,59,82,99,0,59,0,59,0,59,0,59,0,59,353,132,7,59,17,62,14,62,0,59,49,95,13,61,0,59,17,64,0,59,0,59,62,72,16,59,91,77,32,62,27,61,8,59,240,114,22,60,53,99,0,59,9,59,8,59,0,59,0,59,5,58,0,59,0,59,33,66,29,61,21,61,5,58,36,63,19,61,19,62,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,9,60,10,60,0,59,0,59
8,North,1148,247,153,117,0,43,0,43,78,98,17,48,0,43,0,43,31,62,0,43,27,59,0,43,0,43,0,43,0,43,0,43,0,43,0,43,700,196,43,79,21,44,23,48,86,97,0,43,42,52,67,100,49,52,40,75,53,54,105,81,103,75,34,49,0,43,16,49,18,45,212,91,10,45,0,43,0,43,17,50,13,47,0,43,0,43,0,43,13,45,64,75,0,43,6,43,57,56,0,43,0,43,32,48,83,104,62,100,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,21,52,0,43,0,43,0,43,0,43,0,43
9,Northwest,1673,320,127,109,0,54,0,54,0,54,0,54,20,62,0,54,0,54,49,91,0,54,30,70,17,59,0,54,0,54,0,54,11,55,0,54,1124,273,120,120,16,58,29,60,39,80,30,72,142,112,41,68,100,112,102,87,38,67,194,128,82,72,51,65,69,82,71,64,0,54,292,114,0,54,0,54,0,54,58,76,31,63,0,54,18,59,17,57,42,71,0,54,24,58,30,59,19,56,11,55,37,60,5,53,130,81,18,59,14,55,12,56,19,59,0,54,0,54,0,54,22,64,0,54,18,55,0,54,0,54,0,54,0,54,0,54,27,61
10,Ballard,944,255,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,731,238,14,48,0,43,15,47,0,43,106,95,161,155,7,43,137,113,17,50,60,72,35,68,25,46,28,51,0,43,43,55,83,95,180,90,0,43,0,43,11,45,0,43,0,43,0,43,0,43,20,50,0,43,9,44,48,72,26,48,26,48,29,50,0,43,11,45,33,54,33,54,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,1043,239,139,80,14,46,0,42,17,46,0,42,34,54,0,42,0,42,15,46,0,42,12,45,15,48,32,51,0,42,0,42,0,42,0,42,702,210,0,42,50,59,36,55,14,45,0,42,106,110,14,45,17,49,52,59,75,64,101,104,63,61,92,87,35,55,47,57,0,42,118,76,0,42,13,45,0,42,23,54,0,42,0,42,0,42,0,42,21,50,20,50,26,48,0,42,8,43,7,42,0,42,0,42,84,79,50,68,17,49,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,17,48,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,998,235,142,104,12,52,30,69,36,76,0,51,0,51,0,51,0,51,64,74,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,634,198,28,55,13,54,0,51,29,59,14,53,20,60,0,51,13,52,0,51,75,84,159,102,117,101,54,69,25,64,41,59,46,86,111,76,10,52,0,51,0,51,0,51,18,56,0,51,0,51,15,54,0,51,0,51,28,57,0,51,15,54,0,51,0,51,25,63,111,86,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,9,50,33,72,34,63,20,58,0,51,15,53,0,51,0,51
13,Downtown,410,159,87,71,66,69,13,33,0,29,8,31,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,193,119,14,34,0,29,0,29,0,29,21,38,0,29,95,102,14,33,0,29,0,29,0,29,19,43,12,33,0,29,18,40,0,29,101,75,11,33,0,29,19,42,0,29,0,29,31,54,0,29,0,29,0,29,0,29,25,43,0,29,0,29,15,37,0,29,0,29,29,43,12,34,0,29,0,29,0,29,0,29,0,29,0,29,17,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
