area_id,area_name,b19101e001,b19101e001_moe,b19101e002,b19101e002_moe,b19101e003,b19101e003_moe,b19101e004,b19101e004_moe,b19101e005,b19101e005_moe,b19101e006,b19101e006_moe,b19101e007,b19101e007_moe,b19101e008,b19101e008_moe,b19101e009,b19101e009_moe,b19101e010,b19101e010_moe,b19101e011,b19101e011_moe,b19101e012,b19101e012_moe,b19101e013,b19101e013_moe,b19101e014,b19101e014_moe,b19101e015,b19101e015_moe,b19101e016,b19101e016_moe,b19101e017,b19101e017_moe
1,Southwest,116,116,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,116,116,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,71,59,11,42,0,38,0,38,0,38,22,51,0,38,0,38,0,38,0,38,0,38,11,39,19,40,0,38,0,38,8,39,0,38
3,Greater Duwamish,119,85,0,45,0,45,0,45,23,55,0,45,0,45,0,45,0,45,25,56,0,45,34,59,9,47,0,45,28,58,0,45,0,45
4,Southeast,100,96,0,45,42,74,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,13,53,11,47,34,68,0,45,0,45
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,48,65,0,43,0,43,18,47,0,43,0,43,0,43,0,43,0,43,30,63,0,43,0,43,0,43,0,43,0,43,0,43,0,43
9,Northwest,47,58,0,54,0,54,0,54,0,54,11,55,0,54,11,54,0,54,16,55,9,55,0,54,0,54,0,54,0,54,0,54,0,54
10,Ballard,9,46,0,43,0,43,0,43,9,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
