area_id,area_name,b19101i001,b19101i001_moe,b19101i002,b19101i002_moe,b19101i003,b19101i003_moe,b19101i004,b19101i004_moe,b19101i005,b19101i005_moe,b19101i006,b19101i006_moe,b19101i007,b19101i007_moe,b19101i008,b19101i008_moe,b19101i009,b19101i009_moe,b19101i010,b19101i010_moe,b19101i011,b19101i011_moe,b19101i012,b19101i012_moe,b19101i013,b19101i013_moe,b19101i014,b19101i014_moe,b19101i015,b19101i015_moe,b19101i016,b19101i016_moe,b19101i017,b19101i017_moe
1,Southwest,421,161,0,48,0,48,16,52,0,48,0,48,0,48,24,58,15,51,13,50,91,104,0,48,22,58,15,51,98,86,41,55,86,79
2,Delridge Neighborhoods,1025,228,34,50,51,67,32,58,187,140,67,79,25,49,2,36,29,42,83,69,41,58,236,144,172,120,40,57,11,41,7,38,8,39
3,Greater Duwamish,851,188,92,84,64,70,31,49,80,96,66,66,61,70,86,76,110,100,40,63,47,68,73,69,17,47,40,63,33,55,0,45,11,47
4,Southeast,719,220,36,71,37,72,59,78,90,110,14,50,57,81,55,73,13,47,11,45,147,130,93,87,40,54,38,59,0,45,29,53,0,45
5,Central,234,104,0,34,0,34,0,34,0,34,0,34,13,38,0,34,26,41,48,68,0,34,0,34,52,52,0,34,59,56,0,34,36,51
6,East,414,200,0,47,0,47,13,49,0,47,108,153,0,47,0,47,75,76,12,47,37,76,18,55,7,46,87,91,17,48,13,49,27,55
7,Northeast,325,107,10,60,17,62,0,59,0,59,0,59,13,61,0,59,5,58,0,59,0,59,45,70,54,63,53,68,38,62,63,65,27,61
8,North,799,201,53,80,11,43,66,83,73,82,0,43,41,61,98,118,0,43,23,45,80,78,126,86,80,68,82,60,0,43,16,49,50,50
9,Northwest,847,242,91,112,16,58,29,60,20,55,60,87,73,88,7,57,93,97,110,92,13,56,92,108,44,60,31,63,64,79,77,66,27,61
10,Ballard,364,154,14,48,0,43,15,47,0,43,45,83,30,63,7,43,92,96,0,43,0,43,45,69,0,43,43,53,16,48,13,46,44,65
11,Lake Union,232,128,18,48,13,45,17,46,0,42,0,42,58,103,0,42,17,49,0,42,0,42,10,43,26,49,11,44,15,46,47,57,0,42
12,Magnolia/Queen Anne,317,133,0,51,13,54,0,51,0,51,27,55,20,60,0,51,15,54,9,50,16,53,23,56,39,63,15,54,40,66,29,57,71,94
13,Downtown,25,43,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,25,43,0,29,0,29,0,29,0,29,0,29
