area_id,area_name,b21002001,b21002001_moe,b21002002,b21002002_moe,b21002003,b21002003_moe,b21002004,b21002004_moe,b21002005,b21002005_moe,b21002006,b21002006_moe,b21002007,b21002007_moe,b21002008,b21002008_moe,b21002009,b21002009_moe,b21002010,b21002010_moe,b21002011,b21002011_moe,b21002012,b21002012_moe,b21002013,b21002013_moe,b21002014,b21002014_moe,b21002015,b21002015_moe,b21002016,b21002016_moe
1,Southwest,3791,413,223,167,181,117,16,52,561,169,9,44,1147,209,33,52,0,48,288,102,23,51,394,121,483,155,403,137,15,51,15,51
2,Delridge Neighborhoods,1978,295,108,71,46,56,0,38,254,118,97,79,690,176,14,42,1,36,113,64,7,38,153,98,361,151,134,73,0,38,0,38
3,Greater Duwamish,2108,324,262,122,33,57,21,54,226,97,6,43,741,207,8,44,10,49,103,65,0,45,237,95,285,139,165,84,11,46,0,45
4,Southeast,2250,320,79,71,27,48,0,45,290,135,0,45,890,197,11,42,0,45,229,89,9,45,229,86,232,112,234,90,17,46,3,42
5,Central,1417,265,104,83,14,38,0,34,181,100,12,36,370,118,26,39,11,38,108,67,5,33,175,85,243,124,168,79,0,34,0,34
6,East,2634,360,212,135,49,56,0,47,201,85,16,51,904,206,12,48,0,47,205,86,32,52,255,96,465,178,239,101,27,53,17,51
7,Northeast,3247,355,220,117,112,92,12,59,271,122,22,61,1169,214,8,59,0,59,319,115,26,63,336,114,428,147,315,103,9,59,0,59
8,North,2053,270,123,86,26,51,0,43,196,86,9,44,646,149,31,52,2,42,102,59,72,67,402,138,252,92,164,105,28,57,0,43
9,Northwest,4348,443,397,156,73,73,9,55,440,148,27,56,1332,266,42,59,20,57,410,116,50,58,517,150,690,196,258,98,83,64,0,54
10,Ballard,2436,322,234,174,53,52,21,52,217,93,16,49,851,173,0,43,0,43,283,100,57,60,181,84,266,106,208,82,17,49,32,53
11,Lake Union,2126,310,250,128,50,59,0,42,388,152,0,42,602,151,0,42,53,115,166,72,0,42,111,73,310,124,158,76,38,51,0,42
12,Magnolia/Queen Anne,3469,395,319,167,80,67,0,51,320,141,25,57,1085,222,12,52,0,51,267,102,0,51,500,152,523,185,328,116,10,51,0,51
13,Downtown,1254,268,43,57,0,29,0,29,136,90,11,31,630,205,0,29,1,27,52,57,0,29,66,65,209,95,91,64,15,38,0,29
