area_id,area_name,b11016001,b11016001_moe,b11016002,b11016002_moe,b11016003,b11016003_moe,b11016004,b11016004_moe,b11016005,b11016005_moe,b11016006,b11016006_moe,b11016007,b11016007_moe,b11016008,b11016008_moe,b11016009,b11016009_moe,b11016010,b11016010_moe,b11016011,b11016011_moe,b11016012,b11016012_moe,b11016013,b11016013_moe,b11016014,b11016014_moe,b11016015,b11016015_moe,b11016016,b11016016_moe
1,Southwest,23226,383,11615,463,5702,429,2920,339,2196,262,595,146,179,116,23,53,11611,546,8765,488,2615,353,195,116,16,48,0,48,0,48,20,55
2,Delridge Neighborhoods,14850,356,7898,410,3541,385,2031,293,1229,221,644,173,256,120,197,95,6952,448,5105,416,1554,274,268,142,17,40,8,38,0,38,0,38
3,Greater Duwamish,16086,331,10023,429,3083,344,2860,370,1871,303,1151,248,419,149,639,162,6063,422,4480,390,1137,234,269,139,77,61,100,85,0,45,0,45
4,Southeast,17612,387,10698,475,4307,434,2649,354,1960,304,1039,229,294,122,449,140,6914,503,5155,467,1529,288,133,106,82,91,15,49,0,45,0,45
5,Central,13921,329,5827,366,2782,332,1593,265,1000,226,264,99,138,86,50,46,8094,424,5713,405,1776,263,386,157,212,92,7,34,0,34,0,34
6,East,29701,474,6914,493,4492,436,1312,294,725,132,327,108,23,52,35,56,22787,633,17600,677,4587,482,474,186,79,62,25,51,22,57,0,47
7,Northeast,30311,401,14739,465,6779,411,3636,354,3301,272,841,160,168,84,14,59,15572,569,10383,550,3283,396,936,247,406,127,240,105,106,92,218,138
8,North,19461,351,9165,448,4447,393,2403,305,1744,244,382,124,162,77,27,42,10296,510,8432,501,1464,240,308,130,53,54,39,50,0,43,0,43
9,Northwest,33168,437,15452,570,7859,518,4225,394,2506,255,552,136,265,129,45,58,17716,630,12317,601,4492,479,604,173,146,101,77,74,32,60,48,89
10,Ballard,21236,330,10539,437,5512,440,2760,330,1700,225,393,119,165,89,9,46,10697,494,7631,473,2595,369,294,137,135,88,42,75,0,43,0,43
11,Lake Union,24520,524,6677,455,3971,381,1570,276,826,151,272,86,29,48,9,42,17843,631,12700,653,4091,464,614,179,202,110,122,74,41,51,73,77
12,Magnolia/Queen Anne,29974,461,12146,520,6784,492,2473,325,2279,286,466,129,144,99,0,51,17828,654,13839,639,3464,422,192,105,150,133,55,88,67,84,61,85
13,Downtown,11410,381,2301,306,1671,267,425,125,111,71,29,54,24,38,41,57,9109,425,8110,470,963,225,22,35,14,34,0,29,0,29,0,29
