area_id,area_name,b19101g001,b19101g001_moe,b19101g002,b19101g002_moe,b19101g003,b19101g003_moe,b19101g004,b19101g004_moe,b19101g005,b19101g005_moe,b19101g006,b19101g006_moe,b19101g007,b19101g007_moe,b19101g008,b19101g008_moe,b19101g009,b19101g009_moe,b19101g010,b19101g010_moe,b19101g011,b19101g011_moe,b19101g012,b19101g012_moe,b19101g013,b19101g013_moe,b19101g014,b19101g014_moe,b19101g015,b19101g015_moe,b19101g016,b19101g016_moe,b19101g017,b19101g017_moe
1,Southwest,326,122,0,48,11,48,0,48,22,57,0,48,0,48,0,48,25,53,0,48,12,51,40,61,35,57,40,62,19,54,53,66,69,68
2,Delridge Neighborhoods,308,119,31,49,17,44,0,38,0,38,0,38,23,45,0,38,39,60,0,38,24,51,39,50,43,53,53,62,39,54,0,38,0,38
3,Greater Duwamish,482,163,0,45,0,45,27,60,73,90,22,49,0,45,26,60,0,45,28,53,22,56,37,57,70,73,156,98,21,53,0,45,0,45
4,Southeast,509,152,47,53,51,71,0,45,9,46,17,49,0,45,52,74,13,47,0,45,72,58,15,49,82,73,33,48,75,68,14,48,29,51
5,Central,246,111,0,34,0,34,0,34,0,34,40,55,0,34,0,34,0,34,16,41,37,56,32,47,40,54,14,40,9,33,9,35,49,54
6,East,161,105,0,47,0,47,16,50,0,47,11,47,0,47,46,85,0,47,47,63,9,47,0,47,12,49,0,47,0,47,0,47,20,55
7,Northeast,467,152,24,62,14,62,16,62,0,59,0,59,63,73,50,70,15,63,0,59,8,59,18,60,70,83,67,85,17,61,58,78,47,66
8,North,281,126,43,49,0,43,11,43,0,43,0,43,0,43,42,77,0,43,4,42,10,45,63,81,38,45,35,46,28,57,7,43,0,43
9,Northwest,502,181,0,54,15,58,0,54,14,56,15,57,56,86,0,54,113,116,56,85,19,66,18,60,44,64,51,66,19,56,59,69,23,55
10,Ballard,285,123,0,43,0,43,32,53,0,43,0,43,0,43,0,43,82,92,31,54,0,43,68,63,0,43,8,44,29,49,9,44,26,46
11,Lake Union,258,109,0,42,42,69,0,42,13,44,16,46,0,42,0,42,0,42,0,42,36,54,17,47,41,49,16,49,25,45,23,46,29,56
12,Magnolia/Queen Anne,293,138,0,51,0,51,0,51,20,58,0,51,0,51,73,102,0,51,0,51,27,66,33,60,39,57,46,63,19,58,26,55,10,51
13,Downtown,106,70,27,50,0,29,21,34,9,30,0,29,0,29,0,29,0,29,0,29,27,44,10,31,0,29,0,29,0,29,0,29,12,31
