area_id,area_name,b23024001,b23024001_moe,b23024002,b23024002_moe,b23024003,b23024003_moe,b23024004,b23024004_moe,b23024005,b23024005_moe,b23024006,b23024006_moe,b23024007,b23024007_moe,b23024008,b23024008_moe,b23024009,b23024009_moe,b23024010,b23024010_moe,b23024011,b23024011_moe,b23024012,b23024012_moe,b23024013,b23024013_moe,b23024014,b23024014_moe,b23024015,b23024015_moe,b23024016,b23024016_moe,b23024017,b23024017_moe,b23024018,b23024018_moe,b23024019,b23024019_moe,b23024020,b23024020_moe,b23024021,b23024021_moe,b23024022,b23024022_moe,b23024023,b23024023_moe,b23024024,b23024024_moe,b23024025,b23024025_moe,b23024026,b23024026_moe,b23024027,b23024027_moe,b23024028,b23024028_moe,b23024029,b23024029_moe,b23024030,b23024030_moe,b23024031,b23024031_moe
1,Southwest,32803,812,2206,398,477,195,89,72,0,48,89,72,16,51,73,69,388,186,1729,344,1131,272,0,48,1131,272,867,245,264,136,598,184,30597,820,1333,275,709,176,0,48,709,176,651,166,58,59,624,200,29264,808,26145,792,139,103,26006,794,25080,803,926,220,3119,355
2,Delridge Neighborhoods,23372,771,3124,496,648,183,188,103,0,38,188,103,93,73,95,82,460,154,2476,461,1602,384,0,38,1602,384,1149,311,453,172,874,233,20248,779,1216,287,587,215,0,38,587,215,498,169,89,84,629,189,19032,735,17013,687,50,51,16963,687,16083,676,880,219,2019,287
3,Greater Duwamish,29774,1176,4054,576,1102,267,125,81,0,45,125,81,60,71,65,56,977,256,2952,482,1892,379,0,45,1892,379,1361,308,531,194,1060,279,25720,1131,1409,267,804,193,0,45,804,193,733,182,71,65,605,172,24311,1111,21573,1057,32,53,21541,1055,20358,1019,1183,271,2738,363
4,Southeast,29127,982,4157,651,843,226,129,77,0,45,129,77,46,49,83,68,714,213,3314,614,2074,475,0,45,2074,475,1510,368,564,211,1240,327,24970,1027,1872,341,980,261,0,45,980,261,855,245,125,106,892,232,23098,988,20533,958,35,55,20498,958,18951,900,1547,348,2565,342
5,Central,21001,759,2407,448,414,136,78,61,0,34,78,61,64,60,14,34,336,127,1993,431,1309,330,0,34,1309,330,1029,292,280,142,684,255,18594,724,1252,275,679,188,6,33,673,188,612,177,61,71,573,196,17342,713,15532,710,25,43,15507,713,14929,692,578,180,1810,301
6,East,38309,1003,5763,599,1179,310,226,134,0,47,226,134,141,92,85,105,953,254,4584,526,2709,402,0,47,2709,402,2210,373,499,185,1875,343,32546,973,1366,258,1026,239,0,47,1026,239,973,235,53,58,340,124,31180,983,28987,952,42,55,28945,951,27904,921,1041,277,2193,327
7,Northeast,49354,1561,9532,1077,668,224,212,124,0,59,212,124,134,109,78,80,456,201,8864,1050,5159,767,0,59,5159,767,4176,603,983,336,3705,615,39822,1017,1388,255,853,196,0,59,853,196,766,180,87,92,535,173,38434,994,33852,955,20,61,33832,955,32777,928,1055,223,4582,390
8,North,28159,869,3557,497,730,209,222,114,0,43,222,114,89,61,133,101,508,176,2827,460,1548,309,0,43,1548,309,1119,262,429,167,1279,293,24602,888,1465,256,905,204,0,43,905,204,791,188,114,89,560,158,23137,886,20785,863,57,63,20728,863,19895,855,833,200,2352,311
9,Northwest,49988,1157,5070,774,1089,288,220,115,0,54,220,115,180,109,40,66,869,263,3981,729,2703,546,0,54,2703,546,1908,319,795,434,1278,360,44918,1061,1829,327,1066,264,0,54,1066,264,903,246,163,108,763,187,43089,1055,39020,1038,71,76,38949,1038,37182,1037,1767,283,4069,418
10,Ballard,32278,835,2093,374,291,142,49,64,0,43,49,64,33,56,16,49,242,136,1802,335,1174,255,0,43,1174,255,896,237,278,124,628,176,30185,847,1162,272,914,250,0,43,914,250,733,180,181,127,248,106,29023,855,26225,893,81,88,26144,886,25059,869,1085,238,2798,338
11,Lake Union,36471,1135,6081,761,986,282,228,133,0,42,228,133,185,126,43,59,758,249,5095,658,3181,465,0,42,3181,465,2632,409,549,235,1914,444,30390,991,1338,263,866,211,0,42,866,211,781,201,85,76,472,158,29052,994,26946,998,113,97,26833,995,25842,983,991,227,2106,327
12,Magnolia/Queen Anne,42341,1158,3617,689,636,205,224,161,0,51,224,161,123,140,101,92,412,125,2981,634,2333,579,0,51,2333,579,2065,558,268,131,648,215,38724,963,1740,342,1004,249,0,51,1004,249,914,237,90,68,736,230,36984,969,33310,890,174,122,33136,885,31723,893,1413,289,3674,443
13,Downtown,13300,659,3054,459,1478,290,139,81,0,29,139,81,56,46,83,69,1339,281,1576,362,922,223,0,29,922,223,599,174,323,148,654,256,10246,609,771,221,345,141,0,29,345,141,335,141,10,27,426,178,9475,603,8820,580,71,71,8749,583,8407,580,342,140,655,221
