area_id,area_name,c24010b001,c24010b001_moe,c24010b002,c24010b002_moe,c24010b003,c24010b003_moe,c24010b004,c24010b004_moe,c24010b005,c24010b005_moe,c24010b006,c24010b006_moe,c24010b007,c24010b007_moe,c24010b008,c24010b008_moe,c24010b009,c24010b009_moe,c24010b010,c24010b010_moe,c24010b011,c24010b011_moe,c24010b012,c24010b012_moe,c24010b013,c24010b013_moe
1,Southwest,519,197,351,161,80,68,107,115,75,76,72,81,17,51,168,105,71,70,40,61,57,82,0,48,0,48
2,Delridge Neighborhoods,1953,373,789,188,206,118,196,111,86,80,99,76,202,125,1164,288,473,187,389,165,198,128,0,38,104,114
3,Greater Duwamish,2894,507,1400,336,210,121,264,139,278,140,118,123,530,200,1494,322,212,105,704,233,477,174,38,58,63,75
4,Southeast,4909,622,2404,451,260,125,692,248,442,188,344,189,666,244,2505,416,589,178,873,281,878,268,22,48,143,101
5,Central,2583,455,1411,354,588,234,192,94,322,129,64,80,245,164,1172,238,458,161,233,115,395,160,0,34,86,64
6,East,1301,319,654,223,203,132,172,124,107,111,28,54,144,89,647,221,171,105,263,146,106,103,0,47,107,100
7,Northeast,827,273,494,192,149,84,210,131,92,86,0,59,43,83,333,157,210,120,87,109,36,64,0,59,0,59
8,North,952,272,477,193,250,142,77,79,53,62,7,43,90,108,475,185,159,98,222,137,94,86,0,43,0,43
9,Northwest,1460,391,822,240,393,179,189,120,137,97,20,60,83,74,638,221,203,108,238,162,170,124,0,54,27,60
10,Ballard,176,116,71,79,7,41,0,43,64,78,0,43,0,43,105,92,42,62,63,82,0,43,0,43,0,43
11,Lake Union,781,234,496,181,273,143,68,54,73,91,41,53,41,54,285,143,93,79,68,88,124,86,0,42,0,42
12,Magnolia/Queen Anne,843,334,628,303,116,78,195,153,159,140,0,51,158,146,215,115,66,65,59,78,90,86,0,51,0,51
13,Downtown,698,221,551,197,167,89,149,112,72,64,8,29,155,106,147,87,41,47,72,57,34,58,0,29,0,29
