area_id,area_name,b17010h001,b17010h001_moe,b17010h002,b17010h002_moe,b17010h003,b17010h003_moe,b17010h004,b17010h004_moe,b17010h005,b17010h005_moe,b17010h006,b17010h006_moe,b17010h007,b17010h007_moe,b17010h008,b17010h008_moe,b17010h009,b17010h009_moe,b17010h010,b17010h010_moe,b17010h011,b17010h011_moe,b17010h012,b17010h012_moe,b17010h013,b17010h013_moe,b17010h014,b17010h014_moe,b17010h015,b17010h015_moe,b17010h016,b17010h016_moe,b17010h017,b17010h017_moe,b17010h018,b17010h018_moe,b17010h019,b17010h019_moe,b17010h020,b17010h020_moe,b17010h021,b17010h021_moe,b17010h022,b17010h022_moe,b17010h023,b17010h023_moe,b17010h024,b17010h024_moe,b17010h025,b17010h025_moe,b17010h026,b17010h026_moe,b17010h027,b17010h027_moe,b17010h028,b17010h028_moe,b17010h029,b17010h029_moe,b17010h030,b17010h030_moe,b17010h031,b17010h031_moe,b17010h032,b17010h032_moe,b17010h033,b17010h033_moe,b17010h034,b17010h034_moe,b17010h035,b17010h035_moe,b17010h036,b17010h036_moe,b17010h037,b17010h037_moe,b17010h038,b17010h038_moe,b17010h039,b17010h039_moe,b17010h040,b17010h040_moe,b17010h041,b17010h041_moe
1,Southwest,10304,449,250,114,161,82,60,61,8,47,11,48,41,57,101,69,89,92,19,55,19,55,0,48,0,48,19,55,0,48,70,85,51,82,0,48,51,82,0,48,19,54,10054,458,8559,440,3620,271,929,195,690,186,2001,262,4939,395,1495,247,348,118,162,83,44,66,10,49,108,65,186,90,1147,217,700,170,206,114,25,52,469,142,447,146
2,Delridge Neighborhoods,4056,323,101,73,19,46,0,38,0,38,0,38,0,38,19,46,82,68,29,46,29,46,15,43,0,38,14,41,0,38,53,63,44,62,0,38,0,38,44,62,9,39,3955,320,3091,315,1236,200,581,160,171,91,484,120,1855,259,864,170,221,90,137,73,9,39,0,38,128,73,84,64,643,151,400,124,128,62,17,43,255,110,243,84
3,Greater Duwamish,2321,277,98,91,14,47,0,45,0,45,0,45,0,45,14,47,84,90,0,45,0,45,0,45,0,45,0,45,0,45,84,90,84,90,0,45,37,72,47,70,0,45,2223,264,1834,250,792,187,425,151,101,65,266,109,1042,199,389,122,200,96,121,75,51,57,0,45,70,61,79,72,189,82,88,58,11,47,11,46,66,55,101,65
4,Southeast,4150,325,170,93,63,63,16,49,0,45,0,45,16,49,47,60,107,78,19,51,19,51,0,45,0,45,19,51,0,45,88,72,75,69,33,64,0,45,42,52,13,47,3980,318,3078,292,1372,188,591,146,230,101,551,137,1706,261,902,193,181,86,93,69,7,43,0,45,86,67,88,68,721,181,453,157,112,100,25,48,316,123,268,100
5,Central,3362,303,103,76,43,45,28,43,16,40,0,34,12,37,15,37,60,68,34,63,34,63,0,34,34,63,0,34,0,34,26,43,26,43,26,43,0,34,0,34,0,34,3259,298,2785,266,1093,166,620,160,116,68,357,95,1692,238,474,157,99,68,51,47,10,36,0,34,41,45,48,59,375,142,283,126,35,45,10,36,238,122,92,68
6,East,4997,452,63,59,9,47,9,47,9,47,0,47,0,47,0,47,54,57,0,47,0,47,0,47,0,47,0,47,0,47,54,57,7,46,7,46,0,47,0,47,47,57,4934,449,4526,420,1260,192,363,143,266,101,631,120,3266,379,408,144,107,65,56,53,0,47,0,47,56,53,51,56,301,137,198,104,67,77,0,47,131,82,103,95
7,Northeast,12143,445,361,131,106,72,81,68,27,60,13,60,41,65,25,61,255,123,91,93,27,61,0,59,0,59,27,61,64,91,164,95,102,78,21,60,26,66,55,70,62,78,11782,429,10242,417,4604,275,1240,206,796,155,2568,246,5638,353,1540,255,420,136,233,111,45,64,0,59,188,105,187,91,1120,216,486,135,100,73,37,80,349,114,634,169
8,North,6293,379,321,137,163,86,41,54,27,50,0,43,14,47,122,79,158,110,56,80,11,46,0,43,0,43,11,46,45,79,102,87,102,87,82,86,0,43,20,46,0,43,5972,377,4866,335,2014,238,729,182,221,81,1064,178,2852,274,1106,223,302,113,128,87,10,45,0,43,118,86,174,81,804,192,375,145,89,79,49,62,237,118,429,122
9,Northwest,12144,534,317,124,150,96,52,81,39,79,0,54,13,56,98,75,167,89,53,62,27,56,0,54,0,54,27,56,26,60,114,80,114,80,14,57,3,52,97,79,0,54,11827,536,10182,519,4148,310,1598,239,627,168,1923,230,6034,456,1645,248,470,141,293,122,44,62,0,54,249,116,177,89,1175,205,560,148,53,70,19,55,488,139,615,157
10,Ballard,9354,431,196,96,84,66,55,55,0,43,10,45,45,54,29,56,112,75,36,50,36,50,12,44,0,43,24,46,0,43,76,67,45,50,11,43,0,43,34,50,31,62,9158,432,7710,424,3161,269,1298,245,530,127,1333,195,4549,379,1448,266,431,162,253,127,49,52,0,43,204,118,178,110,1017,209,472,149,13,45,69,76,390,125,545,158
11,Lake Union,5446,389,128,85,52,54,14,44,14,44,0,42,0,42,38,50,76,76,38,72,0,42,0,42,0,42,0,42,38,72,38,48,38,48,11,43,15,46,12,42,0,42,5318,378,4566,362,1647,199,784,180,224,77,639,135,2919,323,752,175,332,124,170,82,46,55,0,42,124,70,162,97,420,130,234,100,56,64,24,52,154,78,186,84
12,Magnolia/Queen Anne,10518,502,184,85,101,71,52,67,0,51,0,51,52,67,49,60,83,64,16,54,0,51,0,51,0,51,0,51,16,54,67,61,44,58,26,56,0,51,18,53,23,55,10334,501,9421,486,3822,319,1160,219,723,197,1939,253,5599,424,913,193,204,91,101,71,0,51,0,51,101,71,103,72,709,178,392,136,80,80,14,53,298,119,317,122
13,Downtown,1255,235,23,35,14,36,0,29,0,29,0,29,0,29,14,36,9,31,0,29,0,29,0,29,0,29,0,29,0,29,9,31,0,29,0,29,0,29,0,29,9,31,1232,233,1190,228,190,55,184,55,0,29,6,29,1000,224,42,45,0,29,0,29,0,29,0,29,0,29,0,29,42,45,28,39,14,32,14,33,0,29,14,33
