area_id,area_name,b20004001,b20004001_moe,b20004002,b20004002_moe,b20004003,b20004003_moe,b20004004,b20004004_moe,b20004005,b20004005_moe,b20004006,b20004006_moe,b20004007,b20004007_moe,b20004008,b20004008_moe,b20004009,b20004009_moe,b20004010,b20004010_moe,b20004011,b20004011_moe,b20004012,b20004012_moe,b20004013,b20004013_moe,b20004014,b20004014_moe,b20004015,b20004015_moe,b20004016,b20004016_moe,b20004017,b20004017_moe,b20004018,b20004018_moe
2,Delridge Neighborhoods,279300,23812,155750,31823,199678,41844,245145,25002,385623,40942,461315,69063,334536,28511,169539,80692,251726,79735,333617,67671,459138,62608,472952,59701,245851,23186,131952,43691,162421,51584,199488,33966,315697,36977,428676,44069
3,Greater Duwamish,302117,17422,230303,24394,222354,27195,294618,35522,425408,40654,493555,72979,321278,21136,262732,57340,237341,40187,343909,70119,473944,92100,501809,102298,279496,22462,194978,48727,233667,47393,264026,41874,345860,66693,513499,93370
4,Southeast,320969,21145,177416,42006,192617,35719,288044,34556,423102,38783,516177,68238,335555,29589,174218,52085,229689,57922,293367,44334,452604,74411,567471,138396,304917,23869,235615,97712,190825,51607,266767,33678,385786,54090,465674,70469
5,Central,111369,7846,75044,10350,76782,16366,96542,22391,110508,19678,157504,20014,124809,12715,79438,82799,66070,30880,112340,46566,130021,34902,163170,52985,103359,11794,66241,50684,93271,29992,91980,32160,98541,17731,156391,25383
6,East,115189,5080,59714,32959,58076,40449,94932,14487,121445,9072,162336,22948,118752,10038,140743,189919,68388,86346,102232,14274,134492,19746,196244,40728,115943,11966,57161,12094,66642,28392,82971,23001,117737,14560,151787,31048
8,North,148172,11081,78623,20166,125562,23525,144621,27127,174562,28754,227380,22366,173713,17055,78235,84291,153097,74815,163809,27537,236723,50807,307975,57745,125497,17313,93329,46968,81518,47614,106185,25891,136407,42049,161252,66798
9,Northwest,197553,14868,116214,76077,165981,31436,171274,17626,240246,31160,265757,29551,221967,20122,152459,87430,175201,31232,214418,25967,255884,68579,309728,54612,180324,20041,117629,33210,96757,66392,152632,20541,230348,37830,241154,63261
10,Ballard,131023,7567,67781,38974,109447,21561,114178,14443,154116,15009,160947,17639,149953,9320,67672,22004,105292,30722,127390,23537,158780,20056,183784,28532,119289,9395,54384,35082,113165,34991,95507,18399,140347,14240,141401,14492
11,Lake Union,99668,15351,57437,37126,62049,11713,71789,10402,117042,30632,128265,13336,128098,17758,111901,75095,62331,33598,63576,62070,171247,19937,125060,55434,75443,14750,30624,42834,60266,28206,65158,19321,65376,17310,123760,15871
12,Magnolia/Queen Anne,48594,7030,24464,15251,30714,3928,48792,9588,50651,16554,60565,11089,59293,11526,26518,29617,30250,17377,65167,5443,73284,47525,62969,33726,44094,5384,22946,19246,30972,1715,41005,10669,46133,10651,55139,12363
13,Downtown,21629,3091,14362,5001,20899,4360,21375,4220,38854,34238,53250,28188,22398,4903,13833,6939,21974,8425,21641,9962,32404,84892,76875,44632,17352,7649,15385,5863,15969,1691,20903,10985,38958,27660,49926,4117
