area_id,area_name,c24010f001,c24010f001_moe,c24010f002,c24010f002_moe,c24010f003,c24010f003_moe,c24010f004,c24010f004_moe,c24010f005,c24010f005_moe,c24010f006,c24010f006_moe,c24010f007,c24010f007_moe,c24010f008,c24010f008_moe,c24010f009,c24010f009_moe,c24010f010,c24010f010_moe,c24010f011,c24010f011_moe,c24010f012,c24010f012_moe,c24010f013,c24010f013_moe
1,Southwest,128,104,80,61,65,59,15,51,0,48,0,48,0,48,48,71,20,53,28,52,0,48,0,48,0,48
2,Delridge Neighborhoods,589,277,400,222,13,42,213,175,29,49,85,121,60,70,189,119,26,43,95,98,68,72,0,38,0,38
3,Greater Duwamish,313,199,243,181,0,45,81,84,43,81,119,100,0,45,70,67,22,58,27,51,0,45,11,47,10,47
4,Southeast,361,241,215,167,66,75,0,45,71,86,28,51,50,85,146,104,13,48,69,85,47,68,0,45,17,50
5,Central,215,115,96,67,96,67,0,34,0,34,0,34,0,34,119,73,57,46,42,48,20,45,0,34,0,34
6,East,374,157,235,126,109,78,73,85,0,47,41,95,12,47,139,106,22,50,84,97,33,61,0,47,0,47
7,Northeast,376,200,99,80,73,79,0,59,11,60,15,59,0,59,277,187,129,100,19,61,129,166,0,59,0,59
8,North,933,384,667,342,49,58,111,91,0,43,372,309,135,108,266,130,51,52,57,80,141,106,0,43,17,49
9,Northwest,968,307,510,206,337,179,115,96,29,61,29,70,0,54,458,165,162,103,108,90,169,101,19,60,0,54
10,Ballard,271,165,100,85,15,48,74,81,0,43,11,45,0,43,171,105,13,45,60,70,98,88,0,43,0,43
11,Lake Union,329,183,205,149,88,85,117,129,0,42,0,42,0,42,124,98,55,75,17,48,52,71,0,42,0,42
12,Magnolia/Queen Anne,399,166,178,125,62,70,30,56,22,61,64,106,0,51,221,113,170,108,37,67,14,55,0,51,0,51
13,Downtown,150,96,61,52,8,30,53,51,0,29,0,29,0,29,89,84,12,33,70,83,7,29,0,29,0,29
