area_id,area_name,b25094001,b25094001_moe,b25094002,b25094002_moe,b25094003,b25094003_moe,b25094004,b25094004_moe,b25094005,b25094005_moe,b25094006,b25094006_moe,b25094007,b25094007_moe,b25094008,b25094008_moe,b25094009,b25094009_moe,b25094010,b25094010_moe,b25094011,b25094011_moe,b25094012,b25094012_moe,b25094013,b25094013_moe,b25094014,b25094014_moe
1,Southwest,14808,462,14,51,19,51,114,66,356,151,412,131,590,154,751,161,481,131,471,133,247,94,1901,284,2056,278,7396,441
2,Delridge Neighborhoods,7724,382,0,38,41,49,107,65,175,82,338,107,320,109,274,118,233,99,190,89,144,74,938,194,1843,251,3121,330
3,Greater Duwamish,8359,418,0,45,140,83,123,70,324,102,377,112,539,138,505,151,350,129,219,90,150,72,840,197,1785,274,3007,327
4,Southeast,10861,427,0,45,48,51,78,70,178,81,290,109,448,119,338,106,346,112,284,101,229,116,1687,250,2039,314,4896,390
5,Central,6894,359,0,34,0,34,63,61,82,51,151,70,282,126,226,87,181,79,151,79,152,68,863,182,1008,198,3735,318
6,East,8008,453,82,65,60,53,99,81,57,63,94,69,178,101,177,95,251,90,267,107,129,72,1173,220,1496,298,3945,343
7,Northeast,16806,426,27,65,88,86,116,76,154,78,487,115,675,140,888,167,739,154,524,132,599,140,1789,243,1774,237,8946,432
8,North,9074,354,25,48,35,56,130,73,211,85,428,143,447,123,408,129,389,101,310,106,333,114,1285,214,1374,234,3699,318
9,Northwest,17569,559,34,59,98,69,196,102,238,96,505,143,726,155,870,173,849,181,394,127,477,138,1910,272,3073,345,8199,484
10,Ballard,11602,423,0,43,24,46,115,66,228,112,282,96,721,184,549,146,503,141,282,95,199,77,1414,231,1716,254,5569,374
11,Lake Union,7184,387,14,45,10,43,15,41,129,71,199,83,231,101,230,81,304,98,134,66,130,74,593,143,955,200,4240,353
12,Magnolia/Queen Anne,14092,515,0,51,14,53,44,59,77,71,195,106,297,101,397,118,554,157,439,121,394,124,1782,278,1770,289,8129,467
13,Downtown,2175,304,8,29,14,35,0,29,38,65,0,29,28,42,117,101,52,43,55,75,85,90,179,100,320,137,1279,254
