area_id,area_name,b25014i001,b25014i001_moe,b25014i002,b25014i002_moe,b25014i003,b25014i003_moe
1,Southwest,790,206,775,206,15,51
2,Delridge Neighborhoods,1611,266,1440,268,171,103
3,Greater Duwamish,1098,216,719,182,379,151
4,Southeast,1147,268,936,249,211,132
5,Central,681,177,633,163,48,68
6,East,1397,278,1323,269,74,81
7,Northeast,873,221,851,219,22,67
8,North,1148,247,1043,246,105,77
9,Northwest,1673,320,1579,312,94,82
10,Ballard,944,255,944,255,0,43
11,Lake Union,1043,239,961,219,82,105
12,Magnolia/Queen Anne,998,235,985,234,13,52
13,Downtown,410,159,333,142,77,78
