area_id,area_name,b19001g001,b19001g001_moe,b19001g002,b19001g002_moe,b19001g003,b19001g003_moe,b19001g004,b19001g004_moe,b19001g005,b19001g005_moe,b19001g006,b19001g006_moe,b19001g007,b19001g007_moe,b19001g008,b19001g008_moe,b19001g009,b19001g009_moe,b19001g010,b19001g010_moe,b19001g011,b19001g011_moe,b19001g012,b19001g012_moe,b19001g013,b19001g013_moe,b19001g014,b19001g014_moe,b19001g015,b19001g015_moe,b19001g016,b19001g016_moe,b19001g017,b19001g017_moe
1,Southwest,582,163,0,48,0,48,0,48,11,48,22,56,14,51,43,64,66,68,22,57,76,72,31,56,49,59,60,68,33,53,53,66,102,69
2,Delridge Neighborhoods,663,182,59,59,87,81,39,54,13,41,46,77,26,46,0,38,47,62,0,38,39,55,108,74,98,76,53,62,23,48,16,45,9,39
3,Greater Duwamish,733,191,26,49,73,82,44,59,80,88,51,59,15,49,26,60,12,47,49,58,22,56,46,57,78,73,181,101,30,53,0,45,0,45
4,Southeast,801,208,47,53,118,109,24,56,17,46,27,49,0,45,69,78,13,47,7,45,125,98,29,51,125,80,58,51,75,68,19,47,48,60
5,Central,604,199,35,42,0,34,63,81,0,34,88,74,9,34,0,34,26,42,16,41,67,73,141,119,53,57,29,43,19,35,9,35,49,54
6,East,893,228,58,63,40,56,86,78,86,102,97,79,9,47,102,95,35,54,101,81,35,51,68,65,48,56,43,70,0,47,62,88,23,52
7,Northeast,1128,234,173,93,15,63,69,67,39,64,29,64,146,112,50,70,32,63,26,64,84,97,93,87,144,100,82,87,17,61,58,78,71,76
8,North,585,169,63,58,0,43,11,43,16,48,32,48,17,43,6,43,70,63,60,87,38,51,70,80,57,55,97,81,28,57,7,43,13,46
9,Northwest,980,236,49,69,15,58,28,61,49,68,41,69,91,89,0,54,135,121,87,98,66,75,86,82,139,104,46,64,28,56,77,72,43,58
10,Ballard,616,212,0,43,18,49,0,43,0,43,23,48,139,153,0,43,99,98,32,53,59,68,99,71,16,49,37,49,59,58,9,44,26,46
11,Lake Union,1002,248,144,103,77,72,32,53,53,65,0,42,32,49,33,54,109,114,72,60,51,60,65,88,157,126,90,76,25,45,33,47,29,56
12,Magnolia/Queen Anne,1002,264,79,80,35,72,10,51,106,98,24,56,27,58,130,125,89,88,39,57,82,89,101,78,39,57,163,129,19,58,36,55,23,52
13,Downtown,449,153,83,66,44,65,89,85,36,38,8,30,12,33,12,33,0,29,0,29,27,44,63,64,11,32,12,31,14,33,11,30,27,39
