area_id,area_name,b25124001,b25124001_moe,b25124002,b25124002_moe,b25124003,b25124003_moe,b25124004,b25124004_moe,b25124005,b25124005_moe,b25124006,b25124006_moe,b25124007,b25124007_moe,b25124008,b25124008_moe,b25124009,b25124009_moe,b25124010,b25124010_moe,b25124011,b25124011_moe,b25124012,b25124012_moe,b25124013,b25124013_moe,b25124014,b25124014_moe,b25124015,b25124015_moe,b25124016,b25124016_moe,b25124017,b25124017_moe,b25124018,b25124018_moe,b25124019,b25124019_moe,b25124020,b25124020_moe,b25124021,b25124021_moe,b25124022,b25124022_moe,b25124023,b25124023_moe,b25124024,b25124024_moe,b25124025,b25124025_moe,b25124026,b25124026_moe,b25124027,b25124027_moe,b25124028,b25124028_moe,b25124029,b25124029_moe,b25124030,b25124030_moe,b25124031,b25124031_moe,b25124032,b25124032_moe,b25124033,b25124033_moe,b25124034,b25124034_moe,b25124035,b25124035_moe,b25124036,b25124036_moe,b25124037,b25124037_moe,b25124038,b25124038_moe,b25124039,b25124039_moe,b25124040,b25124040_moe,b25124041,b25124041_moe,b25124042,b25124042_moe,b25124043,b25124043_moe,b25124044,b25124044_moe,b25124045,b25124045_moe,b25124046,b25124046_moe,b25124047,b25124047_moe,b25124048,b25124048_moe,b25124049,b25124049_moe,b25124050,b25124050_moe,b25124051,b25124051_moe,b25124052,b25124052_moe,b25124053,b25124053_moe,b25124054,b25124054_moe,b25124055,b25124055_moe,b25124056,b25124056_moe,b25124057,b25124057_moe,b25124058,b25124058_moe,b25124059,b25124059_moe,b25124060,b25124060_moe,b25124061,b25124061_moe,b25124062,b25124062_moe,b25124063,b25124063_moe,b25124064,b25124064_moe,b25124065,b25124065_moe,b25124066,b25124066_moe,b25124067,b25124067_moe,b25124068,b25124068_moe,b25124069,b25124069_moe,b25124070,b25124070_moe,b25124071,b25124071_moe,b25124072,b25124072_moe,b25124073,b25124073_moe
1,Southwest,23226,383,14808,462,4222,384,3336,342,72,62,310,122,313,108,170,74,21,49,5792,397,5251,387,53,63,212,92,200,84,76,68,0,48,2102,270,2074,268,16,51,0,48,12,48,0,48,0,48,1982,255,1982,255,0,48,0,48,0,48,0,48,0,48,710,179,710,179,0,48,0,48,0,48,0,48,0,48,8418,488,4543,400,652,187,693,199,1617,250,912,208,669,186,0,48,2525,330,1182,239,427,151,426,158,319,124,160,115,11,48,1013,249,448,167,228,121,250,136,87,97,0,48,0,48,230,94,207,90,23,50,0,48,0,48,0,48,0,48,107,66,92,64,0,48,0,48,15,51,0,48,0,48
2,Delridge Neighborhoods,14850,356,7724,382,2367,281,2022,253,94,85,126,102,60,56,65,57,0,38,2728,301,2581,295,35,67,40,44,8,38,21,44,43,48,1240,218,1170,211,19,45,0,38,14,42,37,48,0,38,762,157,745,155,17,45,0,38,0,38,0,38,0,38,627,135,611,133,4,37,0,38,0,38,12,41,0,38,7126,444,2738,350,596,167,358,144,641,202,337,129,806,188,0,38,2367,365,865,234,163,95,698,226,372,178,269,109,0,38,1059,253,710,206,210,116,76,68,46,47,17,45,0,38,484,160,190,90,98,71,78,70,94,92,24,47,0,38,478,139,271,120,38,64,78,78,44,61,0,38,47,77
3,Greater Duwamish,16086,331,8359,418,1786,251,1541,239,40,53,61,55,38,56,77,58,29,54,2539,301,2364,290,81,87,20,48,0,45,74,65,0,45,1437,240,1437,240,0,45,0,45,0,45,0,45,0,45,1309,244,1280,240,0,45,5,44,0,45,0,45,24,56,1288,193,1280,192,0,45,0,45,0,45,0,45,8,45,7727,450,2694,326,644,183,402,162,696,184,329,131,623,146,0,45,1681,295,793,200,430,161,236,122,114,86,108,88,0,45,1692,339,917,233,268,124,268,152,170,158,69,87,0,45,639,188,370,148,207,126,61,73,0,45,1,44,0,45,1021,242,655,189,177,117,181,115,8,45,0,45,0,45
4,Southeast,17612,387,10861,427,2690,325,2559,319,34,48,9,45,47,71,41,52,0,45,3883,389,3838,385,15,48,0,45,0,45,0,45,30,51,1886,290,1871,290,0,45,15,48,0,45,0,45,0,45,1285,220,1262,219,23,54,0,45,0,45,0,45,0,45,1117,187,1117,187,0,45,0,45,0,45,0,45,0,45,6751,473,2465,358,445,153,416,174,482,186,244,129,838,195,40,61,1953,340,530,146,370,170,483,205,212,138,343,158,15,48,896,249,484,180,91,86,203,132,89,89,29,53,0,45,757,225,374,156,30,52,151,119,92,84,84,87,26,50,680,218,370,171,122,126,28,51,122,109,38,63,0,45
5,Central,13921,329,6894,359,2176,295,1511,253,117,92,204,115,236,80,108,59,0,34,2584,295,2316,279,83,58,111,82,2,33,57,48,15,40,1063,193,1030,191,16,38,0,34,0,34,0,34,17,42,794,187,726,180,57,55,0,34,0,34,11,36,0,34,277,96,259,94,10,36,0,34,0,34,0,34,8,36,7027,395,3537,325,279,106,406,131,858,215,770,201,1224,196,0,34,1974,294,503,142,378,157,482,156,353,131,258,118,0,34,916,237,458,165,256,146,72,56,104,121,26,44,0,34,418,159,190,101,75,62,76,88,77,76,0,34,0,34,182,97,101,76,18,37,33,60,10,36,20,41,0,34
6,East,29701,474,8008,453,3819,408,965,203,39,63,907,262,927,204,955,208,26,53,2823,294,1635,216,58,61,292,112,270,101,568,138,0,47,547,157,387,116,29,52,65,74,66,86,0,47,0,47,499,111,469,110,0,47,21,50,9,47,0,47,0,47,320,101,310,101,10,48,0,47,0,47,0,47,0,47,21693,578,13781,664,436,183,767,202,3473,402,4454,461,4651,456,0,47,6256,520,450,224,594,163,1671,281,1867,334,1674,300,0,47,1239,305,326,178,340,187,80,70,222,125,265,121,6,46,305,95,115,72,39,57,108,61,30,54,13,49,0,47,112,74,72,66,11,48,0,47,29,55,0,47,0,47
7,Northeast,30311,401,16806,426,4084,349,3085,296,38,72,272,110,282,107,286,102,121,94,5951,347,5546,336,74,70,124,85,77,69,107,79,23,60,2976,318,2850,311,40,72,17,60,35,66,12,61,22,61,2908,257,2903,257,0,59,0,59,0,59,0,59,5,58,887,157,887,157,0,59,0,59,0,59,0,59,0,59,13505,502,6299,462,786,194,677,174,2097,329,1454,253,1267,212,18,60,4111,421,992,209,597,185,1231,237,810,227,473,149,8,59,1596,300,593,169,303,147,346,146,184,135,96,102,74,97,799,178,454,150,97,74,56,72,74,70,118,89,0,59,700,177,573,158,77,94,50,75,0,59,0,59,0,59
8,North,19461,351,9074,354,2741,304,2059,267,55,56,134,91,207,107,286,92,0,43,3245,287,2934,259,17,46,129,103,71,55,94,77,0,43,1532,218,1463,211,12,44,16,49,11,45,17,49,13,45,1296,184,1228,178,0,43,34,65,0,43,0,43,34,53,260,78,260,78,0,43,0,43,0,43,0,43,0,43,10387,449,5691,455,622,184,417,178,1576,318,1087,222,1989,296,0,43,2666,353,585,168,255,111,486,153,593,161,747,195,0,43,1179,269,494,156,160,117,305,147,90,81,87,66,43,81,501,166,249,95,77,85,119,115,37,50,19,45,0,43,350,119,146,75,30,50,106,78,27,59,41,65,0,43
9,Northwest,33168,437,17569,559,4831,417,3437,360,118,72,538,168,496,139,181,81,61,63,6939,450,6284,419,213,119,191,97,131,106,84,73,36,64,3079,323,2911,308,25,58,82,91,61,76,0,54,0,54,2085,230,2046,222,0,54,0,54,0,54,0,54,39,79,635,156,579,137,8,54,0,54,48,89,0,54,0,54,15599,594,7486,523,1018,237,652,183,2009,317,1552,272,2241,308,14,56,5412,497,1670,290,926,245,1264,269,902,242,650,197,0,54,1750,293,879,222,188,97,393,176,142,102,136,89,12,53,567,171,388,146,70,64,9,55,100,94,0,54,0,54,384,156,165,90,58,98,46,65,115,95,0,54,0,54
10,Ballard,21236,330,11602,423,3451,346,2627,307,207,112,274,129,73,52,258,100,12,45,4383,327,4141,315,0,43,153,75,25,50,64,60,0,43,1961,275,1871,268,52,60,38,53,0,43,0,43,0,43,1409,189,1385,187,0,43,0,43,0,43,24,55,0,43,398,114,391,113,7,43,0,43,0,43,0,43,0,43,9634,493,4180,397,698,187,554,167,1335,229,889,234,704,218,0,43,3724,421,889,209,864,219,1143,264,295,155,533,190,0,43,1093,251,615,184,178,110,180,123,95,82,25,57,0,43,426,161,394,158,32,47,0,43,0,43,0,43,0,43,211,108,90,86,89,71,15,47,0,43,17,48,0,43
11,Lake Union,24520,524,7184,387,2356,301,1199,212,184,114,268,106,340,112,351,118,14,45,2840,288,2180,235,30,48,190,94,206,95,234,94,0,42,1126,206,1037,189,17,49,11,43,0,42,51,82,10,43,647,127,583,121,51,54,13,45,0,42,0,42,0,42,215,80,188,77,15,44,12,44,0,42,0,42,0,42,17336,590,10344,627,639,174,971,240,2552,338,1850,321,4259,435,73,74,5222,506,810,218,857,239,1359,271,645,182,1536,296,15,44,1058,268,268,104,77,57,175,111,246,122,292,196,0,42,381,141,186,97,43,52,24,47,88,89,40,53,0,42,331,112,305,108,18,49,0,42,8,43,0,42,0,42
12,Magnolia/Queen Anne,29974,461,14092,515,4891,431,2244,284,114,77,966,230,1192,229,349,109,26,54,5028,381,3577,314,131,72,546,148,554,157,206,117,14,53,1896,288,1701,272,62,68,36,54,97,85,0,51,0,51,1779,240,1779,240,0,51,0,51,0,51,0,51,0,51,498,114,498,114,0,51,0,51,0,51,0,51,0,51,15882,596,8948,573,557,172,1156,255,2676,358,2663,353,1896,302,0,51,5220,488,610,166,957,241,1710,308,1256,276,675,195,12,52,769,204,295,118,229,127,83,82,105,93,57,65,0,51,650,211,322,139,171,142,52,64,35,61,61,91,9,52,295,144,211,121,45,84,39,74,0,51,0,51,0,51
13,Downtown,11410,381,2175,304,1312,268,50,50,0,29,45,43,105,59,1112,256,0,29,833,205,70,79,0,29,26,33,86,61,651,180,0,29,27,38,0,29,0,29,0,29,9,30,18,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,3,29,0,29,0,29,0,29,0,29,3,29,0,29,9235,420,6798,468,92,76,60,47,520,183,1484,252,4631,463,11,32,1801,297,0,29,22,42,229,118,384,137,1166,250,0,29,420,122,169,66,0,29,36,43,65,57,123,70,27,50,125,73,37,41,9,31,11,32,14,33,54,62,0,29,91,74,32,56,7,30,28,53,17,37,7,30,0,29
