area_id,area_name,b17020a001,b17020a001_moe,b17020a002,b17020a002_moe,b17020a003,b17020a003_moe,b17020a004,b17020a004_moe,b17020a005,b17020a005_moe,b17020a006,b17020a006_moe,b17020a007,b17020a007_moe,b17020a008,b17020a008_moe,b17020a009,b17020a009_moe,b17020a010,b17020a010_moe,b17020a011,b17020a011_moe,b17020a012,b17020a012_moe,b17020a013,b17020a013_moe,b17020a014,b17020a014_moe,b17020a015,b17020a015_moe,b17020a016,b17020a016_moe,b17020a017,b17020a017_moe
1,Southwest,42394,1094,2346,454,68,79,0,48,108,94,139,99,1757,344,72,61,202,102,40048,1125,2236,381,453,155,2334,305,1763,296,27485,847,3190,351,2587,286
2,Delridge Neighborhoods,20596,1096,2359,658,152,147,47,65,106,101,191,172,1601,389,149,80,113,87,18237,960,933,205,191,90,581,183,801,226,13862,779,1066,195,803,174
3,Greater Duwamish,13835,1090,2251,549,167,172,17,50,145,128,256,175,1443,311,36,51,187,119,11584,1007,808,263,128,88,490,201,266,127,9019,735,409,127,464,145
4,Southeast,18617,1087,2154,600,128,117,9,45,135,113,114,91,1540,405,82,77,146,103,16463,974,1194,257,194,90,887,216,806,204,11771,773,874,185,737,201
5,Central,17713,824,1549,336,66,69,0,34,33,61,0,34,1256,278,88,70,106,68,16164,778,1107,264,174,112,568,153,351,131,12651,627,981,201,332,127
6,East,37439,1228,4333,513,68,63,0,47,0,47,0,47,3805,481,263,130,197,96,33106,1178,871,248,155,80,794,163,621,143,26943,1024,1967,267,1755,259
7,Northeast,55806,1599,8181,1028,62,71,13,60,96,77,95,75,7479,991,166,102,270,253,47625,1143,2634,327,512,143,2835,311,2381,329,33201,951,3382,299,2680,284
8,North,28427,1037,3267,591,194,122,51,76,97,94,51,64,2387,431,169,106,318,156,25160,1010,1296,272,279,88,1051,216,1012,200,17966,754,1427,236,2129,276
9,Northwest,53759,1360,4572,737,137,111,4,52,171,111,129,90,3279,636,301,151,551,179,49187,1276,2728,357,378,115,2137,286,1610,285,36332,994,2620,336,3382,344
10,Ballard,39002,1007,2344,409,54,60,10,45,87,77,76,67,1745,324,115,74,257,140,36658,1024,2202,301,331,105,1694,266,1444,296,27206,819,2040,271,1741,234
11,Lake Union,34968,1216,4559,614,28,49,0,42,21,50,10,41,4220,606,127,99,153,99,30409,1038,1155,208,299,115,915,161,457,129,25313,941,1321,194,949,201
12,Magnolia/Queen Anne,48254,1333,3315,622,31,70,0,51,52,60,32,54,2923,596,39,55,238,97,44939,1234,2291,321,535,163,2138,330,1490,265,32786,953,3041,340,2658,317
13,Downtown,10336,617,1745,314,0,29,0,29,0,29,0,29,1604,310,51,53,90,69,8591,551,196,60,0,29,14,33,6,29,7138,515,905,204,332,157
