area_id,area_name,b06008001,b06008001_moe,b06008002,b06008002_moe,b06008003,b06008003_moe,b06008004,b06008004_moe,b06008005,b06008005_moe,b06008006,b06008006_moe,b06008007,b06008007_moe,b06008008,b06008008_moe,b06008009,b06008009_moe,b06008010,b06008010_moe,b06008011,b06008011_moe,b06008012,b06008012_moe,b06008013,b06008013_moe,b06008014,b06008014_moe,b06008015,b06008015_moe,b06008016,b06008016_moe,b06008017,b06008017_moe,b06008018,b06008018_moe,b06008019,b06008019_moe,b06008020,b06008020_moe,b06008021,b06008021_moe,b06008022,b06008022_moe,b06008023,b06008023_moe,b06008024,b06008024_moe,b06008025,b06008025_moe,b06008026,b06008026_moe,b06008027,b06008027_moe,b06008028,b06008028_moe,b06008029,b06008029_moe,b06008030,b06008030_moe
1,Southwest,41585,892,13255,830,20330,915,5465,525,294,134,2241,300,17056,862,6600,586,7678,679,2059,317,54,60,665,156,19927,871,5273,545,10370,690,2893,386,172,111,1219,215,793,214,264,131,363,141,129,102,0,48,37,54,3809,463,1118,249,1919,333,384,150,68,68,320,141
2,Delridge Neighborhoods,28536,867,11156,854,11518,810,3911,464,623,219,1328,231,9469,698,4918,536,2957,397,1369,333,57,57,168,75,11104,729,4071,553,4330,495,1776,270,149,94,778,181,510,184,116,69,279,140,32,43,54,90,29,51,7453,724,2051,413,3952,553,734,191,363,171,353,131
3,Greater Duwamish,37863,1305,14125,1054,16779,915,3666,444,813,211,2480,335,8392,736,4846,548,2167,374,833,201,143,97,403,129,9488,742,3750,500,3751,483,1363,328,186,90,438,134,771,232,301,138,250,120,102,96,0,45,118,105,19212,1239,5228,807,10611,767,1368,276,484,175,1521,261
4,Southeast,37389,1196,12890,1016,16545,933,4802,541,767,222,2385,337,10772,838,5251,630,3405,468,1414,287,219,121,483,168,13339,786,4022,517,6214,553,1974,305,154,98,975,228,965,271,419,185,396,173,116,82,12,47,22,45,12313,942,3198,585,6530,696,1298,327,382,160,905,198
5,Central,25677,831,11469,809,9279,660,3245,390,362,138,1322,252,6886,660,3793,530,1827,320,1028,256,91,73,147,87,13950,738,5782,568,5630,507,1660,262,166,87,712,183,475,171,244,126,157,116,27,41,29,45,18,38,4366,530,1650,378,1665,320,530,163,76,78,445,159
6,East,47883,1104,28088,1117,12464,948,5028,537,806,218,1497,261,12542,781,7936,658,2722,371,1252,259,174,97,458,159,26769,1050,16169,941,6883,654,2644,372,367,149,706,157,1144,246,712,206,242,112,168,115,9,49,13,46,7428,727,3271,451,2617,510,964,248,256,131,320,151
7,Northeast,69433,1750,35980,1763,26027,897,4942,451,546,175,1938,323,25287,1321,15392,1173,7628,586,1244,220,171,102,852,271,31989,1174,14711,1008,13284,720,2853,351,322,142,819,163,1506,265,921,219,475,139,96,69,0,59,14,58,10651,886,4956,690,4640,516,749,215,53,67,253,95
8,North,34832,888,13878,848,14653,833,3940,417,450,163,1911,303,12322,704,6056,581,4345,412,1153,229,90,63,678,185,14019,755,4957,544,6131,515,2022,291,174,104,735,183,635,187,253,115,307,132,19,43,0,43,56,75,7856,764,2612,422,3870,550,746,219,186,128,442,161
9,Northwest,60550,1192,22633,1096,26578,1181,7470,626,606,166,3263,364,21187,1036,9678,813,7975,660,2419,329,158,85,957,207,28711,1090,9790,770,13305,824,3710,469,246,118,1660,259,1176,249,640,204,388,135,122,80,20,60,6,53,9476,780,2525,417,4910,596,1219,286,182,96,640,195
10,Ballard,38368,909,13993,955,18121,891,4382,496,429,168,1443,243,14428,863,6295,676,5899,567,1501,353,122,87,611,189,19211,854,6349,631,9750,655,2270,312,225,129,617,150,691,180,265,120,374,131,52,58,0,43,0,43,4038,597,1084,344,2098,397,559,182,82,75,215,89
11,Lake Union,40757,1263,23403,1274,11576,812,4625,485,348,154,805,173,12051,890,7634,760,2798,362,1179,257,171,126,269,107,22311,1044,12383,907,6756,629,2610,370,177,93,385,117,1063,265,596,218,333,132,118,80,0,42,16,44,5332,681,2790,568,1689,348,718,187,0,42,135,80
12,Magnolia/Queen Anne,52372,1215,22316,1195,22859,1038,5018,487,360,122,1819,253,16554,1012,8322,746,6142,612,1472,278,78,68,540,155,28181,1098,11549,923,12429,786,3037,381,203,96,963,191,1275,263,548,194,641,178,76,72,0,51,10,52,6362,657,1897,392,3647,513,433,141,79,77,306,109
13,Downtown,16459,752,8227,662,4695,597,2600,358,330,118,607,156,3310,435,2133,386,486,171,498,166,78,50,115,71,8186,621,4246,483,2115,399,1451,265,168,91,206,99,417,168,219,136,161,95,37,42,0,29,0,29,4546,512,1629,395,1933,340,614,174,84,59,286,98
