area_id,area_name,b19001h001,b19001h001_moe,b19001h002,b19001h002_moe,b19001h003,b19001h003_moe,b19001h004,b19001h004_moe,b19001h005,b19001h005_moe,b19001h006,b19001h006_moe,b19001h007,b19001h007_moe,b19001h008,b19001h008_moe,b19001h009,b19001h009_moe,b19001h010,b19001h010_moe,b19001h011,b19001h011_moe,b19001h012,b19001h012_moe,b19001h013,b19001h013_moe,b19001h014,b19001h014_moe,b19001h015,b19001h015_moe,b19001h016,b19001h016_moe,b19001h017,b19001h017_moe
1,Southwest,20469,466,648,201,709,185,523,159,503,179,916,212,831,200,749,190,669,175,853,210,1345,231,1804,296,2873,334,2329,304,1507,252,1955,260,2255,301
2,Delridge Neighborhoods,9091,408,452,144,346,129,383,123,342,112,440,148,382,119,475,170,340,135,217,101,772,176,1047,204,1247,212,889,186,663,158,703,182,393,150
3,Greater Duwamish,5209,361,226,98,163,81,278,115,191,89,280,110,221,97,171,84,223,94,254,119,437,140,642,173,595,140,587,147,497,163,220,111,224,105
4,Southeast,7344,400,375,138,184,89,196,84,255,125,160,93,205,109,135,82,190,92,191,105,394,141,775,169,1118,235,963,181,476,141,832,199,895,181
5,Central,8325,385,355,119,216,107,447,186,258,122,308,161,379,173,273,105,232,93,190,81,521,163,716,178,1066,221,768,184,565,147,891,161,1140,195
6,East,22584,689,1620,286,1086,238,965,228,1236,277,708,183,1308,285,1133,258,996,250,819,206,1956,355,1954,293,2633,361,1715,312,1445,321,1212,253,1798,276
7,Northeast,23951,540,1654,296,695,188,652,179,687,180,991,228,592,149,724,182,910,192,729,172,1619,268,2174,300,2536,302,2154,283,1635,241,2167,265,4032,327
8,North,13724,450,993,233,698,197,528,167,816,190,556,186,622,172,613,196,455,134,571,162,1133,249,1358,234,1676,265,1293,215,819,157,820,154,773,156
9,Northwest,26201,559,1368,300,1037,213,753,175,832,199,971,212,1078,228,854,194,1064,204,1037,238,1770,272,2837,349,3526,381,3032,370,1942,290,2042,275,2058,259
10,Ballard,18746,379,844,216,435,141,541,148,531,155,560,160,636,187,582,198,750,190,755,199,1425,273,2123,296,2744,366,2539,347,1543,257,1454,250,1284,194
11,Lake Union,18899,592,1194,268,680,178,639,180,556,159,611,171,944,249,685,188,980,254,892,215,1727,317,1897,307,2213,314,2047,287,1105,220,1406,228,1323,225
12,Magnolia/Queen Anne,25082,584,1090,224,633,196,412,127,785,182,842,209,1154,231,868,199,1082,240,835,190,2071,334,2454,346,3407,404,2182,321,1806,279,2141,304,3320,342
13,Downtown,7227,437,888,186,476,165,389,149,150,77,245,120,214,115,230,122,291,128,183,89,402,166,515,160,1091,238,605,153,286,112,384,155,878,216
