area_id,area_name,c02003001,c02003001_moe,c02003002,c02003002_moe,c02003003,c02003003_moe,c02003004,c02003004_moe,c02003005,c02003005_moe,c02003006,c02003006_moe,c02003007,c02003007_moe,c02003008,c02003008_moe,c02003009,c02003009_moe,c02003010,c02003010_moe,c02003011,c02003011_moe,c02003012,c02003012_moe,c02003013,c02003013_moe,c02003014,c02003014_moe,c02003015,c02003015_moe,c02003016,c02003016_moe,c02003017,c02003017_moe,c02003018,c02003018_moe,c02003019,c02003019_moe
1,Southwest,49334,1084,47076,1127,43018,1122,918,276,361,183,2314,365,131,126,334,200,2258,453,111,93,2147,443,2027,397,316,163,370,165,1147,297,0,48,194,122,219,158,12,50
2,Delridge Neighborhoods,34331,1051,32410,1092,20663,1097,4694,685,232,161,5554,687,275,182,992,449,1921,385,217,121,1704,352,1665,335,367,180,190,103,576,203,80,71,452,182,221,127,35,51
3,Greater Duwamish,47182,1787,45095,1815,14008,1090,8561,1268,464,245,20739,1408,497,307,826,452,2087,500,165,112,1922,486,1923,481,297,243,356,216,667,250,200,141,403,185,125,90,39,62
4,Southeast,45972,1502,43590,1536,18965,1117,11678,1205,377,184,11410,980,353,356,807,558,2382,545,70,76,2312,538,2064,485,374,177,516,349,625,206,206,181,343,150,294,186,24,56
5,Central,29698,992,27872,996,17930,826,6516,871,170,111,2912,432,9,36,335,170,1826,524,64,78,1762,517,1411,426,407,175,199,112,449,185,180,208,176,108,401,328,14,40
6,East,51309,1222,49264,1262,39283,1314,3878,616,772,262,4613,581,64,67,654,195,2045,375,96,72,1949,370,1846,355,243,131,427,144,867,279,46,56,263,116,154,90,45,52
7,Northeast,79252,1825,75224,1819,61149,1694,1758,409,372,167,10993,974,105,80,847,324,4028,513,209,125,3819,503,3563,463,482,195,698,220,1859,321,92,107,432,166,441,183,24,59
8,North,40013,1085,38348,1117,28625,1040,1968,495,371,230,5928,713,247,191,1209,444,1665,384,80,65,1585,377,1399,335,168,114,337,135,637,210,18,49,239,111,232,124,34,62
9,Northwest,69963,1450,66135,1390,54294,1360,2847,661,595,237,6812,659,314,178,1273,396,3828,661,302,188,3526,639,3394,599,798,396,537,189,1501,343,11,54,547,232,399,201,35,77
10,Ballard,44470,1019,42188,1031,39076,1013,345,195,147,90,2131,363,121,137,368,202,2282,454,183,153,2099,434,2153,436,439,230,416,241,1056,265,12,45,230,159,109,92,20,51
11,Lake Union,44304,1326,42158,1334,35178,1218,1291,379,447,175,4603,650,70,92,569,259,2146,424,158,133,1988,396,1959,400,228,136,380,157,826,264,79,103,446,187,152,99,35,54
12,Magnolia/Queen Anne,59677,1403,56962,1413,50034,1394,1551,543,444,193,4264,550,32,60,637,220,2715,565,314,254,2401,525,2681,563,260,151,527,218,1432,422,11,58,451,270,34,59,0,51
13,Downtown,17411,916,16624,906,10491,626,1882,582,178,108,3662,529,18,37,393,163,787,239,39,67,748,230,755,237,54,75,165,72,295,154,73,97,168,115,32,42,0,29
