area_id,area_name,c18131001,c18131001_moe,c18131002,c18131002_moe,c18131003,c18131003_moe,c18131004,c18131004_moe,c18131005,c18131005_moe,c18131006,c18131006_moe,c18131007,c18131007_moe,c18131008,c18131008_moe,c18131009,c18131009_moe,c18131010,c18131010_moe,c18131011,c18131011_moe,c18131012,c18131012_moe,c18131013,c18131013_moe,c18131014,c18131014_moe,c18131015,c18131015_moe,c18131016,c18131016_moe
1,Southwest,48488,1053,1850,406,376,173,1474,358,1141,307,260,129,881,283,2008,366,462,161,1546,322,2169,484,259,194,1910,468,41320,1119,2597,341,38723,1114
2,Delridge Neighborhoods,34181,1044,2082,608,361,191,1721,575,3442,687,744,202,2698,645,2699,674,395,136,2304,638,2311,545,236,125,2075,521,23647,1080,1635,305,22012,1016
3,Greater Duwamish,46795,1779,3015,719,650,220,2365,630,5179,1283,1146,273,4033,1222,5206,893,747,205,4459,847,4044,833,432,155,3612,784,29351,1696,2042,316,27309,1637
4,Southeast,45310,1463,3534,820,480,177,3054,774,3505,745,925,253,2580,701,5467,1211,709,225,4758,1168,3152,683,506,166,2646,645,29652,1470,2495,409,27157,1348
5,Central,29165,1006,1920,500,297,126,1623,481,1961,472,607,171,1354,419,2298,457,496,180,1802,412,2230,642,290,150,1940,565,20756,910,1273,261,19483,878
6,East,47848,1137,3252,461,488,168,2764,430,4073,579,1081,262,2992,515,4017,718,459,145,3558,672,3450,504,396,149,3054,474,33056,1117,1945,302,31111,1106
7,Northeast,70231,1669,7816,913,495,192,7321,880,4087,662,573,276,3514,592,3390,543,481,166,2909,516,3913,608,389,159,3524,563,51025,1148,2357,298,48668,1151
8,North,39726,1067,2590,469,403,157,2187,421,2743,524,797,247,1946,464,2619,478,335,128,2284,464,3027,599,502,165,2525,563,28747,1064,2560,353,26187,1023
9,Northwest,69171,1458,3566,751,574,230,2992,724,3573,495,1094,263,2479,423,3710,611,686,198,3024,592,4495,816,706,189,3789,779,53827,1412,3315,391,50512,1384
10,Ballard,44246,1008,1416,342,241,159,1175,294,1557,374,314,120,1243,344,2019,465,221,100,1798,445,1851,430,244,104,1607,410,37403,974,1852,310,35551,987
11,Lake Union,43935,1324,3891,697,420,200,3471,602,3455,503,824,224,2631,439,2759,552,422,149,2337,515,2419,412,176,80,2243,402,31411,1015,1679,308,29732,1020
12,Magnolia/Queen Anne,57205,1334,2268,500,517,201,1751,406,2028,514,385,133,1643,493,2101,414,353,131,1748,387,3560,756,409,178,3151,727,47248,1296,2774,394,44474,1290
13,Downtown,16980,908,2281,667,599,178,1682,640,2436,420,1422,279,1014,293,1433,324,381,169,1052,290,971,244,195,113,776,228,9859,608,655,205,9204,590
