area_id,area_name,b13002i001,b13002i001_moe,b13002i002,b13002i002_moe,b13002i003,b13002i003_moe,b13002i004,b13002i004_moe,b13002i005,b13002i005_moe,b13002i006,b13002i006_moe,b13002i007,b13002i007_moe
1,Southwest,728,231,50,68,50,68,0,48,678,226,214,114,464,198
2,Delridge Neighborhoods,1133,344,117,96,25,44,92,94,1016,335,482,179,534,239
3,Greater Duwamish,1164,276,167,115,124,102,43,68,997,253,370,137,627,214
4,Southeast,979,312,130,109,130,109,0,45,849,295,230,118,619,264
5,Central,528,152,12,37,12,37,0,34,516,150,201,91,315,120
6,East,1079,254,91,137,82,136,9,48,988,228,231,127,757,201
7,Northeast,1030,300,48,64,24,62,24,61,982,297,217,112,765,272
8,North,852,262,56,63,26,49,30,59,796,250,357,122,439,219
9,Northwest,1208,301,144,119,92,89,52,96,1064,275,441,167,623,220
10,Ballard,889,265,15,48,15,48,0,43,874,264,332,160,542,218
11,Lake Union,735,194,0,42,0,42,0,42,735,194,190,84,545,176
12,Magnolia/Queen Anne,963,241,35,62,19,56,16,58,928,240,287,130,641,208
13,Downtown,262,147,0,29,0,29,0,29,262,147,119,113,143,97
