area_id,area_name,c21001d001,c21001d001_moe,c21001d002,c21001d002_moe,c21001d003,c21001d003_moe,c21001d004,c21001d004_moe,c21001d005,c21001d005_moe,c21001d006,c21001d006_moe,c21001d007,c21001d007_moe,c21001d008,c21001d008_moe,c21001d009,c21001d009_moe,c21001d010,c21001d010_moe,c21001d011,c21001d011_moe,c21001d012,c21001d012_moe,c21001d013,c21001d013_moe,c21001d014,c21001d014_moe,c21001d015,c21001d015_moe
1,Southwest,1932,296,597,161,484,155,49,61,435,149,113,59,37,47,76,53,1335,226,1108,207,0,48,1108,207,227,95,0,48,227,95
2,Delridge Neighborhoods,4332,518,1908,279,1573,268,99,91,1474,255,335,111,0,38,335,111,2424,327,2095,303,16,45,2079,299,329,122,0,38,329,122
3,Greater Duwamish,16671,1090,8132,663,6725,632,302,141,6423,627,1407,224,318,125,1089,206,8539,595,6515,552,14,49,6501,552,2024,242,0,45,2024,242
4,Southeast,9217,745,4252,411,3637,399,104,77,3533,398,615,145,144,59,471,136,4965,480,3893,429,0,45,3893,429,1072,186,0,45,1072,186
5,Central,2665,387,1242,284,1044,265,53,42,991,260,198,81,54,48,144,71,1423,224,991,194,0,34,991,194,432,123,4,33,428,119
6,East,4391,531,2207,366,1924,349,48,56,1876,347,283,107,65,66,218,100,2184,340,1882,310,0,47,1882,310,302,116,0,47,302,116
7,Northeast,10131,937,4408,545,4152,533,76,72,4076,534,256,91,28,64,228,86,5723,617,5402,602,12,60,5390,602,321,108,0,59,321,108
8,North,5275,597,2541,393,2283,391,80,61,2203,391,258,109,45,52,213,103,2734,372,2344,353,0,43,2344,353,390,124,0,43,390,124
9,Northwest,6132,582,2234,341,1885,315,47,63,1838,310,349,118,26,60,323,114,3898,413,3391,397,0,54,3391,397,507,138,0,54,507,138
10,Ballard,1966,338,626,155,486,136,0,43,486,136,140,78,60,59,80,67,1340,282,1241,274,0,43,1241,274,99,63,0,43,99,63
11,Lake Union,4440,632,2316,549,2199,546,30,50,2169,545,117,70,42,52,75,63,2124,373,1991,366,0,42,1991,366,133,62,0,42,133,62
12,Magnolia/Queen Anne,3789,489,1370,325,1278,319,0,51,1278,319,92,77,12,52,80,75,2419,367,2115,365,11,52,2104,363,304,141,0,51,304,141
13,Downtown,3336,439,1625,286,1133,265,38,52,1095,259,492,131,24,33,468,125,1711,256,1169,232,0,29,1169,232,542,134,0,29,542,134
