area_id,area_name,b05010001,b05010001_moe,b05010002,b05010002_moe,b05010003,b05010003_moe,b05010004,b05010004_moe,b05010005,b05010005_moe,b05010006,b05010006_moe,b05010007,b05010007_moe,b05010008,b05010008_moe,b05010009,b05010009_moe,b05010010,b05010010_moe,b05010011,b05010011_moe,b05010012,b05010012_moe,b05010013,b05010013_moe,b05010014,b05010014_moe,b05010015,b05010015_moe,b05010016,b05010016_moe,b05010017,b05010017_moe,b05010018,b05010018_moe,b05010019,b05010019_moe,b05010020,b05010020_moe,b05010021,b05010021_moe,b05010022,b05010022_moe,b05010023,b05010023_moe,b05010024,b05010024_moe,b05010025,b05010025_moe
1,Southwest,8750,487,292,179,150,107,105,102,38,60,7,47,142,151,41,66,101,141,492,192,188,133,112,91,29,82,47,87,304,141,248,130,56,77,7966,496,6689,489,5646,496,248,135,795,267,1277,284,1123,271,154,104
2,Delridge Neighborhoods,6851,600,1657,446,854,468,18,42,597,417,239,310,803,295,406,208,397,212,1294,409,670,345,241,246,393,235,36,58,624,251,362,180,262,168,3900,499,2624,429,1600,307,719,299,305,150,1276,302,864,263,412,174
3,Greater Duwamish,10157,1035,2551,984,1276,858,121,140,1155,855,0,45,1275,481,502,304,773,430,2793,534,1672,513,182,177,1303,388,187,279,1121,435,148,118,973,421,4813,621,3837,590,1038,269,2396,517,403,156,976,300,520,183,456,219
4,Southeast,9271,761,1718,506,537,301,169,220,346,214,22,56,1181,437,544,258,637,354,2410,591,1317,498,318,202,748,318,251,309,1093,459,850,427,243,174,5143,547,3689,482,2238,360,845,309,606,227,1454,338,1167,284,287,196
5,Central,4316,458,551,288,251,161,153,129,98,102,0,34,300,240,157,136,143,200,691,298,192,128,93,94,40,55,59,82,499,284,465,277,34,67,3074,335,2457,332,1642,274,299,198,516,235,617,192,556,186,61,55
6,East,3628,414,487,229,73,73,8,47,65,73,0,47,414,222,197,122,217,200,487,240,312,203,55,75,205,184,52,77,175,143,113,119,62,94,2654,318,2310,288,1838,260,154,113,318,155,344,145,323,144,21,49
7,Northeast,11057,456,486,176,139,92,118,90,15,62,6,58,347,160,285,155,62,72,662,242,490,227,418,226,40,76,32,73,172,99,132,89,40,73,9909,473,8861,473,7089,462,620,187,1152,267,1048,260,922,252,126,90
8,North,5986,478,914,291,281,171,55,66,226,163,0,43,633,238,389,215,244,175,657,252,369,189,263,156,106,112,0,43,288,173,200,145,88,104,4415,366,3599,345,2638,327,465,189,496,165,816,239,624,216,192,117
9,Northwest,10286,683,615,236,269,182,96,102,173,160,0,54,346,160,256,131,90,104,1310,487,876,440,426,384,357,198,93,111,434,211,273,119,161,182,8361,535,7113,472,5122,449,720,258,1271,282,1248,315,1088,284,160,145
10,Ballard,7074,469,360,166,249,148,151,127,75,78,23,57,111,72,111,72,0,43,501,233,263,179,150,122,83,137,30,53,238,162,154,141,84,89,6213,423,5112,375,4265,372,115,86,732,224,1101,316,979,299,122,104
11,Lake Union,3711,325,199,157,14,44,14,44,0,42,0,42,185,156,185,156,0,42,320,170,101,118,43,72,58,102,0,42,219,128,219,128,0,42,3192,291,2639,285,2074,247,205,119,360,168,553,185,483,176,70,71
12,Magnolia/Queen Anne,8052,565,195,130,137,123,50,74,56,100,31,70,58,65,58,65,0,51,737,330,513,305,300,258,98,156,115,104,224,128,196,125,28,56,7120,595,6498,585,4882,562,311,148,1305,295,622,213,610,213,12,53
13,Downtown,1003,413,551,392,182,146,27,50,155,140,0,29,369,376,31,51,338,374,103,88,65,77,6,28,48,77,11,32,38,43,29,39,9,31,349,112,248,90,169,52,32,46,47,70,101,73,71,62,30,42
