area_id,area_name,b17010f001,b17010f001_moe,b17010f002,b17010f002_moe,b17010f003,b17010f003_moe,b17010f004,b17010f004_moe,b17010f005,b17010f005_moe,b17010f006,b17010f006_moe,b17010f007,b17010f007_moe,b17010f008,b17010f008_moe,b17010f009,b17010f009_moe,b17010f010,b17010f010_moe,b17010f011,b17010f011_moe,b17010f012,b17010f012_moe,b17010f013,b17010f013_moe,b17010f014,b17010f014_moe,b17010f015,b17010f015_moe,b17010f016,b17010f016_moe,b17010f017,b17010f017_moe,b17010f018,b17010f018_moe,b17010f019,b17010f019_moe,b17010f020,b17010f020_moe,b17010f021,b17010f021_moe,b17010f022,b17010f022_moe,b17010f023,b17010f023_moe,b17010f024,b17010f024_moe,b17010f025,b17010f025_moe,b17010f026,b17010f026_moe,b17010f027,b17010f027_moe,b17010f028,b17010f028_moe,b17010f029,b17010f029_moe,b17010f030,b17010f030_moe,b17010f031,b17010f031_moe,b17010f032,b17010f032_moe,b17010f033,b17010f033_moe,b17010f034,b17010f034_moe,b17010f035,b17010f035_moe,b17010f036,b17010f036_moe,b17010f037,b17010f037_moe,b17010f038,b17010f038_moe,b17010f039,b17010f039_moe,b17010f040,b17010f040_moe,b17010f041,b17010f041_moe
1,Southwest,45,54,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,45,54,30,51,28,52,0,48,28,52,0,48,2,47,15,51,0,48,0,48,0,48,0,48,0,48,0,48,15,51,15,51,0,48,0,48,15,51,0,48
2,Delridge Neighborhoods,271,135,73,76,32,58,32,58,0,38,32,58,0,38,0,38,41,61,0,38,0,38,0,38,0,38,0,38,0,38,41,61,41,61,0,38,10,40,31,60,0,38,198,115,86,95,10,40,0,38,0,38,10,40,76,94,112,89,112,89,38,54,0,38,22,49,16,44,74,79,0,38,0,38,0,38,0,38,0,38,0,38
3,Greater Duwamish,143,80,25,53,7,45,7,45,0,45,0,45,7,45,0,45,18,53,0,45,0,45,0,45,0,45,0,45,0,45,18,53,18,53,0,45,0,45,18,53,0,45,118,75,15,50,15,50,0,45,0,45,15,50,0,45,103,70,81,69,28,52,22,49,6,47,0,45,53,62,22,47,12,46,0,45,12,46,0,45,10,47
4,Southeast,158,106,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,158,106,104,89,65,85,16,49,0,45,49,83,39,52,54,71,0,45,0,45,0,45,0,45,0,45,0,45,54,71,54,71,0,45,0,45,54,71,0,45
5,Central,73,59,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,73,59,60,57,16,42,0,34,0,34,16,42,44,50,13,38,0,34,0,34,0,34,0,34,0,34,0,34,13,38,13,38,0,34,0,34,13,38,0,34
6,East,83,68,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,83,68,49,62,31,56,19,56,0,47,12,47,18,53,34,57,34,57,0,47,0,47,0,47,0,47,34,57,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,49,64,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,49,64,40,63,30,62,9,60,21,61,0,59,10,60,9,59,0,59,0,59,0,59,0,59,0,59,0,59,9,59,9,59,0,59,0,59,9,59,0,59
8,North,290,134,27,51,17,50,17,50,0,43,17,50,0,43,0,43,10,45,0,43,0,43,0,43,0,43,0,43,0,43,10,45,0,43,0,43,0,43,0,43,10,45,263,134,172,112,57,58,0,43,0,43,57,58,115,105,91,83,61,73,61,73,0,43,0,43,61,73,0,43,30,59,30,59,30,59,0,43,0,43,0,43
9,Northwest,247,123,9,55,0,54,0,54,0,54,0,54,0,54,0,54,9,55,0,54,0,54,0,54,0,54,0,54,0,54,9,55,9,55,9,55,0,54,0,54,0,54,238,122,167,107,47,64,14,55,22,61,11,56,120,100,71,78,0,54,0,54,0,54,0,54,0,54,0,54,71,78,47,73,30,70,0,54,17,57,24,58
10,Ballard,94,85,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,94,85,49,69,0,43,0,43,0,43,0,43,49,69,45,65,30,63,30,63,30,63,0,43,0,43,0,43,15,47,15,47,0,43,0,43,15,47,0,43
