area_id,area_name,b19101h001,b19101h001_moe,b19101h002,b19101h002_moe,b19101h003,b19101h003_moe,b19101h004,b19101h004_moe,b19101h005,b19101h005_moe,b19101h006,b19101h006_moe,b19101h007,b19101h007_moe,b19101h008,b19101h008_moe,b19101h009,b19101h009_moe,b19101h010,b19101h010_moe,b19101h011,b19101h011_moe,b19101h012,b19101h012_moe,b19101h013,b19101h013_moe,b19101h014,b19101h014_moe,b19101h015,b19101h015_moe,b19101h016,b19101h016_moe,b19101h017,b19101h017_moe
1,Southwest,10304,449,166,95,63,62,49,52,142,102,265,125,141,84,271,126,230,96,231,112,448,128,769,152,1599,247,1558,252,1208,232,1420,214,1744,267
2,Delridge Neighborhoods,4056,323,24,44,60,56,67,64,129,75,123,76,123,72,183,93,130,71,58,53,238,103,546,151,732,158,638,151,407,125,344,117,254,128
3,Greater Duwamish,2321,277,28,51,0,45,90,88,74,62,27,47,45,60,59,53,56,63,102,78,228,94,211,98,415,120,287,105,390,134,173,105,136,95
4,Southeast,4150,325,79,73,59,60,58,57,48,58,74,59,31,47,67,67,191,95,52,59,233,94,388,121,527,172,603,139,333,118,683,183,724,170
5,Central,3362,303,75,70,28,41,0,34,11,34,85,101,84,61,99,71,21,37,90,67,125,65,282,126,432,136,389,135,251,103,532,127,858,185
6,East,4997,452,54,57,0,47,17,46,36,54,59,68,215,126,53,59,72,60,100,83,253,124,449,130,672,175,629,184,593,231,541,171,1254,183
7,Northeast,12143,445,231,116,104,77,94,69,123,73,347,164,131,75,179,93,217,94,208,85,500,157,900,177,1433,230,1530,233,1130,198,1724,241,3292,289
8,North,6293,379,123,86,210,119,48,50,215,101,54,59,198,94,166,117,120,82,280,119,479,156,675,171,859,176,993,193,640,137,648,136,585,135
9,Northwest,12144,534,120,90,162,91,77,66,167,93,159,83,280,110,222,100,381,136,231,100,803,198,1196,225,2012,276,1937,302,1377,239,1474,231,1546,216
10,Ballard,9354,431,168,90,28,50,93,70,134,92,181,113,89,59,96,67,209,109,259,110,657,181,999,202,1595,274,1575,274,1165,220,1122,204,984,173
11,Lake Union,5446,389,81,77,30,45,93,67,63,60,47,53,226,138,109,75,250,124,153,95,187,95,492,155,752,164,623,153,585,145,868,180,887,174
12,Magnolia/Queen Anne,10518,502,114,66,75,70,92,72,112,72,89,71,318,114,131,80,215,110,158,97,448,154,716,184,1360,253,1281,244,1162,225,1549,270,2698,304
13,Downtown,1255,235,9,31,14,36,22,33,0,29,5,29,0,29,0,29,68,78,6,29,69,49,190,108,81,74,181,64,52,53,146,93,412,130
