area_id,area_name,b17020g001,b17020g001_moe,b17020g002,b17020g002_moe,b17020g003,b17020g003_moe,b17020g004,b17020g004_moe,b17020g005,b17020g005_moe,b17020g006,b17020g006_moe,b17020g007,b17020g007_moe,b17020g008,b17020g008_moe,b17020g009,b17020g009_moe,b17020g010,b17020g010_moe,b17020g011,b17020g011_moe,b17020g012,b17020g012_moe,b17020g013,b17020g013_moe,b17020g014,b17020g014_moe,b17020g015,b17020g015_moe,b17020g016,b17020g016_moe,b17020g017,b17020g017_moe
1,Southwest,2251,453,74,77,10,48,0,48,0,48,12,51,52,52,0,48,0,48,2177,449,454,156,111,101,406,159,232,123,928,225,25,55,21,51
2,Delridge Neighborhoods,1916,384,324,148,17,44,0,38,17,46,59,92,231,111,0,38,0,38,1592,353,285,133,36,48,226,102,145,94,863,229,15,43,22,42
3,Greater Duwamish,2071,501,313,192,39,55,0,45,26,53,0,45,228,138,20,50,0,45,1758,467,239,109,34,51,243,121,104,83,1021,324,94,77,23,51
4,Southeast,2324,538,421,270,16,44,0,45,119,114,52,59,226,164,0,45,8,45,1903,460,216,101,0,45,218,115,267,130,1090,277,89,64,23,51
5,Central,1743,465,152,101,0,34,0,34,30,53,15,39,92,50,15,40,0,34,1591,486,142,98,44,48,126,74,181,124,1009,342,71,82,18,39
6,East,1572,361,122,79,0,47,0,47,0,47,0,47,122,79,0,47,0,47,1450,353,36,58,19,54,88,74,130,115,1161,292,5,46,11,47
7,Northeast,3472,484,705,213,70,69,0,59,22,61,29,64,584,192,0,59,0,59,2767,436,316,125,73,68,540,179,352,148,1383,268,58,66,45,69
8,North,1664,384,272,111,52,58,12,46,11,45,23,47,158,72,0,43,16,48,1392,379,214,115,30,49,134,98,109,91,875,257,14,47,16,42
9,Northwest,3768,660,341,134,83,82,23,57,11,54,14,58,210,107,0,54,0,54,3427,647,436,237,143,89,557,209,337,138,1884,400,43,66,27,60
10,Ballard,2241,446,205,151,0,43,0,43,11,44,46,64,148,104,0,43,0,43,2036,410,335,135,54,61,250,120,191,143,1178,314,28,47,0,43
11,Lake Union,2135,423,473,207,58,77,0,42,0,42,64,100,351,148,0,42,0,42,1662,363,175,133,13,45,108,95,93,70,1222,287,8,41,43,64
12,Magnolia/Queen Anne,2595,562,356,240,31,59,28,65,28,65,0,51,257,220,12,52,0,51,2239,509,318,190,47,60,124,89,92,81,1643,387,15,55,0,51
13,Downtown,762,238,212,136,13,33,0,29,27,50,0,29,172,104,0,29,0,29,550,190,54,69,0,29,42,47,0,29,418,153,36,64,0,29
