area_id,area_name,b11003001,b11003001_moe,b11003002,b11003002_moe,b11003003,b11003003_moe,b11003004,b11003004_moe,b11003005,b11003005_moe,b11003006,b11003006_moe,b11003007,b11003007_moe,b11003008,b11003008_moe,b11003009,b11003009_moe,b11003010,b11003010_moe,b11003011,b11003011_moe,b11003012,b11003012_moe,b11003013,b11003013_moe,b11003014,b11003014_moe,b11003015,b11003015_moe,b11003016,b11003016_moe,b11003017,b11003017_moe,b11003018,b11003018_moe,b11003019,b11003019_moe,b11003020,b11003020_moe
1,Southwest,11615,463,9578,449,4060,266,1472,248,607,164,1981,247,5518,403,2037,315,462,153,201,93,64,72,20,49,117,70,261,125,1575,276,938,232,364,163,109,91,465,151,637,169
2,Delridge Neighborhoods,7898,410,5206,383,2193,266,911,204,566,146,716,160,3013,331,2692,346,758,206,324,111,41,50,22,49,261,101,434,187,1934,295,1273,255,315,152,175,93,783,198,661,175
3,Greater Duwamish,10023,429,6625,423,3270,341,1091,236,765,204,1414,242,3355,319,3398,387,1065,226,391,143,190,105,6,47,195,95,674,180,2333,356,1193,263,130,93,434,184,629,190,1140,231
4,Southeast,10698,475,7030,465,3003,348,1015,217,733,212,1255,243,4027,380,3668,416,951,222,407,147,42,48,42,64,323,139,544,170,2717,382,1299,282,327,168,194,132,778,214,1418,268
5,Central,5827,366,4312,336,1800,239,891,209,258,101,651,135,2512,273,1515,273,318,115,157,89,47,48,34,63,76,62,161,100,1197,255,609,191,171,112,125,108,313,121,588,168
6,East,6914,493,5734,462,1605,248,650,222,256,94,699,129,4129,401,1180,232,358,130,131,72,64,62,0,47,67,54,227,117,822,211,541,170,304,141,0,47,237,113,281,127
7,Northeast,14739,465,12311,449,5514,278,1851,238,905,157,2758,253,6797,389,2428,315,718,179,261,111,56,65,0,59,205,106,457,144,1710,259,787,162,217,91,96,87,474,129,923,201
8,North,9165,448,6808,404,2701,263,1118,209,368,107,1215,192,4107,349,2357,336,773,201,142,89,10,45,0,43,132,88,631,187,1584,288,835,228,306,158,100,65,429,169,749,176
9,Northwest,15452,570,12690,573,5252,344,2175,281,797,181,2280,280,7438,504,2762,323,645,161,354,130,94,72,0,54,260,118,291,105,2117,291,920,205,202,125,68,62,650,167,1197,226
10,Ballard,10539,437,8683,437,3435,289,1574,250,506,118,1355,206,5248,404,1856,299,576,184,355,146,137,84,12,44,206,118,221,114,1280,235,645,167,61,54,68,76,516,146,635,167
11,Lake Union,6677,455,5388,400,1836,201,1041,187,273,94,522,127,3552,358,1289,273,557,215,245,127,121,112,0,42,124,70,312,175,732,168,430,138,161,96,54,76,215,99,302,100
12,Magnolia/Queen Anne,12146,520,10858,510,4298,333,1697,273,727,187,1874,251,6560,460,1288,240,322,119,167,94,27,55,0,51,140,90,155,86,966,214,515,168,213,126,14,53,288,116,451,140
13,Downtown,2301,306,1976,283,362,105,263,87,34,41,65,55,1614,261,325,125,93,81,39,57,0,29,31,55,8,30,54,63,232,95,155,83,48,47,42,55,65,53,77,54
