area_id,area_name,c21001b001,c21001b001_moe,c21001b002,c21001b002_moe,c21001b003,c21001b003_moe,c21001b004,c21001b004_moe,c21001b005,c21001b005_moe,c21001b006,c21001b006_moe,c21001b007,c21001b007_moe,c21001b008,c21001b008_moe,c21001b009,c21001b009_moe,c21001b010,c21001b010_moe,c21001b011,c21001b011_moe,c21001b012,c21001b012_moe,c21001b013,c21001b013_moe,c21001b014,c21001b014_moe,c21001b015,c21001b015_moe
1,Southwest,808,246,484,175,479,175,47,59,432,172,5,46,0,48,5,46,324,160,314,157,0,48,314,157,10,45,0,48,10,45
2,Delridge Neighborhoods,3112,476,1267,246,1159,241,156,100,1003,232,108,65,71,57,37,49,1845,320,1699,318,0,38,1699,318,146,104,0,38,146,104
3,Greater Duwamish,5310,623,2490,401,2159,395,276,141,1883,368,331,136,103,71,228,120,2820,409,2426,394,17,47,2409,393,394,138,0,45,394,138
4,Southeast,8723,829,4236,543,3500,530,366,158,3134,530,736,169,317,117,419,131,4487,551,3627,509,16,50,3611,510,860,197,0,45,860,197
5,Central,5284,654,2638,454,2236,438,78,56,2158,439,402,132,179,75,223,106,2646,427,1840,433,6,34,1834,433,806,168,24,39,782,167
6,East,3087,454,1849,327,1670,310,238,117,1432,286,179,108,80,82,99,83,1238,273,1018,256,28,57,990,254,220,110,0,47,220,110
7,Northeast,1446,348,841,256,747,243,100,94,647,213,94,94,94,94,0,59,605,204,506,189,12,60,494,183,99,86,0,59,99,86
8,North,1554,387,933,293,826,280,65,56,761,279,107,85,66,71,41,58,621,213,616,213,0,43,616,213,5,39,0,43,5,39
9,Northwest,2240,472,1170,297,1131,293,46,61,1085,290,39,62,4,53,35,61,1070,272,977,269,12,57,965,266,93,88,40,79,53,63
10,Ballard,223,124,101,85,87,84,0,43,87,84,14,46,0,43,14,46,122,95,122,95,0,43,122,95,0,43,0,43,0,43
11,Lake Union,1083,271,653,201,642,199,67,72,575,197,11,45,11,45,0,42,430,174,373,163,0,42,373,163,57,55,0,42,57,55
12,Magnolia/Queen Anne,1291,428,938,359,938,359,216,150,722,326,0,51,0,51,0,51,353,173,303,161,0,51,303,161,50,52,0,51,50,52
13,Downtown,1538,367,1217,343,1156,331,276,138,880,298,61,54,26,40,35,43,321,117,321,117,25,41,296,119,0,29,0,29,0,29
