area_id,area_name,b18101e001,b18101e001_moe,b18101e002,b18101e002_moe,b18101e003,b18101e003_moe,b18101e004,b18101e004_moe,b18101e005,b18101e005_moe,b18101e006,b18101e006_moe,b18101e007,b18101e007_moe,b18101e008,b18101e008_moe,b18101e009,b18101e009_moe,b18101e010,b18101e010_moe
1,Southwest,79,105,0,48,0,48,0,48,79,105,8,49,71,96,0,48,0,48,0,48
2,Delridge Neighborhoods,275,182,57,62,12,43,45,59,185,152,30,51,155,133,33,52,0,38,33,52
3,Greater Duwamish,497,307,107,144,18,52,89,122,350,221,58,69,292,196,40,69,40,69,0,45
4,Southeast,353,356,58,150,0,45,58,150,215,232,76,91,139,176,80,93,52,82,28,62
5,Central,9,36,0,34,0,34,0,34,9,36,9,36,0,34,0,34,0,34,0,34
6,East,43,61,0,47,0,47,0,47,43,61,31,57,12,50,0,47,0,47,0,47
7,Northeast,105,80,8,59,0,59,8,59,78,77,0,59,78,77,19,62,0,59,19,62
8,North,217,170,46,78,25,53,21,51,131,96,32,50,99,91,40,69,40,69,0,43
9,Northwest,314,178,70,78,0,54,70,78,244,154,20,56,224,149,0,54,0,54,0,54
10,Ballard,112,135,23,57,0,43,23,57,89,101,21,52,68,97,0,43,0,43,0,43
11,Lake Union,70,92,14,52,0,42,14,52,56,87,0,42,56,87,0,42,0,42,0,42
12,Magnolia/Queen Anne,32,60,14,53,0,51,14,53,18,49,1,50,17,50,0,51,0,51,0,51
13,Downtown,1,27,1,27,0,29,1,27,0,29,0,29,0,29,0,29,0,29,0,29
