area_id,area_name,c15002h001,c15002h001_moe,c15002h002,c15002h002_moe,c15002h003,c15002h003_moe,c15002h004,c15002h004_moe,c15002h005,c15002h005_moe,c15002h006,c15002h006_moe,c15002h007,c15002h007_moe,c15002h008,c15002h008_moe,c15002h009,c15002h009_moe,c15002h010,c15002h010_moe,c15002h011,c15002h011_moe
1,Southwest,33450,841,15788,601,514,183,1983,294,4344,403,8947,581,17662,581,374,140,2469,323,4914,455,9905,520
2,Delridge Neighborhoods,14693,698,7268,501,493,157,1286,270,2430,334,3059,307,7425,459,473,160,1133,206,2324,332,3495,357
3,Greater Duwamish,9021,617,4964,428,277,125,655,178,1548,247,2484,317,4057,383,139,88,497,151,1094,201,2327,299
4,Southeast,13101,728,6084,440,155,111,499,145,1357,263,4073,346,7017,461,179,71,653,162,1610,261,4575,369
5,Central,13380,648,6521,420,124,76,362,156,1035,200,5000,366,6859,455,147,80,502,177,1275,260,4935,366
6,East,30080,1023,16031,806,429,175,1287,282,4012,578,10303,636,14049,743,317,126,848,211,3412,461,9472,661
7,Northeast,36950,912,18200,680,253,113,1229,269,3234,436,13484,591,18750,631,203,96,1274,234,3120,411,14153,525
8,North,21230,706,10338,496,465,131,1263,258,2748,345,5862,395,10892,459,765,216,1531,269,2653,309,5943,394
9,Northwest,41811,1109,20375,763,729,191,2134,322,5233,473,12279,622,21436,734,649,208,2702,348,5635,503,12450,599
10,Ballard,29894,720,15080,530,441,141,1531,375,3771,449,9337,513,14814,540,483,155,1680,293,3598,407,9053,521
11,Lake Union,26678,930,14185,677,275,120,925,221,3430,451,9555,592,12493,631,177,105,730,189,2516,365,9070,568
12,Magnolia/Queen Anne,36730,908,17974,630,278,112,1356,291,3473,402,12867,605,18756,648,186,88,1111,221,4313,428,13146,609
13,Downtown,9078,603,5543,477,415,165,455,158,1336,250,3337,393,3535,368,77,51,322,144,702,189,2434,300
