area_id,area_name,b19037d001,b19037d001_moe,b19037d002,b19037d002_moe,b19037d003,b19037d003_moe,b19037d004,b19037d004_moe,b19037d005,b19037d005_moe,b19037d006,b19037d006_moe,b19037d007,b19037d007_moe,b19037d008,b19037d008_moe,b19037d009,b19037d009_moe,b19037d010,b19037d010_moe,b19037d011,b19037d011_moe,b19037d012,b19037d012_moe,b19037d013,b19037d013_moe,b19037d014,b19037d014_moe,b19037d015,b19037d015_moe,b19037d016,b19037d016_moe,b19037d017,b19037d017_moe,b19037d018,b19037d018_moe,b19037d019,b19037d019_moe,b19037d020,b19037d020_moe,b19037d021,b19037d021_moe,b19037d022,b19037d022_moe,b19037d023,b19037d023_moe,b19037d024,b19037d024_moe,b19037d025,b19037d025_moe,b19037d026,b19037d026_moe,b19037d027,b19037d027_moe,b19037d028,b19037d028_moe,b19037d029,b19037d029_moe,b19037d030,b19037d030_moe,b19037d031,b19037d031_moe,b19037d032,b19037d032_moe,b19037d033,b19037d033_moe,b19037d034,b19037d034_moe,b19037d035,b19037d035_moe,b19037d036,b19037d036_moe,b19037d037,b19037d037_moe,b19037d038,b19037d038_moe,b19037d039,b19037d039_moe,b19037d040,b19037d040_moe,b19037d041,b19037d041_moe,b19037d042,b19037d042_moe,b19037d043,b19037d043_moe,b19037d044,b19037d044_moe,b19037d045,b19037d045_moe,b19037d046,b19037d046_moe,b19037d047,b19037d047_moe,b19037d048,b19037d048_moe,b19037d049,b19037d049_moe,b19037d050,b19037d050_moe,b19037d051,b19037d051_moe,b19037d052,b19037d052_moe,b19037d053,b19037d053_moe,b19037d054,b19037d054_moe,b19037d055,b19037d055_moe,b19037d056,b19037d056_moe,b19037d057,b19037d057_moe,b19037d058,b19037d058_moe,b19037d059,b19037d059_moe,b19037d060,b19037d060_moe,b19037d061,b19037d061_moe,b19037d062,b19037d062_moe,b19037d063,b19037d063_moe,b19037d064,b19037d064_moe,b19037d065,b19037d065_moe,b19037d066,b19037d066_moe,b19037d067,b19037d067_moe,b19037d068,b19037d068_moe,b19037d069,b19037d069_moe
1,Southwest,826,177,58,68,0,48,0,48,15,51,0,48,0,48,0,48,0,48,0,48,0,48,19,55,24,58,0,48,0,48,0,48,0,48,0,48,380,132,0,48,19,54,15,51,0,48,0,48,19,53,0,48,0,48,16,52,0,48,36,61,64,65,71,63,0,48,46,66,94,83,209,109,4,46,0,48,8,48,0,48,0,48,0,48,0,48,14,50,10,48,32,51,0,48,17,52,65,93,34,56,16,47,9,47,179,80,13,50,0,48,13,51,41,52,13,51,0,48,24,58,0,48,0,48,0,48,27,47,9,48,0,48,0,48,19,55,20,50
2,Delridge Neighborhoods,1788,241,37,68,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,37,68,0,38,0,38,0,38,0,38,0,38,641,180,52,88,0,38,0,38,19,41,19,45,0,38,14,43,0,38,35,67,29,44,85,60,141,109,38,49,98,73,53,58,58,51,755,164,41,55,59,62,29,58,0,38,37,56,42,54,26,49,65,82,50,60,104,74,61,51,76,55,33,43,16,40,68,64,48,60,355,117,116,92,30,46,9,39,22,48,11,41,0,38,0,38,21,42,0,38,47,59,31,40,33,50,8,39,0,38,7,38,20,43
3,Greater Duwamish,6214,353,340,152,10,45,0,45,0,45,0,45,0,45,0,45,0,45,9,46,81,93,93,88,39,69,89,93,19,46,0,45,0,45,0,45,1741,271,48,60,75,86,0,45,29,51,47,54,110,92,123,96,92,84,45,58,148,85,219,119,309,138,108,65,222,119,153,112,13,44,2419,280,104,80,135,92,23,54,39,49,67,60,74,85,131,77,137,74,124,73,347,138,372,129,287,99,254,107,112,71,116,89,97,62,1714,230,404,148,200,93,208,98,112,68,76,57,13,46,43,55,83,67,127,101,126,75,102,77,138,69,50,61,5,44,27,53,0,45
4,Southeast,3454,299,137,82,13,46,0,45,0,45,0,45,0,45,15,49,30,52,0,45,8,46,9,46,34,62,0,45,28,64,0,45,0,45,0,45,880,195,46,71,11,46,61,69,105,85,0,45,92,81,0,45,27,45,13,48,121,95,26,51,189,115,77,87,29,50,68,66,15,48,1647,258,157,91,59,78,12,46,92,95,55,62,117,97,141,112,10,44,77,76,144,84,179,82,270,107,136,75,64,60,80,63,54,53,790,154,118,72,46,50,58,57,53,52,64,66,16,46,16,50,43,53,44,50,26,45,33,52,131,71,58,49,54,56,21,48,9,45
5,Central,1324,204,135,106,59,86,0,34,0,34,0,34,0,34,15,40,0,34,29,58,0,34,9,35,6,34,0,34,17,42,0,34,0,34,0,34,539,150,0,34,0,34,35,61,15,39,0,34,0,34,30,45,41,50,31,52,91,74,43,51,36,56,52,53,21,47,81,53,63,55,275,94,9,33,8,34,6,33,13,37,54,63,21,37,20,41,12,37,20,39,8,34,7,33,0,34,7,35,8,36,21,47,61,49,375,95,183,71,92,72,14,36,8,34,8,34,0,34,0,34,6,33,4,33,5,33,36,40,7,35,0,34,0,34,0,34,12,35
6,East,2777,383,419,152,202,114,37,55,67,74,13,50,0,47,15,51,0,47,13,49,0,47,30,57,0,47,26,53,0,47,0,47,16,51,0,47,1502,337,153,87,11,48,133,205,119,102,27,52,30,52,29,52,131,102,19,52,15,47,76,65,254,161,272,131,107,81,39,64,87,74,501,158,113,109,28,51,48,58,13,48,0,47,11,48,19,49,12,49,35,49,0,47,37,58,114,95,11,48,14,49,35,61,11,48,355,108,123,77,32,49,21,55,41,52,22,51,37,61,23,50,0,47,13,49,0,47,0,47,14,46,29,64,0,47,0,47,0,47
7,Northeast,3688,347,970,200,535,163,144,98,64,87,104,118,75,77,0,59,0,59,0,59,41,85,7,59,0,59,0,59,0,59,0,59,0,59,0,59,1729,276,114,82,57,89,42,67,115,112,99,86,107,93,31,61,65,76,151,94,166,125,176,137,167,101,121,80,97,73,54,65,167,91,683,152,22,61,0,59,31,65,0,59,11,59,0,59,16,62,8,60,22,62,32,66,81,74,97,87,60,66,129,93,98,70,76,72,306,99,28,63,24,60,33,67,36,59,0,59,0,59,25,62,0,59,0,59,32,62,0,59,10,60,12,60,37,67,0,59,69,67
8,North,2805,313,485,162,200,103,0,43,0,43,0,43,31,61,118,115,17,48,27,49,0,43,15,46,61,76,16,47,0,43,0,43,0,43,0,43,1276,249,204,148,65,64,0,43,56,84,66,56,11,45,41,48,115,100,148,108,56,56,86,85,135,73,83,62,64,71,91,80,55,53,674,173,24,47,24,49,45,57,27,49,70,93,13,45,26,48,23,47,21,46,55,56,20,45,106,89,86,69,63,58,22,44,49,46,370,123,33,51,9,44,112,94,44,63,21,46,7,43,12,44,23,44,22,52,15,47,33,47,19,49,9,44,0,43,0,43,11,45
9,Northwest,2975,321,295,146,101,98,0,54,43,88,0,54,34,65,0,54,0,54,0,54,16,57,32,61,17,59,52,69,0,54,0,54,0,54,0,54,1495,265,173,116,86,84,0,54,109,116,57,72,51,67,88,102,54,65,33,64,56,61,180,107,93,79,235,119,125,101,104,98,51,59,687,159,41,63,29,60,60,75,0,54,0,54,51,68,12,56,34,61,9,55,58,80,50,65,67,63,61,60,77,67,66,64,72,70,498,137,75,62,101,89,42,71,16,58,38,69,33,59,9,54,13,55,20,56,39,62,17,55,68,64,0,54,14,56,0,54,13,55
10,Ballard,936,196,44,81,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,44,81,0,43,0,43,0,43,0,43,431,136,0,43,0,43,17,47,17,48,0,43,50,86,0,43,13,47,0,43,48,56,48,57,64,59,48,68,50,53,50,51,26,50,336,120,0,43,0,43,0,43,0,43,19,51,17,49,0,43,0,43,15,46,76,66,27,43,92,74,50,51,27,58,13,46,0,43,125,75,16,47,0,43,22,53,9,44,0,43,0,43,0,43,18,50,0,43,0,43,0,43,43,53,17,49,0,43,0,43,0,43
