area_id,area_name,c23002g001,c23002g001_moe,c23002g002,c23002g002_moe,c23002g003,c23002g003_moe,c23002g004,c23002g004_moe,c23002g005,c23002g005_moe,c23002g006,c23002g006_moe,c23002g007,c23002g007_moe,c23002g008,c23002g008_moe,c23002g009,c23002g009_moe,c23002g010,c23002g010_moe,c23002g011,c23002g011_moe,c23002g012,c23002g012_moe,c23002g013,c23002g013_moe,c23002g014,c23002g014_moe,c23002g015,c23002g015_moe,c23002g016,c23002g016_moe,c23002g017,c23002g017_moe,c23002g018,c23002g018_moe,c23002g019,c23002g019_moe,c23002g020,c23002g020_moe,c23002g021,c23002g021_moe,c23002g022,c23002g022_moe,c23002g023,c23002g023_moe,c23002g024,c23002g024_moe,c23002g025,c23002g025_moe,c23002g026,c23002g026_moe,c23002g027,c23002g027_moe
1,Southwest,1109,241,513,152,508,152,452,151,0,48,452,151,427,144,25,53,56,51,5,46,0,48,0,48,0,48,5,46,596,167,550,162,494,153,0,48,494,153,472,149,22,55,56,50,46,57,13,46,13,46,0,48,33,57
2,Delridge Neighborhoods,1267,281,597,172,583,170,411,148,0,38,411,148,361,143,50,55,172,93,14,42,0,38,0,38,0,38,14,42,670,202,647,199,485,185,0,38,485,185,398,151,87,87,162,81,23,44,0,38,0,38,0,38,23,44
3,Greater Duwamish,1394,366,694,189,605,178,534,169,0,45,534,169,492,164,42,58,71,65,89,72,25,49,25,49,0,45,64,69,700,234,652,232,517,197,2,43,515,197,376,151,139,111,135,87,48,54,37,50,37,50,0,45,11,49
4,Southeast,1521,340,527,159,496,156,351,122,0,45,351,122,322,117,29,53,145,102,31,44,11,46,11,46,0,45,20,43,994,261,902,256,586,197,0,45,586,197,565,194,21,57,316,137,92,67,17,49,17,49,0,45,75,64
5,Central,1241,361,475,173,440,163,411,161,17,42,394,159,366,156,28,41,29,41,35,47,0,34,0,34,0,34,35,47,766,260,687,248,541,229,0,34,541,229,462,179,79,111,146,86,79,83,5,33,5,33,0,34,74,84
6,East,1772,323,971,252,971,252,596,233,0,47,596,233,526,193,70,89,375,108,0,47,0,47,0,47,0,47,0,47,801,197,785,196,572,165,0,47,572,165,548,163,24,49,213,98,16,46,0,47,0,47,0,47,16,46
7,Northeast,2729,381,1281,249,1220,245,824,205,0,59,824,205,761,198,63,69,396,136,61,71,16,61,16,61,0,59,45,68,1448,275,1406,274,928,217,0,59,928,217,829,196,99,98,478,165,42,63,0,59,0,59,0,59,42,63
8,North,1113,272,580,160,552,155,486,154,0,43,486,154,426,155,60,52,66,51,28,48,0,43,0,43,0,43,28,48,533,200,515,199,406,189,0,43,406,189,371,181,35,57,109,69,18,46,0,43,0,43,0,43,18,46
9,Northwest,2255,449,898,233,887,232,808,222,0,54,808,222,684,199,124,107,79,67,11,53,7,54,7,54,0,54,4,53,1357,333,1294,328,1076,285,0,54,1076,285,991,245,85,99,218,156,63,70,22,64,0,54,22,64,41,62
10,Ballard,1459,363,606,174,604,174,506,163,0,43,506,163,469,158,37,48,98,61,2,42,0,43,0,43,0,43,2,42,853,278,825,276,630,229,0,43,630,229,557,214,73,88,195,156,28,47,14,46,14,46,0,43,14,45
11,Lake Union,1699,358,625,204,625,204,539,194,0,42,539,194,519,192,20,46,86,66,0,42,0,42,0,42,0,42,0,42,1074,295,1023,289,848,232,13,45,835,232,762,221,73,75,175,118,51,66,0,42,0,42,0,42,51,66
12,Magnolia/Queen Anne,2085,463,1069,324,1057,324,793,283,7,51,786,282,725,282,61,68,264,154,12,52,0,51,0,51,0,51,12,52,1016,256,1001,252,814,210,8,52,806,210,756,203,50,71,187,141,15,55,0,51,0,51,0,51,15,55
13,Downtown,651,199,343,150,306,138,242,126,11,32,231,125,227,124,4,28,64,49,37,63,0,29,0,29,0,29,37,63,308,128,308,128,243,120,0,29,243,120,180,102,63,58,65,51,0,29,0,29,0,29,0,29,0,29
