area_id,area_name,b25085001,b25085001_moe,b25085002,b25085002_moe,b25085003,b25085003_moe,b25085004,b25085004_moe,b25085005,b25085005_moe,b25085006,b25085006_moe,b25085007,b25085007_moe,b25085008,b25085008_moe,b25085009,b25085009_moe,b25085010,b25085010_moe,b25085011,b25085011_moe,b25085012,b25085012_moe,b25085013,b25085013_moe,b25085014,b25085014_moe,b25085015,b25085015_moe,b25085016,b25085016_moe,b25085017,b25085017_moe,b25085018,b25085018_moe,b25085019,b25085019_moe,b25085020,b25085020_moe,b25085021,b25085021_moe,b25085022,b25085022_moe,b25085023,b25085023_moe,b25085024,b25085024_moe,b25085025,b25085025_moe
1,Southwest,268,157,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,13,49,0,48,0,48,0,48,0,48,0,48,0,48,0,48,34,69,0,48,131,119,11,50,0,48,79,99,0,48
2,Delridge Neighborhoods,265,161,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,41,77,0,38,0,38,0,38,0,38,98,112,54,94,72,89,0,38,0,38,0,38,0,38
3,Greater Duwamish,214,122,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,53,78,72,90,54,78,0,45,35,71,0,45,0,45
4,Southeast,421,188,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,10,46,0,45,0,45,0,45,16,51,57,74,12,47,235,156,43,66,0,45,48,86
5,Central,203,138,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,15,40,84,103,0,34,0,34,29,57,0,34,22,49,45,75,8,33
6,East,329,184,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,42,80,0,47,129,126,49,88,109,101,0,47,0,47
7,Northeast,278,160,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,87,101,15,61,99,102,0,59,77,103,0,59,0,59
8,North,315,155,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,32,65,0,43,38,74,0,43,0,43,32,65,56,77,79,74,78,96,0,43,0,43,0,43
9,Northwest,362,169,0,54,0,54,0,54,7,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,52,99,67,93,52,89,83,106,13,57,55,77,22,62,11,55,0,54
10,Ballard,237,162,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,55,94,0,43,117,118,43,80,22,54,0,43
11,Lake Union,426,204,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,40,76,64,110,59,82,58,81,115,105,56,78,34,67
12,Magnolia/Queen Anne,346,182,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,93,116,35,75,40,82,31,68,42,67,64,85,0,51,41,82
13,Downtown,113,93,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,78,76,0,29,35,62
