area_id,area_name,b17016001,b17016001_moe,b17016002,b17016002_moe,b17016003,b17016003_moe,b17016004,b17016004_moe,b17016005,b17016005_moe,b17016006,b17016006_moe,b17016007,b17016007_moe,b17016008,b17016008_moe,b17016009,b17016009_moe,b17016010,b17016010_moe,b17016011,b17016011_moe,b17016012,b17016012_moe,b17016013,b17016013_moe,b17016014,b17016014_moe,b17016015,b17016015_moe,b17016016,b17016016_moe,b17016017,b17016017_moe,b17016018,b17016018_moe,b17016019,b17016019_moe,b17016020,b17016020_moe,b17016021,b17016021_moe,b17016022,b17016022_moe,b17016023,b17016023_moe,b17016024,b17016024_moe,b17016025,b17016025_moe,b17016026,b17016026_moe,b17016027,b17016027_moe,b17016028,b17016028_moe,b17016029,b17016029_moe,b17016030,b17016030_moe,b17016031,b17016031_moe,b17016032,b17016032_moe,b17016033,b17016033_moe,b17016034,b17016034_moe,b17016035,b17016035_moe,b17016036,b17016036_moe,b17016037,b17016037_moe,b17016038,b17016038_moe,b17016039,b17016039_moe,b17016040,b17016040_moe,b17016041,b17016041_moe,b17016042,b17016042_moe,b17016043,b17016043_moe,b17016044,b17016044_moe,b17016045,b17016045_moe,b17016046,b17016046_moe,b17016047,b17016047_moe
1,Southwest,11615,463,302,125,202,91,71,65,42,58,16,52,13,50,80,69,52,62,0,48,28,56,51,54,0,48,0,48,51,54,100,92,19,55,19,55,0,48,0,48,81,85,0,48,11,48,70,85,11313,474,9376,453,5671,411,3257,358,1750,250,664,171,1957,278,1017,205,658,153,282,120,1748,236,635,161,119,70,994,178,1937,304,443,149,301,128,50,58,92,68,1494,266,783,210,479,137,232,116
2,Delridge Neighborhoods,7898,410,892,207,314,132,125,84,0,38,0,38,125,84,88,84,52,73,11,42,25,47,101,82,8,39,37,56,56,67,578,183,46,52,0,38,14,41,32,50,532,180,57,63,216,137,259,116,7006,410,4892,387,2680,299,1328,218,888,206,464,121,1381,243,815,208,451,147,115,72,831,184,335,130,218,107,278,94,2114,308,712,203,587,189,64,58,61,80,1402,244,766,176,428,174,208,84
3,Greater Duwamish,10023,429,1230,254,484,153,89,82,0,45,38,71,51,60,140,101,39,55,27,60,74,86,255,112,9,46,39,52,207,106,746,200,130,87,53,75,36,50,41,54,616,187,101,87,284,142,231,113,8793,432,6141,418,3483,362,1868,281,897,219,718,181,1573,278,837,206,524,175,212,87,1085,219,437,159,112,65,536,148,2652,366,935,214,481,149,373,151,81,70,1717,325,948,239,446,205,323,119
4,Southeast,10698,475,1216,275,499,195,69,76,0,45,0,45,69,76,186,131,0,45,76,76,110,113,244,134,12,47,62,79,170,117,717,204,211,104,37,56,85,79,89,66,506,181,117,103,84,70,305,135,9482,490,6531,452,3514,354,1930,290,937,207,647,166,1734,273,919,217,484,130,331,127,1283,236,381,148,233,127,669,139,2951,390,740,200,360,125,269,157,111,80,2211,346,1309,290,401,148,501,159
5,Central,5827,366,465,178,202,122,56,54,16,40,0,34,40,49,74,108,0,34,74,108,0,34,72,51,27,40,0,34,45,42,263,130,48,65,0,34,34,63,14,38,215,115,0,34,29,44,186,112,5362,341,4110,315,2697,282,1425,233,677,177,595,184,799,166,384,117,223,85,192,85,614,147,276,105,82,69,256,90,1252,248,270,103,155,76,51,60,64,66,982,231,502,166,281,141,199,96
6,East,6914,493,531,155,126,69,0,47,0,47,0,47,0,47,13,49,0,47,13,49,0,47,113,66,22,55,21,52,70,55,405,146,60,63,0,47,49,60,11,48,345,146,52,71,122,114,171,88,6383,481,5608,459,3155,367,1565,283,859,235,731,166,1509,289,716,177,557,209,236,100,944,191,179,81,188,118,577,129,775,191,298,124,89,62,109,82,100,89,477,160,273,138,116,71,88,65
7,Northeast,14739,465,600,151,168,84,23,62,0,59,9,59,14,61,68,69,0,59,33,65,35,63,77,71,0,59,40,64,37,63,432,135,191,103,0,59,135,97,56,67,241,98,13,60,176,94,52,62,14139,454,12143,448,6709,411,3470,322,2114,264,1125,198,3184,332,1672,231,989,191,523,151,2250,262,914,182,254,100,1082,166,1996,289,527,156,404,140,62,73,61,66,1469,244,766,172,424,148,279,103
8,North,9165,448,755,196,309,110,10,45,0,43,0,43,10,45,118,75,0,43,39,51,79,66,181,89,0,43,19,46,162,88,446,169,94,84,0,43,74,83,20,45,352,152,34,50,161,102,157,96,8410,426,6499,390,3736,343,1739,248,1323,248,674,174,1456,224,830,173,502,140,124,67,1307,222,516,166,142,72,649,142,1911,293,679,181,366,132,167,105,146,99,1232,247,574,166,438,160,220,95
9,Northwest,15452,570,760,200,319,136,0,54,0,54,0,54,0,54,214,122,0,54,81,85,133,102,105,75,11,55,0,54,94,74,441,154,67,66,0,54,11,55,56,63,374,148,37,58,100,80,237,134,14692,570,12371,560,6992,486,3487,371,2187,308,1318,229,3427,372,1925,293,1103,219,399,139,1952,259,736,167,214,84,1002,177,2321,297,578,153,387,136,118,78,73,59,1743,264,895,193,478,149,370,128
10,Ballard,10539,437,288,112,176,88,55,57,17,47,19,47,19,51,32,53,18,49,14,48,0,43,89,67,0,43,56,60,33,52,112,75,36,50,0,43,12,44,24,46,76,67,0,43,15,47,61,65,10251,437,8507,433,5033,400,2584,339,1666,264,783,177,2167,281,1212,213,734,195,221,93,1307,184,431,120,170,80,706,136,1744,291,540,180,347,147,147,99,46,53,1204,227,674,161,348,148,182,85
