area_id,area_name,b11004001,b11004001_moe,b11004002,b11004002_moe,b11004003,b11004003_moe,b11004004,b11004004_moe,b11004005,b11004005_moe,b11004006,b11004006_moe,b11004007,b11004007_moe,b11004008,b11004008_moe,b11004009,b11004009_moe,b11004010,b11004010_moe,b11004011,b11004011_moe,b11004012,b11004012_moe,b11004013,b11004013_moe,b11004014,b11004014_moe,b11004015,b11004015_moe,b11004016,b11004016_moe,b11004017,b11004017_moe,b11004018,b11004018_moe,b11004019,b11004019_moe,b11004020,b11004020_moe
1,Southwest,11615,463,9578,449,4149,268,1502,249,607,164,2040,249,5429,401,2037,315,462,153,201,93,64,72,20,49,117,70,261,125,1575,276,1037,231,357,144,166,120,514,152,538,158
2,Delridge Neighborhoods,7898,410,5206,383,2356,272,959,211,613,144,784,166,2850,326,2692,346,758,206,377,125,44,49,22,49,311,117,381,172,1934,295,1359,257,337,153,175,93,847,200,575,165
3,Greater Duwamish,10023,429,6625,423,3445,348,1153,242,828,206,1464,252,3180,316,3398,387,1065,226,497,155,241,115,15,48,241,101,568,172,2333,356,1429,278,206,108,458,186,765,213,904,209
4,Southeast,10698,475,7030,465,3182,344,1052,212,835,228,1295,239,3848,372,3668,416,951,222,479,165,42,48,42,64,395,157,472,156,2717,382,1740,312,384,177,304,153,1052,246,977,224
5,Central,5827,366,4312,336,1865,255,899,210,258,101,708,163,2447,269,1515,273,318,115,157,89,47,48,34,63,76,62,161,100,1197,255,724,210,210,126,125,108,389,140,473,145
6,East,6914,493,5734,462,1632,246,650,222,256,94,726,130,4102,400,1180,232,358,130,131,72,64,62,0,47,67,54,227,117,822,211,581,175,327,145,0,47,254,115,241,118
7,Northeast,14739,465,12311,449,5560,281,1851,238,914,157,2795,256,6751,390,2428,315,718,179,292,116,64,66,0,59,228,109,426,143,1710,259,828,166,231,93,96,87,501,132,882,197
8,North,9165,448,6808,404,2714,264,1114,209,380,109,1220,193,4094,349,2357,336,773,201,238,109,10,45,3,42,225,109,535,173,1584,288,931,235,340,165,170,102,421,160,653,159
9,Northwest,15452,570,12690,573,5397,350,2212,283,862,193,2323,281,7293,499,2762,323,645,161,362,131,94,72,0,54,268,119,283,104,2117,291,1038,218,301,143,79,64,658,168,1079,217
10,Ballard,10539,437,8683,437,3527,293,1598,253,518,119,1411,212,5156,402,1856,299,576,184,362,147,144,85,12,44,206,118,214,114,1280,235,660,170,61,54,68,76,531,149,620,171
11,Lake Union,6677,455,5388,400,1848,199,1041,187,273,94,534,125,3540,358,1289,273,557,215,245,127,121,112,0,42,124,70,312,175,732,168,438,138,161,96,54,76,223,100,294,100
12,Magnolia/Queen Anne,12146,520,10858,510,4322,333,1697,273,727,187,1898,251,6536,461,1288,240,322,119,167,94,27,55,0,51,140,90,155,86,966,214,527,169,213,126,14,53,300,117,439,139
13,Downtown,2301,306,1976,283,362,105,263,87,34,41,65,55,1614,261,325,125,93,81,47,59,0,29,31,55,16,34,46,62,232,95,155,83,48,47,42,55,65,53,77,54
