area_id,area_name,b08111001,b08111001_moe,b08111002,b08111002_moe,b08111003,b08111003_moe,b08111004,b08111004_moe,b08111005,b08111005_moe,b08111006,b08111006_moe,b08111007,b08111007_moe,b08111008,b08111008_moe,b08111009,b08111009_moe,b08111010,b08111010_moe,b08111011,b08111011_moe,b08111012,b08111012_moe,b08111013,b08111013_moe,b08111014,b08111014_moe,b08111015,b08111015_moe,b08111016,b08111016_moe,b08111017,b08111017_moe,b08111018,b08111018_moe,b08111019,b08111019_moe,b08111020,b08111020_moe,b08111021,b08111021_moe,b08111022,b08111022_moe,b08111023,b08111023_moe,b08111024,b08111024_moe,b08111025,b08111025_moe,b08111026,b08111026_moe,b08111027,b08111027_moe,b08111028,b08111028_moe,b08111029,b08111029_moe,b08111030,b08111030_moe,b08111031,b08111031_moe,b08111032,b08111032_moe,b08111033,b08111033_moe,b08111034,b08111034_moe,b08111035,b08111035_moe
1,Southwest,27930,842,25728,858,2202,340,1196,238,1006,239,17803,854,16574,847,1229,241,693,187,536,159,2944,466,2738,435,206,109,123,75,83,88,3879,430,3552,416,327,118,171,93,156,86,481,155,389,136,92,74,63,70,29,53,699,182,689,182,10,51,10,51,0,48,2124,309,1786,278,338,153,136,96,202,124
2,Delridge Neighborhoods,18280,717,13556,740,4724,593,2878,452,1846,436,11240,623,8583,600,2657,409,1906,357,751,210,2438,409,1618,329,820,254,490,187,330,172,2985,456,2096,345,889,306,323,145,566,270,385,171,174,118,211,127,70,72,141,112,439,141,389,134,50,53,50,53,0,38,793,184,696,172,97,68,39,48,58,61
3,Greater Duwamish,23165,1099,11355,723,11810,979,7918,789,3892,645,12987,866,6044,538,6943,745,4842,586,2101,444,3352,528,1357,310,1995,401,1488,351,507,169,4634,561,2242,338,2392,424,1321,290,1071,311,721,191,570,170,151,92,55,65,96,73,900,236,776,226,124,77,56,54,68,68,571,159,366,120,205,107,156,97,49,68
4,Southeast,22046,939,14585,786,7461,691,4648,526,2813,504,13286,786,8731,649,4555,574,3049,433,1506,426,2629,420,1698,344,931,239,568,184,363,154,3748,481,2340,374,1408,294,696,210,712,211,484,164,333,141,151,100,42,55,109,92,750,205,539,158,211,137,147,127,64,68,1149,258,944,234,205,107,146,96,59,58
5,Central,17277,741,14739,703,2538,394,1337,267,1201,329,7810,586,6765,530,1045,276,640,208,405,185,1362,337,1113,314,249,113,129,68,120,86,3450,450,2671,377,779,233,265,104,514,217,2128,362,1900,339,228,109,138,77,90,70,1373,290,1277,281,96,70,65,60,31,47,1154,251,1013,233,141,91,100,81,41,53
6,East,32499,978,28403,981,4096,524,1632,292,2464,445,10940,754,9626,704,1314,311,518,148,796,272,1380,315,1321,309,59,59,23,51,36,54,7350,675,6186,632,1164,298,411,170,753,250,9588,795,8318,749,1270,304,502,182,768,244,1441,303,1295,281,146,112,105,105,41,60,1800,344,1657,333,143,77,73,67,70,59
7,Northeast,42414,1259,36958,1217,5456,542,2988,405,2468,376,20791,923,18670,893,2121,318,1264,243,857,216,3299,440,2767,400,532,157,382,138,150,89,8136,690,6748,625,1388,277,667,199,721,200,4218,506,3631,481,587,166,247,106,340,128,2864,407,2479,385,385,146,152,85,233,116,3106,416,2663,351,443,195,276,175,167,110
8,North,22378,886,17749,754,4629,604,2317,371,2312,500,12842,762,10478,624,2364,470,1323,284,1041,369,2604,382,1836,317,768,237,422,156,346,162,4282,490,3239,383,1043,323,300,121,743,297,666,175,531,153,135,94,99,89,36,50,997,239,861,213,136,109,64,78,72,81,987,209,804,189,183,85,109,58,74,69
9,Northwest,40650,1078,35063,1033,5587,588,2839,401,2748,425,23603,919,20327,892,3276,450,1695,306,1581,307,4120,536,3591,486,529,178,192,94,337,156,6776,591,5644,540,1132,226,558,152,574,177,1295,260,1127,241,168,114,75,94,93,83,1974,315,1783,297,191,104,100,76,91,80,2882,406,2591,371,291,146,219,141,72,65
10,Ballard,27338,892,24701,852,2637,484,1367,289,1270,399,15697,794,14142,727,1555,359,794,219,761,279,2671,454,2433,437,238,115,155,97,83,61,4618,502,4224,457,394,176,236,156,158,85,937,233,847,227,90,66,52,58,38,51,1451,260,1372,260,79,57,51,53,28,49,1964,370,1683,334,281,158,79,59,202,151
11,Lake Union,29994,1185,26596,1192,3398,431,1377,274,2021,338,13374,816,11926,783,1448,300,722,216,726,206,2287,420,2017,394,270,109,76,54,194,100,6333,644,5560,625,773,194,297,114,476,156,4070,485,3471,463,599,175,159,96,440,166,2085,357,2013,355,72,56,0,42,72,56,1845,296,1609,280,236,107,123,85,113,75
12,Magnolia/Queen Anne,36929,1190,32561,1161,4368,549,2068,355,2300,420,19195,943,16953,893,2242,390,1154,257,1088,291,3125,508,2627,457,498,178,244,118,254,136,6633,627,5815,596,818,220,344,149,474,176,3683,534,3371,528,312,134,89,70,223,117,1299,258,1157,243,142,97,79,86,63,66,2994,362,2638,348,356,138,158,111,198,96
13,Downtown,9773,593,7315,527,2458,337,864,207,1594,275,2868,377,2148,321,720,193,286,115,434,163,482,259,328,164,154,120,28,34,126,114,2120,331,1330,274,790,199,222,100,568,160,3207,426,2606,383,601,185,229,112,372,149,200,114,159,102,41,42,13,35,28,38,896,234,744,193,152,104,86,75,66,74
