area_id,area_name,b25032a001,b25032a001_moe,b25032a002,b25032a002_moe,b25032a003,b25032a003_moe,b25032a004,b25032a004_moe,b25032a005,b25032a005_moe,b25032a006,b25032a006_moe,b25032a007,b25032a007_moe,b25032a008,b25032a008_moe,b25032a009,b25032a009_moe,b25032a010,b25032a010_moe,b25032a011,b25032a011_moe
1,Southwest,21073,463,13970,429,693,188,524,178,776,205,1043,212,1540,254,1577,238,918,218,32,49,0,48
2,Delridge Neighborhoods,10162,408,6706,369,661,174,189,112,417,161,297,104,470,163,560,165,792,177,70,80,0,38
3,Greater Duwamish,5929,386,3713,329,400,128,273,116,351,150,191,112,430,143,213,95,336,104,22,53,0,45
4,Southeast,8079,420,6456,380,290,108,276,149,153,103,67,67,180,132,269,145,358,141,13,48,17,50
5,Central,8846,384,4396,305,593,161,506,164,431,143,643,186,476,148,1027,215,757,167,17,42,0,34
6,East,23535,663,3651,336,679,232,437,188,1022,221,1566,280,3655,395,6344,533,6155,473,26,53,0,47
7,Northeast,24437,529,15655,406,629,169,511,182,910,212,1276,246,1843,280,1884,285,1518,244,130,100,81,80
8,North,14501,435,8135,342,377,105,194,117,379,148,657,199,1192,240,1251,218,2254,293,62,84,0,43
9,Northwest,27093,554,15166,505,1678,268,931,235,938,213,1551,289,1709,266,2567,329,2400,301,139,92,14,56
10,Ballard,19226,385,11105,384,1145,208,767,220,957,207,1473,270,1136,215,1268,244,1363,226,12,45,0,43
11,Lake Union,19568,589,5763,335,989,196,1066,241,1003,226,2051,310,1649,243,2494,328,4454,382,25,46,74,76
12,Magnolia/Queen Anne,25813,585,10203,407,624,166,1055,251,1503,279,2064,299,3110,379,4809,418,2384,294,33,56,28,58
13,Downtown,7434,437,284,106,30,43,27,39,23,34,124,91,349,150,1271,235,5315,418,11,32,0,29
