area_id,area_name,c27001g001,c27001g001_moe,c27001g002,c27001g002_moe,c27001g003,c27001g003_moe,c27001g004,c27001g004_moe,c27001g005,c27001g005_moe,c27001g006,c27001g006_moe,c27001g007,c27001g007_moe,c27001g008,c27001g008_moe,c27001g009,c27001g009_moe,c27001g010,c27001g010_moe
1,Southwest,2251,453,1225,299,1206,297,19,55,980,228,925,217,55,61,46,57,46,57,0,48
2,Delridge Neighborhoods,1916,384,785,239,722,232,63,64,1094,252,861,219,233,103,37,47,37,47,0,38
3,Greater Duwamish,2079,500,693,229,586,195,107,150,1249,349,796,223,453,259,137,89,137,89,0,45
4,Southeast,2378,545,942,300,942,300,0,45,1316,323,1145,288,171,105,120,73,120,73,0,45
5,Central,1794,515,606,227,505,198,101,114,1084,335,917,277,167,117,104,89,104,89,0,34
6,East,1757,364,299,164,290,164,9,47,1442,303,1215,261,227,118,16,46,16,46,0,47
7,Northeast,4024,512,1404,294,1353,288,51,79,2517,370,2209,339,308,131,103,75,103,75,0,59
8,North,1664,384,585,192,585,192,0,43,1033,263,817,214,216,118,46,50,46,50,0,43
9,Northwest,3824,661,1660,438,1571,425,89,83,2094,412,1597,326,497,190,70,71,70,71,0,54
10,Ballard,2280,454,926,259,904,258,22,45,1326,331,1187,326,139,86,28,47,28,47,0,43
11,Lake Union,2133,423,511,211,511,211,0,42,1571,314,1344,301,227,112,51,66,51,66,0,42
12,Magnolia/Queen Anne,2699,565,668,248,668,248,0,51,2004,454,1631,374,373,196,27,59,27,59,0,51
13,Downtown,751,237,136,92,101,80,35,51,579,186,478,170,101,68,36,64,36,64,0,29
