area_id,area_name,b11001f001,b11001f001_moe,b11001f002,b11001f002_moe,b11001f003,b11001f003_moe,b11001f004,b11001f004_moe,b11001f005,b11001f005_moe,b11001f006,b11001f006_moe,b11001f007,b11001f007_moe,b11001f008,b11001f008_moe,b11001f009,b11001f009_moe
1,Southwest,45,54,45,54,30,51,15,51,0,48,15,51,0,48,0,48,0,48
2,Delridge Neighborhoods,328,143,271,135,118,105,153,101,112,89,41,61,57,60,40,57,17,42
3,Greater Duwamish,230,115,143,80,22,51,121,76,81,69,40,55,87,94,22,58,65,87
4,Southeast,236,123,158,106,104,89,54,71,0,45,54,71,78,71,61,69,17,49
5,Central,109,66,73,59,60,57,13,38,0,34,13,38,36,44,14,39,22,39
6,East,258,104,83,68,49,62,34,57,34,57,0,47,175,89,111,79,64,60
7,Northeast,306,164,49,64,40,63,9,59,0,59,9,59,257,162,177,137,80,102
8,North,377,151,290,134,189,116,101,84,61,73,40,60,87,80,87,80,0,43
9,Northwest,562,193,247,123,167,107,80,79,0,54,80,79,315,157,243,140,72,88
10,Ballard,156,95,94,85,49,69,45,65,30,63,15,47,62,59,62,59,0,43
11,Lake Union,271,153,87,105,29,47,58,103,58,103,0,42,184,118,139,112,45,54
12,Magnolia/Queen Anne,186,104,59,66,49,66,10,51,0,51,10,51,127,100,83,84,44,71
13,Downtown,178,115,25,43,25,43,0,29,0,29,0,29,153,110,145,110,8,30
