area_id,area_name,b25032h001,b25032h001_moe,b25032h002,b25032h002_moe,b25032h003,b25032h003_moe,b25032h004,b25032h004_moe,b25032h005,b25032h005_moe,b25032h006,b25032h006_moe,b25032h007,b25032h007_moe,b25032h008,b25032h008_moe,b25032h009,b25032h009_moe,b25032h010,b25032h010_moe,b25032h011,b25032h011_moe
1,Southwest,20469,466,13586,431,693,188,524,178,743,202,1043,212,1419,241,1529,234,900,216,32,49,0,48
2,Delridge Neighborhoods,9091,408,6129,350,601,170,189,112,326,133,254,96,356,140,454,127,759,174,23,43,0,38
3,Greater Duwamish,5209,361,3448,312,353,119,249,108,279,135,132,92,276,107,138,75,312,103,22,53,0,45
4,Southeast,7344,400,6203,365,279,106,155,111,112,82,67,67,54,56,153,119,291,118,13,48,17,50
5,Central,8325,385,4262,297,532,154,448,149,410,141,618,182,442,145,878,191,718,165,17,42,0,34
6,East,22584,689,3575,335,644,231,347,120,1014,220,1478,277,3550,393,5961,510,5989,473,26,53,0,47
7,Northeast,23951,540,15388,413,629,169,484,176,910,212,1240,244,1798,282,1810,284,1489,239,122,100,81,80
8,North,13724,450,7939,350,367,103,184,115,345,146,564,182,1073,233,1141,202,2092,268,19,50,0,43
9,Northwest,26201,559,14753,502,1660,270,901,232,867,203,1471,283,1576,246,2486,327,2376,300,97,70,14,56
10,Ballard,18746,379,10843,380,1107,206,767,220,932,205,1441,266,1106,213,1218,232,1320,219,12,45,0,43
11,Lake Union,18899,592,5700,332,971,194,1016,235,969,223,1985,311,1553,236,2366,322,4240,380,25,46,74,76
12,Magnolia/Queen Anne,25082,584,10093,408,624,166,999,245,1369,261,1993,298,2979,367,4623,419,2341,291,33,56,28,58
13,Downtown,7227,437,284,106,30,43,27,39,23,34,124,91,349,150,1232,232,5147,415,11,32,0,29
