area_id,area_name,b21005001,b21005001_moe,b21005002,b21005002_moe,b21005003,b21005003_moe,b21005004,b21005004_moe,b21005005,b21005005_moe,b21005006,b21005006_moe,b21005007,b21005007_moe,b21005008,b21005008_moe,b21005009,b21005009_moe,b21005010,b21005010_moe,b21005011,b21005011_moe,b21005012,b21005012_moe,b21005013,b21005013_moe,b21005014,b21005014_moe,b21005015,b21005015_moe,b21005016,b21005016_moe,b21005017,b21005017_moe,b21005018,b21005018_moe,b21005019,b21005019_moe,b21005020,b21005020_moe,b21005021,b21005021_moe,b21005022,b21005022_moe,b21005023,b21005023_moe,b21005024,b21005024_moe,b21005025,b21005025_moe,b21005026,b21005026_moe,b21005027,b21005027_moe,b21005028,b21005028_moe,b21005029,b21005029_moe,b21005030,b21005030_moe,b21005031,b21005031_moe,b21005032,b21005032_moe,b21005033,b21005033_moe,b21005034,b21005034_moe
1,Southwest,33154,823,9527,693,395,152,320,124,267,108,53,77,75,102,9132,687,8215,667,7779,643,436,172,917,210,16573,745,1028,264,942,261,914,260,28,48,86,69,15545,718,13829,679,13254,658,575,163,1716,286,7054,514,722,166,479,140,469,138,10,49,243,96,6332,490,4373,408,4140,399,233,102,1959,331
2,Delridge Neighborhoods,24127,829,9524,757,161,87,111,73,100,71,11,41,50,55,9363,755,7798,691,7029,642,769,222,1565,322,11031,665,581,181,432,148,413,146,19,40,149,106,10450,649,8997,621,8365,595,632,212,1453,256,3572,417,624,179,447,151,410,148,37,47,177,102,2948,377,1895,329,1738,307,157,107,1053,208
3,Greater Duwamish,30762,1204,11993,861,320,148,304,146,290,144,14,49,16,49,11673,847,9499,792,8561,761,938,239,2174,369,13584,895,504,171,365,148,324,141,41,59,139,89,13080,863,10836,767,10124,771,712,222,2244,378,5185,551,551,173,385,151,307,133,78,71,166,91,4634,518,3361,423,3155,419,206,92,1273,289
4,Southeast,30125,1050,9136,774,84,69,68,67,68,67,0,45,16,49,9052,777,7064,716,5917,623,1147,338,1988,353,14837,792,547,191,492,176,436,160,56,83,55,80,14290,766,11938,720,10907,684,1031,251,2352,372,6152,477,536,148,279,114,232,103,47,68,257,104,5616,462,4326,454,4044,428,282,127,1290,249
5,Central,21523,790,8884,737,162,103,162,103,162,103,0,34,0,34,8722,727,7561,684,6952,666,609,218,1161,279,9152,577,395,152,313,133,306,132,7,34,82,78,8757,576,7401,538,7031,517,370,143,1356,264,3487,394,166,79,113,62,113,62,0,34,53,53,3321,384,2317,308,2199,296,118,81,1004,233
6,East,41905,1106,23368,1152,262,126,206,121,148,103,58,74,56,54,23106,1153,19095,1017,17944,963,1151,306,4011,504,13799,809,644,204,445,178,410,175,35,53,199,107,13155,780,10820,710,10290,691,530,170,2335,349,4738,459,513,149,272,104,272,104,0,47,241,112,4225,431,2919,368,2797,359,122,78,1306,245
7,Northeast,60295,1735,34209,1730,301,127,229,116,193,105,36,75,72,75,33908,1724,22387,1367,20292,1215,2095,430,11521,949,18132,735,654,195,511,165,511,165,0,59,143,110,17478,713,15136,668,14318,647,818,210,2342,286,7954,489,855,169,564,146,557,146,7,59,291,105,7099,462,5530,429,5400,423,130,73,1569,220
8,North,28790,890,12031,811,208,101,208,101,199,100,9,44,0,43,11823,811,9734,752,9124,738,610,177,2089,359,11367,654,338,100,289,92,278,92,11,43,49,55,11029,645,9378,589,8755,577,623,171,1651,290,5392,398,458,120,308,98,274,91,34,57,150,74,4934,379,3796,332,3519,311,277,130,1138,221
9,Northwest,50880,1171,21576,1092,541,178,439,161,410,158,29,63,102,87,21035,1072,18445,1037,17085,990,1360,322,2590,425,20910,910,1034,225,921,217,854,212,67,69,113,73,19876,895,17386,823,16398,796,988,244,2490,353,8394,570,847,223,556,160,474,132,82,100,291,118,7547,504,5675,465,5275,454,400,136,1872,272
10,Ballard,32679,837,12742,875,309,183,309,183,309,183,0,43,0,43,12433,840,11317,832,10623,807,694,207,1116,258,13984,675,414,122,329,107,329,107,0,43,85,72,13570,672,12065,669,11434,636,631,177,1505,228,5953,454,608,149,373,115,342,111,31,54,235,93,5345,437,4265,407,3943,384,322,128,1080,199
11,Lake Union,37301,1241,21209,1249,323,140,240,115,208,113,32,46,83,86,20886,1244,17808,1118,16873,1098,935,304,3078,604,12156,686,624,184,469,158,469,158,0,42,155,102,11532,660,10339,634,9689,613,650,187,1193,252,3936,399,355,121,194,88,183,87,11,44,161,88,3581,387,2747,355,2593,340,154,89,834,183
12,Magnolia/Queen Anne,44463,1223,20213,1223,419,181,356,170,347,169,9,52,63,77,19794,1204,17376,1102,16593,1093,783,200,2418,376,17272,865,780,228,754,226,661,206,93,103,26,60,16492,853,14415,788,13458,752,957,246,2077,325,6978,510,699,163,526,146,493,141,33,59,173,88,6279,481,4474,408,4281,404,193,83,1805,310
13,Downtown,13771,717,5536,579,52,58,52,58,41,53,11,38,0,29,5484,580,4654,440,4296,431,358,131,830,348,5687,526,363,144,226,123,163,111,63,61,137,79,5324,520,3976,440,3760,424,216,130,1348,317,2548,348,389,157,144,99,119,93,25,36,245,116,2159,312,1179,247,1068,243,111,74,980,209
