area_id,area_name,b08303001,b08303001_moe,b08303002,b08303002_moe,b08303003,b08303003_moe,b08303004,b08303004_moe,b08303005,b08303005_moe,b08303006,b08303006_moe,b08303007,b08303007_moe,b08303008,b08303008_moe,b08303009,b08303009_moe,b08303010,b08303010_moe,b08303011,b08303011_moe,b08303012,b08303012_moe,b08303013,b08303013_moe
1,Southwest,25806,853,330,121,2083,324,2054,376,3307,408,4361,433,2136,322,4701,483,948,217,1367,266,2730,392,1321,279,468,150
2,Delridge Neighborhoods,17487,719,387,192,932,258,2182,351,2855,395,2681,383,1371,258,2867,378,605,163,863,198,1582,305,715,237,447,136
3,Greater Duwamish,22594,1106,198,92,1233,295,2801,367,3922,508,3994,487,1827,373,3864,471,750,203,922,230,1683,386,986,250,414,148
4,Southeast,20897,918,236,109,657,210,1901,309,3344,474,3420,413,1880,334,3431,407,850,209,1121,269,2082,426,1526,359,449,168
5,Central,16123,739,363,130,973,240,2341,342,2908,373,2991,341,1333,277,2724,390,543,214,601,175,781,212,504,137,61,56
6,East,30699,996,715,250,2573,422,4039,464,6099,591,6044,629,2212,373,4247,467,670,171,985,249,1637,322,1006,258,472,166
7,Northeast,39308,1234,714,181,3189,415,5846,586,6620,565,6760,580,2799,364,6516,609,1009,201,1609,277,2531,333,1223,274,492,150
8,North,21391,879,291,115,1571,438,1971,312,3146,370,3854,417,1711,269,4233,452,587,152,1067,219,1619,284,904,223,437,209
9,Northwest,37768,1066,517,165,2130,345,4703,513,5426,523,6723,550,3061,368,6938,601,1391,271,2276,329,2473,345,1524,295,606,194
10,Ballard,25374,932,600,298,1481,278,3002,425,3008,418,4165,476,1752,305,5005,585,1236,244,1569,268,2399,353,887,221,270,101
11,Lake Union,28149,1179,656,206,2156,349,3788,453,5207,580,4817,513,2173,349,4530,529,820,213,1587,348,1538,316,768,200,109,68
12,Magnolia/Queen Anne,33935,1177,882,245,3019,474,5241,625,5668,653,5187,501,2420,380,5362,536,940,221,1705,301,2079,344,1069,244,363,140
13,Downtown,8877,590,328,145,995,237,1571,270,1546,288,1343,334,671,203,1051,214,146,79,330,142,647,194,238,121,11,32
