area_id,area_name,b07008001,b07008001_moe,b07008002,b07008002_moe,b07008003,b07008003_moe,b07008004,b07008004_moe,b07008005,b07008005_moe,b07008006,b07008006_moe,b07008007,b07008007_moe,b07008008,b07008008_moe,b07008009,b07008009_moe,b07008010,b07008010_moe,b07008011,b07008011_moe,b07008012,b07008012_moe,b07008013,b07008013_moe,b07008014,b07008014_moe,b07008015,b07008015_moe,b07008016,b07008016_moe,b07008017,b07008017_moe,b07008018,b07008018_moe,b07008019,b07008019_moe,b07008020,b07008020_moe,b07008021,b07008021_moe,b07008022,b07008022_moe,b07008023,b07008023_moe,b07008024,b07008024_moe,b07008025,b07008025_moe,b07008026,b07008026_moe,b07008027,b07008027_moe,b07008028,b07008028_moe,b07008029,b07008029_moe,b07008030,b07008030_moe,b07008031,b07008031_moe,b07008032,b07008032_moe,b07008033,b07008033_moe,b07008034,b07008034_moe,b07008035,b07008035_moe,b07008036,b07008036_moe
1,Southwest,41585,892,13255,830,20330,915,5465,525,294,134,2241,300,34581,939,9662,726,18148,851,4405,459,276,131,2090,287,4621,693,2316,474,1376,428,802,212,18,49,109,60,808,276,440,217,224,124,131,82,0,48,13,41,1221,351,563,213,526,201,103,95,0,48,29,54,354,152,274,142,56,62,24,50,0,48,0,48
2,Delridge Neighborhoods,28536,867,11156,854,11518,810,3911,464,623,219,1328,231,23619,917,8883,776,10014,742,3137,388,482,191,1103,200,3216,488,1581,392,927,283,419,158,72,73,217,130,457,260,247,154,131,146,64,65,15,44,0,38,1037,305,348,161,344,217,291,134,54,90,0,38,207,144,97,77,102,124,0,38,0,38,8,38
3,Greater Duwamish,37863,1305,14125,1054,16779,915,3666,444,813,211,2480,335,31881,1152,11392,901,14679,878,2988,397,600,175,2222,312,3784,623,1660,379,1314,359,471,159,159,121,180,94,422,166,264,136,49,64,86,79,8,45,15,54,804,260,434,188,207,136,121,87,29,55,13,53,972,458,375,227,530,270,0,45,17,47,50,58
4,Southeast,37389,1196,12890,1016,16545,933,4802,541,767,222,2385,337,31946,1123,10227,846,14872,845,3987,506,605,200,2255,333,3902,702,1877,434,1196,411,576,190,136,94,117,79,416,209,210,174,52,68,136,93,18,51,0,45,753,227,380,167,258,132,103,67,8,45,4,43,372,241,196,156,167,191,0,45,0,45,9,46
5,Central,25677,831,11469,809,9279,660,3245,390,362,138,1322,252,19266,865,7462,651,7948,618,2502,355,188,103,1166,228,4536,615,2848,503,899,284,549,209,154,89,86,70,450,202,373,196,4,33,73,54,0,34,0,34,1336,340,743,278,410,168,112,83,20,37,51,50,89,60,43,42,18,42,9,35,0,34,19,40
6,East,47883,1104,28088,1117,12464,948,5028,537,806,218,1497,261,31927,1126,16604,935,9820,830,3815,484,453,158,1235,233,9852,840,6967,657,1666,493,768,221,317,152,134,88,1231,296,1006,275,32,53,184,113,9,48,0,47,4160,579,3128,489,671,269,214,112,19,51,128,90,713,245,383,160,275,180,47,84,8,48,0,47
7,Northeast,69433,1750,35980,1763,26027,897,4942,451,546,175,1938,323,48288,1389,19050,1283,22852,819,4156,418,417,158,1813,317,12185,1094,9491,1012,1876,396,682,186,82,77,54,64,3413,440,3132,408,198,132,39,63,10,60,34,69,3734,592,3045,555,587,213,65,67,0,59,37,72,1813,474,1262,427,514,203,0,59,37,71,0,59
8,North,34832,888,13878,848,14653,833,3940,417,450,163,1911,303,27828,899,9960,750,12536,740,3264,374,385,152,1683,285,4106,626,2306,412,1122,363,442,157,62,70,174,107,1268,346,745,243,354,231,131,97,3,42,35,57,1215,342,586,184,539,254,88,72,0,43,2,42,415,192,281,168,102,80,15,48,0,43,17,49
9,Northwest,60550,1192,22633,1096,26578,1181,7470,626,606,166,3263,364,48100,1247,15474,910,23103,1116,6132,534,414,133,2977,346,8319,858,4980,673,2152,457,870,256,117,74,200,92,1673,362,903,260,434,222,223,105,66,87,47,60,1831,397,940,285,626,244,217,120,9,55,39,62,627,240,336,143,263,200,28,59,0,54,0,54
10,Ballard,38368,909,13993,955,18121,891,4382,496,429,168,1443,243,31132,889,9494,731,16116,856,3942,479,283,128,1297,225,4880,741,2903,610,1411,349,307,139,146,115,113,103,841,316,593,252,194,117,40,46,0,43,14,46,1128,263,779,225,250,131,80,75,0,43,19,44,387,171,224,117,150,123,13,45,0,43,0,43
11,Lake Union,40757,1263,23403,1274,11576,812,4625,485,348,154,805,173,27332,1025,13862,969,9071,668,3540,404,155,98,704,167,8661,881,6369,788,1333,341,719,226,193,121,47,44,958,250,706,234,105,85,135,90,0,42,12,41,3333,597,2147,443,913,376,231,144,0,42,42,52,473,165,319,137,154,97,0,42,0,42,0,42
12,Magnolia/Queen Anne,52372,1215,22316,1195,22859,1038,5018,487,360,122,1819,253,38745,1229,14046,957,18702,924,4103,432,216,88,1678,242,8173,874,5088,763,2152,412,711,193,126,83,96,67,1393,357,920,264,396,232,52,67,18,57,7,47,3600,546,2038,372,1372,423,152,76,0,51,38,67,461,179,224,109,237,149,0,51,0,51,0,51
13,Downtown,16459,752,8227,662,4695,597,2600,358,330,118,607,156,11081,727,5096,584,3460,517,1775,281,210,87,540,148,2714,439,1796,375,381,163,387,144,90,78,60,55,639,249,373,191,150,135,101,73,15,34,0,29,1751,328,788,231,640,209,301,122,15,34,7,31,274,140,174,112,64,68,36,51,0,29,0,29
