area_id,area_name,b25032c001,b25032c001_moe,b25032c002,b25032c002_moe,b25032c003,b25032c003_moe,b25032c004,b25032c004_moe,b25032c005,b25032c005_moe,b25032c006,b25032c006_moe,b25032c007,b25032c007_moe,b25032c008,b25032c008_moe,b25032c009,b25032c009_moe,b25032c010,b25032c010_moe,b25032c011,b25032c011_moe
1,Southwest,103,70,44,58,0,48,15,51,17,52,0,48,0,48,27,51,0,48,0,48,0,48
2,Delridge Neighborhoods,139,89,51,55,0,38,24,53,18,47,28,55,0,38,0,38,18,46,0,38,0,38
3,Greater Duwamish,122,68,73,59,18,50,0,45,13,46,0,45,18,49,0,45,0,45,0,45,0,45
4,Southeast,107,72,23,50,0,45,29,51,0,45,23,48,0,45,0,45,32,52,0,45,0,45
5,Central,94,66,13,36,0,34,0,34,0,34,0,34,38,52,0,34,28,46,15,40,0,34
6,East,449,166,78,70,0,47,0,47,61,61,39,62,75,93,161,116,35,50,0,47,0,47
7,Northeast,114,77,80,73,7,59,0,59,0,59,0,59,0,59,0,59,6,58,21,61,0,59
8,North,177,91,25,43,0,43,0,43,29,62,27,53,9,44,29,52,58,57,0,43,0,43
9,Northwest,249,108,144,85,0,54,24,66,22,57,33,61,15,56,0,54,11,55,0,54,0,54
10,Ballard,65,59,51,56,0,43,0,43,14,46,0,43,0,43,0,43,0,43,0,43,0,43
11,Lake Union,358,165,27,50,19,49,0,42,0,42,57,81,48,85,10,43,184,127,13,43,0,42
12,Magnolia/Queen Anne,205,116,71,69,0,51,0,51,0,51,0,51,12,52,99,94,23,60,0,51,0,51
13,Downtown,140,99,0,29,0,29,0,29,0,29,25,46,10,29,105,91,0,29,0,29,0,29
