area_id,area_name,b25003c001,b25003c001_moe,b25003c002,b25003c002_moe,b25003c003,b25003c003_moe
1,Southwest,103,70,58,60,45,58
2,Delridge Neighborhoods,139,89,9,37,130,88
3,Greater Duwamish,122,68,63,57,59,56
4,Southeast,107,72,23,50,84,68
5,Central,94,66,15,40,79,62
6,East,449,166,51,58,398,162
7,Northeast,114,77,70,68,44,69
8,North,177,91,39,46,138,90
9,Northwest,249,108,111,73,138,92
10,Ballard,65,59,37,51,28,50
11,Lake Union,358,165,30,50,328,162
12,Magnolia/Queen Anne,205,116,69,65,136,102
13,Downtown,140,99,0,29,140,99
