area_id,area_name,b25074001,b25074001_moe,b25074002,b25074002_moe,b25074003,b25074003_moe,b25074004,b25074004_moe,b25074005,b25074005_moe,b25074006,b25074006_moe,b25074007,b25074007_moe,b25074008,b25074008_moe,b25074009,b25074009_moe,b25074010,b25074010_moe,b25074011,b25074011_moe,b25074012,b25074012_moe,b25074013,b25074013_moe,b25074014,b25074014_moe,b25074015,b25074015_moe,b25074016,b25074016_moe,b25074017,b25074017_moe,b25074018,b25074018_moe,b25074019,b25074019_moe,b25074020,b25074020_moe,b25074021,b25074021_moe,b25074022,b25074022_moe,b25074023,b25074023_moe,b25074024,b25074024_moe,b25074025,b25074025_moe,b25074026,b25074026_moe,b25074027,b25074027_moe,b25074028,b25074028_moe,b25074029,b25074029_moe,b25074030,b25074030_moe,b25074031,b25074031_moe,b25074032,b25074032_moe,b25074033,b25074033_moe,b25074034,b25074034_moe,b25074035,b25074035_moe,b25074036,b25074036_moe,b25074037,b25074037_moe,b25074038,b25074038_moe,b25074039,b25074039_moe,b25074040,b25074040_moe,b25074041,b25074041_moe,b25074042,b25074042_moe,b25074043,b25074043_moe,b25074044,b25074044_moe,b25074045,b25074045_moe,b25074046,b25074046_moe,b25074047,b25074047_moe,b25074048,b25074048_moe,b25074049,b25074049_moe,b25074050,b25074050_moe
1,Southwest,8418,488,572,206,42,82,0,48,67,93,0,48,200,90,263,147,937,215,38,75,14,50,86,61,21,56,734,195,44,83,1351,258,61,61,13,49,95,71,174,101,949,222,59,69,1545,276,87,74,316,123,415,158,301,147,415,161,11,49,1758,329,499,193,506,170,256,111,287,129,186,98,24,58,977,209,577,171,225,97,92,65,63,63,20,49,0,48,1278,252,1036,238,160,89,54,65,14,50,0,48,14,51
2,Delridge Neighborhoods,7126,444,965,217,0,38,15,42,65,95,14,42,767,215,104,70,1172,265,49,49,64,66,72,63,37,53,950,242,0,38,1493,278,91,86,88,81,70,54,129,87,1079,248,36,47,903,230,71,75,225,124,142,107,141,100,290,133,34,45,1270,258,432,183,337,120,120,72,173,97,110,80,98,70,828,227,545,184,169,125,26,42,47,56,41,73,0,38,495,160,422,154,30,52,10,39,7,37,0,38,26,44
3,Greater Duwamish,7727,450,1166,241,13,48,68,81,82,65,96,81,778,214,129,83,1107,225,68,66,22,49,81,65,38,61,885,214,13,43,1715,306,35,47,210,122,206,134,274,130,966,249,24,48,1554,301,105,73,355,153,344,154,119,79,540,182,91,83,1160,246,370,144,162,82,141,86,177,112,200,119,110,93,382,132,220,105,74,63,37,56,11,45,0,45,40,63,643,197,552,187,56,60,17,47,13,47,0,45,5,44
4,Southeast,6751,473,1310,273,31,56,10,45,49,52,77,82,930,218,213,132,1009,258,20,52,46,58,27,51,32,49,862,252,22,47,1667,297,102,107,78,76,168,140,154,94,1126,274,39,50,718,220,78,62,181,116,97,91,84,79,257,149,21,46,1074,286,455,198,253,165,89,61,79,90,185,110,13,47,568,176,350,150,120,78,54,60,36,57,0,45,8,45,405,145,340,130,55,77,10,45,0,45,0,45,0,45
5,Central,7027,395,859,174,0,34,0,34,92,71,94,67,614,148,59,86,1070,252,59,60,0,34,134,96,49,67,785,233,43,58,1277,295,11,37,61,65,200,123,272,160,700,201,33,55,1022,213,37,42,217,126,293,128,141,71,320,117,14,39,1176,227,223,112,395,153,216,106,160,93,164,89,18,36,746,210,468,175,146,82,108,81,24,41,0,34,0,34,877,209,659,171,143,98,32,53,0,34,0,34,43,53
6,East,21693,578,2490,347,34,60,98,99,220,100,105,73,1630,300,403,145,3055,425,171,135,103,91,178,96,99,77,2453,394,51,65,4058,482,62,54,73,69,411,162,490,167,2909,437,113,104,3322,393,237,111,679,212,910,241,727,221,692,174,77,86,3394,414,917,233,1272,282,744,191,230,114,205,95,26,53,2140,358,1363,292,550,184,115,76,15,50,69,71,28,53,3234,446,2610,419,359,147,88,91,131,137,18,49,28,54
7,Northeast,13505,502,2537,337,0,59,0,59,114,113,0,59,1727,308,696,185,1498,288,22,67,0,59,12,61,11,60,1403,282,50,68,2412,337,54,81,74,82,212,112,186,91,1806,314,80,82,1918,289,121,99,420,140,420,129,285,123,593,173,79,71,2653,359,831,233,553,169,364,141,217,109,680,204,8,59,961,197,468,130,203,104,44,61,80,89,106,75,60,77,1526,263,1143,226,186,106,140,93,12,59,13,60,32,61
8,North,10387,449,1534,288,26,49,16,48,59,52,74,73,804,230,555,198,1257,277,34,68,65,87,89,75,32,53,947,218,90,108,2346,357,70,79,57,56,261,117,326,145,1590,298,42,58,1770,325,110,76,439,182,517,188,310,123,359,159,35,56,1839,296,755,222,364,134,222,95,199,118,243,119,56,52,865,200,516,149,108,69,92,85,24,43,80,75,45,83,776,185,668,176,71,58,7,43,9,44,21,44,0,43
9,Northwest,15599,594,1720,333,55,99,0,54,118,78,0,54,1344,303,203,133,2030,315,261,144,82,72,178,120,175,94,1249,245,85,78,2784,372,106,112,111,80,248,120,347,147,1937,318,35,59,2318,358,180,126,461,167,639,205,332,138,650,175,56,75,3128,380,833,218,882,228,496,158,381,130,500,176,36,58,1492,295,937,246,357,144,58,59,72,80,44,65,24,55,2127,337,1726,305,273,109,110,109,18,59,0,54,0,54
10,Ballard,9634,493,599,188,0,43,0,43,0,43,14,46,485,163,100,99,691,170,0,43,17,48,110,69,0,43,522,145,42,66,1632,313,81,90,47,80,215,125,293,138,973,246,23,55,1518,292,32,51,301,138,463,156,202,104,474,195,46,48,2003,316,588,205,666,170,274,134,245,138,220,109,10,45,1177,262,612,184,341,141,137,88,72,88,15,48,0,43,2014,343,1571,312,369,143,74,79,0,43,0,43,0,43
11,Lake Union,17336,590,2100,360,20,52,14,45,88,83,128,105,1388,278,462,218,1753,308,25,49,35,48,180,127,40,51,1473,277,0,42,2337,374,130,114,62,80,200,105,391,179,1542,284,12,44,2945,401,212,113,405,131,795,233,538,167,995,243,0,42,3350,430,852,203,909,260,717,204,441,157,370,159,61,64,1913,368,977,278,564,186,180,93,50,52,142,130,0,42,2938,347,2320,322,388,136,131,103,76,91,23,45,0,42
12,Magnolia/Queen Anne,15882,596,1024,214,0,51,10,52,31,54,68,70,760,189,155,87,1048,251,16,52,110,122,0,51,56,71,866,260,0,51,2438,337,24,56,54,81,207,109,278,112,1714,273,161,102,2671,362,121,89,489,151,760,211,580,176,692,215,29,56,3472,418,802,198,1452,297,585,185,284,128,338,149,11,52,2317,386,1405,318,411,160,228,115,117,88,143,107,13,54,2912,383,2096,329,378,166,234,144,75,87,45,68,84,76
13,Downtown,9235,420,2043,297,40,44,155,146,347,120,307,107,1013,221,181,87,1679,299,165,84,92,73,314,133,147,94,911,250,50,62,1109,223,197,102,204,116,94,77,126,74,462,135,26,38,946,229,88,84,179,93,271,123,120,71,288,126,0,29,885,225,206,87,193,106,214,128,98,72,129,85,45,59,972,218,361,129,190,98,264,155,72,67,0,29,85,86,1601,263,1359,245,199,93,43,44,0,29,0,29,0,29
